Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Air Force Falcons,,,,,,,,,,,,,,,
WR-X,13,"Roznos, Jared SR",,2,"Engel, Brandon SR",,,,,,,,,,
WR-Z,21,"Harris, Cade SR",,6,"Breier, Cameron SR",,,,,,,,,,
LT,78,"Tate, Trevor JR",,77,"Collins, Cameron JR",,,,,,,,,,
LG,71,"McAninch, Michael SR",,75,"Falk, Alec SO",,,,,,,,,,
C,67,"Cooley, Costen JR",,57,"Averitt, Gabriel JR",,,,,,,,,,
RG,54,"Kohal, Jackson SR",,66,"Sutulovich, Jace JR",,,,,,,,,,
RT,76,"Moore, Alex SR",,65,"Floysand, Samuel JR",,,,,,,,,,
TE,88,"Fleischmann, Bruin JR",,87,"Menefee, Parker JR",,,,,,,,,,
QB,3,"Busha, John JR",,10,"Hayes, Quentin SO",,11,"Johnson, Josh SO",,,,,,,
RB,28,"Calvert, Aiden SR",,8,"Frew, Kade JR",,,,,,,,,,
FB,5,"Carson, Dylan JR",,12,"Gist, Terrence JR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,10,"Curtis, Jack JR",,47,"Meyer, Luke SO",,,,,,,,,,
NT,99,"Swartz, Aidan JR",,96,"Zdroik, Payton SR",,,,,,,,,,
DT,95,"Grobe, Daniel JR",,62,"Tomasi, James SR",,,,,,,,,,
OLB,58,"Adams, Jackson JR",,18,"Sanders, Elijah SR",,,,,,,,,,
LILB,8,"Aihie, Osaro SR",,54,"Burr, Are'an JR",,,,,,,,,,
RILB,46,"Juckel, Zach JR",,44,"Uyl, Grant SR",,,,,,,,,,
SPUR,11,"Goff, Camby SR",,23,"Tuioti-Mariner, Lincoln SO",,,,,,,,,,
LCB,22,"Gaillard Jr., Jerome SR",,0,"Williams, Trey SR",,,,,,,,,,
SS,9,"Brown, Levi JR",,20,"Chen, Kyle SO",,,,,,,,,,
FS,7,"Martin, Jake SR",,42,"McGowan, Jakobi SR",,,,,,,,,,
RCB,3,"Bellamy, Jamari SR",,5,"Beard, K.C. SR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,95,"Bay, Carson SR",,97,"Freer, Luke JR",,,,,,,,,,
PK,43,"Dapore, Matthew SR",,96,"Tubbs, Reagan JR",,,,,,,,,,
KO,43,"Dapore, Matthew SR",,96,"Tubbs, Reagan JR",,,,,,,,,,
LS,49,"Chesney, Kurt JR",,48,"DeBerardino, Anthony SR",,,,,,,,,,
H,95,"Bay, Carson SR",,97,"Freer, Luke JR",,,,,,,,,,
PR,2,"Engel, Brandon SR",,21,"Harris, Cade SR",,,,,,,,,,
KR,21,"Harris, Cade SR",,28,"Calvert, Aiden SR",,13,"Roznos, Jared SR",,,,,,,
