Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Akron Zips,,,,,,,,,,,,,,,
WR-X,17,"Campbell, Justin RS JR/TR",,2,"Wilson, Phaizon RS SO/TR",,,,,,,,,,
WR-Z,81,"Norton, Adrian SO",,3,"Rush, Jarvis SO/TR",,,,,,,,,,
WR-SL,7,"Adams, Alex SR/TR",,4,"Golden, Bobby JR",,23,"Walker, Myles RS JR",,,,,,,
LT,77,"James, Jayvin RS FR",,78,"Fields, Eli RS SR/TR",,79,"Stopiak, Nick RS SO",,,,,,,
LG,50,"Seymore, Laurance RS JR/TR",,52,"Kindred, Keon RS SO/TR",,,,,,,,,,
C,54,"Williams, Tyhler RS SO",,62,"Mobley, Max FR",,,,,,,,,,
RG,72,"Lyons, Colin RS JR",,56,"Davis, Keylen RS SO",,58,"Burrell, Jerrod JR/TR",,,,,,,
RT,55,"Blanchard, Josh RS SR/TR",,73,"Mann, Jonas RS FR",,57,"Morris, Delvin RS FR",,,,,,,
TE,88,"Newell, Jake RS SO/TR",,87,"Whisner, Max RS SO/TR",,85,"Cravaack, Conner RS FR",,,,,,,
QB,15,"Finley, Ben RS JR/TR",,10,"Bullock, Tahj RS JR/TR",,,,,,,,,,
RB,22,"Kellom, Charles RS SO",,9,"Simmons, Jordon RS SR/TR",,25,"Hester, Blake RS SR",,24,"Williams, Marquese RS FR/TR",,,,
DEF,,,,,,,,,,,,,,,
DE,93,"Adler, Bennett SR",,90,"Jackson, LaJoshua SR/TR",,94,"Richards, Kabbash RS SR/TR",,,,,,,
NT,99,"Kapongo, Nathan RS SR/TR",,52,"Moore Jr., Marcus SO",,,,,,,,,,
DT,5,"Lavea, Lama RS JR/TR",,95,"Proffitt, Andre RS JR",,54,"Murphy, Kiawan RS SO",,,,,,,
RUSH,91,"Nunnally IV, CJ SR/TR",,22,"Cheatom, Kam SO",,,,,,,,,,
MLB,10,"Fish, Antavious SR/TR",,53,"Harris, Camari RS SO/TR",,,,,,,,,,
WLB,40,"McCoy, Bryan JR",,3,"Cooper, Shammond RS SR/TR",,,,,,,,,,
FCB,11,"Golden-Nelson, Devonte RS JR/TR",,4,"Anderson, Justin RS JR/TR",,,,,,,,,,
FS,26,"Greenwood, Aman RS SR/TR",,18,"Johnson, DiMarco RS JR",,,,,,,,,,
BS,9,"Lewis III, Paul SR/TR",,2,"David, Daymon RS SO/TR",,,,,,,,,,
BCB,6,"Hunter, Joey RS JR/TR",,29,"Jarmon, Iesa RS JR/TR",,,,,,,,,,
NB,24,"Lewis, Darrian RS JR",,15,"Thomas, Terence RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,36,"Jackson, Dante RS SR/TR",,95,"Castle, Joseph SO",,,,,,,,,,
PK,99,"Wiley, Owen SO",,44,"Perez, Noah JR",,,,,,,,,,
KO,99,"Wiley, Owen SO",,44,"Perez, Noah JR",,,,,,,,,,
LS,,,,,,,,,,,,,,,
H,95,"Castle, Joseph SO",,,,,,,,,,,,,
PR,4,"Golden, Bobby JR",,,,,,,,,,,,,
KR,25,"Hester, Blake RS SR",,,,,,,,,,,,,
