Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Alabama Crimson Tide,,,,,,,,,,,,,,,
WR-X,5,"Bernard, Germie JR/TR",,18,"Odom, Caleb FR",,17,"Jefferson, Amari FR",,,,,,,
WR-Z,1,"Law, Kendrick JR",,2,"Williams, Ryan FR",,16,"Hamilton, Jaren RS FR",,11,"Scott, Rico FR",,,,
WR-H,6,"Prentice, Kobe JR",,3,"Henderson Jr., Emmanuel JR",,7,"Adams, Cole RS FR",,21,"Hampton, Bubba FR",,,,
LT,74,"Proctor, Kadyn SO",,58,"McVay, Miles RS FR",,65,"Betrand, Naquil RS FR/TR",,,,,,,
LG,52,"Booker, Tyler JR",,73,"Alinen, Olaus RS FR",,70,"Sanders, William FR",,,,,,,
C,72,"Brailsford, Parker RS SO/TR",,55,"Montgomery, Roq RS FR",,69,"Ionata, Joseph FR",,,,,,,
RG,77,"Roberts, Jaeden RS JR",,56,"VanDeMark, Geno RS JR/TR",,,,,,,,,,
RT,75,"Formby, Wilkin RS FR",,57,"Pritchett, Elijah RS SO",,50,"Poe, Casey FR",,,,,,,
TE,81,"Dippre, CJ SR/TR",,80,"Cuevas, Josh RS JR/TR",,45,"Ouzts, Robbie SR",,87,"Lewis Jr., Danny RS SO",,89,"Lockwood, Ty RS FR",
QB,4,"Milroe, Jalen RS JR",,15,"Simpson, Ty RS SO",,12,"Lonergan, Dylan RS FR",,10,"Mack, Austin RS FR/TR",,,,
RB,22,"Haynes, Justice SO",,26,"Miller, Jam JR",,9,"Young, Richard RS FR",,20,"Hill, Daniel FR",,28,"Riley, Kevin FR",
DEF,,,,,,,,,,,,,,,
BAN,20,"Latham, Jah-Marien RS SR",,22,"Overton, LT JR/TR",,90,"Renaud, Jordan RS FR",,31,"Keeley, Keon RS FR",,,,
NT,96,"Keenan III, Tim RS JR",,44,"Payne Jr., Damon RS JR",,94,"Hill, Edric RS FR",,88,"Faga, Isaia FR",,,,
DT,10,"Oatis, Jehiem JR",,50,"Smith, Tim GR",,23,"Smith, James SO",,33,"Osborne, Hunter RS FR",,92,"Beaman, Jeremiah FR",
WOLF,34,"Robinson, Que RS SR",,19,"Koht, Keanu RS JR",,4,"Russaw, Qua RS FR",,42,"Pierre, Yhonzae RS FR",,43,"Ross, Jayshawn FR",
MIKE,0,"Lawson, Deontae RS JR",,35,"Alexander, Jeremiah RS SO",,40,"Dixon, Sterling FR",,36,"Reese, QB FR",,,,
STING,11,"Campbell, Jihaad JR",,15,"Jefferson, Justin SR/TR",,41,"Okoronkwo, Justin FR",,30,"Jones, Cayden FR",,,,
LCB,7,"Jones, DaShawn RS JR/TR",,2,"Brown, Zabien FR",,9,"Mbakwe, Jaylen FR",,,,,,,
SS,3,"Sabb, Keon RS SO/TR",,5,"Mack, King SO/TR",,21,"Kirkpatrick Jr., Dre FR",,,,,,,
FS,13,"Moore, Malachi GR",,6,"Howard, Kameron SO/TR",,18,"Hubbard, Bray SO",,,,,,,
RCB,1,"Jackson, Domani JR/TR",,12,"Mincey, Zavier FR",,25,"Hurley, Jahlil RS FR",,,,,,,
HUSKY,8,"Smith, DeVonta RS JR",,16,"Morgan, Red FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,86,"Burnip, James RS SR",,99,"Serpa, Nick RS SO",,95,"Green, Anderson FR",,,,,,,
PK,14,"Nicholson, Graham SR/TR",,31,"Talty, Conor RS FR",,97,"Schuback, Reid RS JR",,98,"Cornelius, Tucker FR",,,,
KO,14,"Nicholson, Graham SR/TR",,31,"Talty, Conor RS FR",,97,"Schuback, Reid RS JR",,98,"Cornelius, Tucker FR",,,,
LS,48,"Hibbett, Kneeland SR",,,,,,,,,,,,,
H,86,"Burnip, James RS SR",,99,"Serpa, Nick RS SO",,95,"Green, Anderson FR",,,,,,,
PR,5,"Bernard, Germie JR/TR",,,,,,,,,,,,,
KR,5,"Bernard, Germie JR/TR",,1,"Law, Kendrick JR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,14,"Hale, Jalen SO",,,,,,,,,,,,,
