Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Appalachian State Mountaineers,,,,,,,,,,,,,,,
WR-X,13,"Horn, Christan RS SR",,8,"Stroman, Dalton RS JR",,18,"Short, Zavier RS SO/TR",,,,,,,
WR-Z,15,"Jackson, Makai JR/TR",,0,"Fowles, William RS FR/TR",,11,"Tucker, Grant RS FR",,,,,,,
WR-SL,2,"Robinson, Kaedin RS SR/TR",,12,"Hetzel, Michael RS JR",,82,"Lawson Jr., Chris RS FR",,25,"Hoban, Blake RS JR/TR",,,,
LT,72,"Samuel, Markell RS JR",,76,"Burgess, Luke RS FR/TR",,,,,,,,,,
LG,74,"Scroggs, Griffin RS SO/TR",,63,"Ramsey, Jayden RS JR",,64,"Marotta, Michael RS JR/TR",,,,,,,
C,52,"Sweatt, Cayden RS FR",,68,"Hollifield, Jack RS JR/TR",,,,,,,,,,
RG,70,"Gentry, Thornton RS JR/TR",,73,"Langlo, Garner RS JR/TR",,66,"Stevens, Danny RS FR",,,,,,,
RT,67,"Shrader, Thomas RS JR/TR",,79,"Dewerk, Andres RS JR/TR",,60,"Ryan, Ethan RS JR/TR",,,,,,,
TE,87,"Wilson, Eli RS SR",,85,"Larkins, David RS JR",,86,"Hamlett, Kanen RS SO",,80,"Drag, Max RS FR",,46,"Gibble, Jared RS JR/TR",
QB,4,"Aguilar, Joey SR/TR",,9,"Wiles, Billy RS JR/TR",,6,"Wilson, Matthew FR",,16,"Hernandez, David RS SR",,19,"Estep, Cameron RS FR",
RB,14,"Roberts, Kanye RS SO",,1,"Castle, Anderson RS JR",,28,"Haywood, Maquel SR/TR",,3,"Marshall, Ahmani RS SR/TR",,20,"Calhoun, Jaylon RS FR",
DEF,,,,,,,,,,,,,,,
LDE,12,"Collins, Shawn RS JR/TR",,95,"Kelley, Montez RS SR/TR",,97,"Abrams-Verwayne, Kevin RS JR/TR",,,,,,,
NT,9,"Clark, Markus JR",,45,"Campbell, Nick RS SO/TR",,91,"Donald, Joshua JR/TR",,,,,,,
RDE,29,"Hopper, Santana RS SO",,5,"Fletcher, Michael RS SR/TR",,96,"Wyatt, Josiah RS SO",,,,,,,
DOG,90,"Johnson, Nate SO",,15,"Davis, Thomas RS JR/TR",,,,,,,,,,
MLB,56,"Arnholt, Kyle RS JR",,33,"Farrar, Derrell RS SO",,8,"Harrington, Brendan RS SR",,,,,,,
WLB,26,"Sullivan, Caden RS JR",,44,"Gooch, Brodrick RS SO",,24,"Haynes, Cahari RS FR",,,,,,,
FCB,6,"Chambers, Jason JR/TR",,0,"Yowe, Trenton Alan RS JR/TR",,13,"Mc-Cantos, Elijah RS SO/TR",,,,,,,
SS,7,"Favors, Jordan RS JR",,21,"Burks, DJ RS SO",,28,"Gamble, Zyeir RS FR",,,,,,,
FS,4,"Farmer, Myles RS SR/TR",,27,"Clarke, Ronald RS SR",,10,"Phares, Colton RS FR",,,,,,,
BCB,2,"Johnson, Ethan JR",,16,"Robertson, Seth RS SR/TR",,,,,,,,,,
STAR,11,"Cole, Avarion RS JR/TR",,37,"Hamilton, Andre RS JR",,17,"Thomas, Jalik RS SR/TR",,25,"Fernandes, Kai FR",,,,
ST,,,,,,,,,,,,,,,
PT,49,"Lake, Mitchell SO",,41,"Maynard, Conner RS SR/TR",,,,,,,,,,
PK,99,"Hughes, Michael SR",,39,"Moore, Jackson RS FR/TR",,43,"McVay, Cash RS JR",,47,"Everett, Carter RS SO",,,,
KO,99,"Hughes, Michael SR",,39,"Moore, Jackson RS FR/TR",,43,"McVay, Cash RS JR",,47,"Everett, Carter RS SO",,,,
LS,42,"Johnstone, Christian RS SR",,54,"Simpkins, Gabriel SO/TR",,,,,,,,,,
H,49,"Lake, Mitchell SO",,41,"Maynard, Conner RS SR/TR",,,,,,,,,,
PR,2,"Robinson, Kaedin RS SR/TR",,15,"Jackson, Makai JR/TR",,,,,,,,,,
KR,2,"Robinson, Kaedin RS SR/TR",,15,"Jackson, Makai JR/TR",,,,,,,,,,
