Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Arizona State Sun Devils,,,,,,,,,,,,,,,
WR-X,9,"Omeire, Troy RS SR/TR",,12,"McClain, Malik SR/TR",,,,,,,,,,
WR-Z,0,"Tyson, Jordyn RS SO/TR",,1,"Guillory, Xavier RS SR/TR",,,,,,,,,,
WR-A,8,"Smith, Jake RS SR/TR",,5,"Stovall, Melquan GR/TR",,17,"Black, Kaleb RS FR",,,,,,,
LT,65,"Atkins, Josh RS JR/TR",,56,"Klemm, Jalen RS SO/TR",,75,"Walden, Bram RS JR/TR",,,,,,,
LG,62,"Coleman, Ben GR/TR",,71,"Pule, Makua RS FR",,77,"Scott, Kyle RS JR/TR",,,,,,,
C,79,"Fautanu, Leif RS SR/TR",,55,"Briggs, Cade RS SR/TR",,63,"Kandiyeli, Sirri RS FR",,,,,,,
RG,74,"Na'a, Sean SO",,54,"Su'a, Joey RS FR/TR",,,,,,,,,,
RT,58,"Iheanachor, Max SR/TR",,70,"Bohle, Emmit GR/TR",,,,,,,,,,
TE,18,"Douglas, Markeston RS JR/TR",,7,"Metayer, Chamon RS JR/TR",,85,"Harpole, Cameron RS JR/TR",,80,"Fortier, Jayden FR",,,,
QB,10,"Leavitt, Sam RS FR/TR",,6,"Sims, Jeff SR/TR",,16,"Bourguet, Trenton RS SR",,,,,,,
RB,4,"Skattebo, Cam SR/TR",,25,"Brooks, DeCarlos RS SR/TR",,20,"McCaskill, Alton RS JR/TR",,3,"Brown, Raleek RS SO/TR",,2,"Brown, Kyson SO",
DEF,,,,,,,,,,,,,,,
LDE,10,"Smith, Clayton RS JR/TR",,95,"Wodtly, Justin RS SR/TR",,15,"O'Neal, Elijah SR/TR",,50,"Symons, Chance RS SO/TR",,,,
NT,99,"Fite, C.J. SO",,98,"Kongaika, Jacob Rich JR/TR",,91,"Deeter, J.P. RS SO/TR",,93,"Monday, Tristan RS SO/TR",,,,
DT,5,"Clark, Jeff GR/TR",,96,"Cooper, Anthonie GR",,92,"Swanson, Zac RS SO/TR",,97,"Lono-Wong, Blazen RS SO",,,,
RDE,32,"Dorbah, Prince RS SR/TR",,14,"Tapp, J'Mond RS SO/TR",,13,"Pitre, Roman RS SO/TR",,,,,,,
WLB,44,"Elliott, Keyshaun JR/TR",,24,"Romney, Tate RS SO/TR",,8,"Crook, Jordan JR/TR",,,,,,,
MLB,30,"Fiaseu, Zyrus RS JR/TR",,22,"McCullough, Caleb RS SR",,45,"Thunderbird, K'Vion RS FR",,,,,,,
LCB,3,"Welch, Laterrance JR/TR",,1,"Abney II, Keith SO",,,,,,,,,,
SS,2,"Alford, Xavion RS JR/TR",,20,"Wilson, Kamari RS SO/TR",,9,"Warren, Montana RS FR",,,,,,,
FS,7,"Simmons, Shamari GR/TR",,4,"Rowser, Myles JR/TR",,,,,,,,,,
RCB,12,"Robinson, Javan RS SO/TR",,23,"Bradley, Keontez RS FR",,,,,,,,,,
NB,0,"Martin, Cole SO/TR",,6,"Williams, Macen RS SR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,31,"Floyd, Kanyon FR",,30,"Hershey, Ian RS SO/TR",,47,"Mahlum, Race RS SR/TR",,,,,,,
PK,29,"Lewis, Parker RS SR/TR",,50,"Kieffer, Carston RS FR",,,,,,,,,,
KO,29,"Lewis, Parker RS SR/TR",,50,"Kieffer, Carston RS FR",,,,,,,,,,
LS,64,"Wigglesworth, Tyler RS SO/TR",,51,"Marszalek, Cole RS FR",,,,,,,,,,
H,31,"Floyd, Kanyon FR",,30,"Hershey, Ian RS SO/TR",,47,"Mahlum, Race RS SR/TR",,,,,,,
PR,5,"Stovall, Melquan GR/TR",,3,"Brown, Raleek RS SO/TR",,,,,,,,,,
KR,3,"Brown, Raleek RS SO/TR",,5,"Stovall, Melquan GR/TR",,,,,,,,,,
