Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Arizona Wildcats,,,,,,,,,,,,,,,
WR-X,4,"McMillan, Tetairoa JR",,6,"Jones, AJ RS SO",,18,"Phelps, Brandon FR",,,,,,,
WR-Z,0,"Murphy, Reymello SR/TR",,10,"Riley, Malachi SO",,,,,,,,,,
WR-F,5,"Lemonious-Craig, Montana SR/TR",,2,"Patterson, Jeremiah JR/TR",,,,,,,,,,
LT,79,"Pulido, Raymond SO",,59,"Tapa'atoutai, Rhino RS FR",,58,"Stewart, Ryan RS JR/TR",,,,,,,
LG,72,"Moe Jr., Wendell RS SO",,55,"Hand, JT RS JR",,60,"Doost, Alexander RS FR/TR",,,,,,,
C,75,"Baker, Josh SR",,78,"Stovall, Grayson RS SO",,,,,,,,,,
RG,65,"Magnuson, Leif RS JR",,50,"Matautia, Shancco RS JR/TR",,,,,,,,,,
RT,71,"Savaiinaea, Jonah JR",,77,"Wooten, Michael RS SO/TR",,56,"Gonzalez, Tylen RS FR",,,,,,,
TE,84,"Olson, Sam RS JR/TR",,88,"Burnett, Keyan JR",,85,"Miranda, Roberto RS JR",,82,"Thomas, Dorian RS FR",,80,"Tapley, Dylan FR",
QB,11,"Fifita, Noah RS SO",,17,"Dorman, Brayden RS FR",,15,"Damante, Adam SO/TR",,12,"Tannenbaum, Cole RS SO",,8,"Garcia, Anthony RS FR/TR",
RB,1,"Croskey-Merritt, Jacory RS SR/TR",,7,"Conley, Quali SR/TR",,21,"Luke, Rayshon JR",,3,"Reescano, Kedrick RS FR/TR",,20,"Johnson, Brandon RS FR",
DEF,,,,,,,,,,,,,,,
LDE,47,"Ta'ufo'ou, Stanley RS SR/TR",,11,"Kennedy, Chase RS SO/TR",,42,"Lolesio, Dominic RS FR",,,,,,,
NT,92,"Ma'ae, Chubba SR/TR",,44,"Anderson, Jarra SO/TR",,91,"Johnson, Isaiah RS SO",,,,,,,
DT,45,"Darton, Kevon RS SR/TR",,46,"Uiagalelei, Ta'ita'i JR",,95,"Mailoto, Keanu RS JR/TR",,,,,,,
RDE,3,"Smith, Tre RS JR/TR",,90,"Keneley, Lance SR/TR",,99,"Durham, Cyrus RS SO/TR",,,,,,,
WLB,5,"Manu, Jacob JR",,6,"Brown, Taye SO",,8,"Lane II, Sterling RS SO",,,,,,,
MLB,0,"Flowe, Justin RS JR/TR",,18,"Ka'aihue, Kamuela SO",,55,"Su'a, Leviticus RS FR",,,,,,,
FCB,21,"Price, Johno SO/TR",,19,"Groves-Killebrew, Marquis RS SO/TR",,,,,,,,,,
SS,43,"Johnson, Dalton RS JR",,13,"Luttrell, Jack RS FR/TR",,,,,,,,,,
FS,9,"Maldonado, Gunner SR/TR",,12,"Smith, Genesis SO",,,,,,,,,,
BCB,1,"Davis, Tacario JR",,7,"Freeney, Demetrius JR/TR",,,,,,,,,,
STAR,2,"Stukes, Treydan SR",,24,"Celestine, Jai-Ayviauynn RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,49,"Forbes, Jordan RS SO",,32,"Peterman, Cash RS JR/TR",,19,"Salgado-Medina, Michael FR",,,,,,,
PK,33,"Loop, Tyler SR",,32,"Peterman, Cash RS JR/TR",,19,"Salgado-Medina, Michael FR",,,,,,,
KO,33,"Loop, Tyler SR",,32,"Peterman, Cash RS JR/TR",,19,"Salgado-Medina, Michael FR",,,,,,,
LS,31,"Holloway, Justin RS SR/TR",,52,"Naughton, Trey RS SO/TR",,,,,,,,,,
H,49,"Forbes, Jordan RS SO",,32,"Peterman, Cash RS JR/TR",,,,,,,,,,
PR,4,"McMillan, Tetairoa JR",,,,,,,,,,,,,
KR,24,"Celestine, Jai-Ayviauynn RS SO",,21,"Luke, Rayshon JR",,,,,,,,,,
