Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Arkansas Razorbacks,,,,,,,,,,,,,,,
WR-X,5,"Broden, Tyrone RS SR/TR",,4,"TeSlaa, Isaac RS SR/TR",,89,"Brown, Khafre RS SR/TR",,83,"James, Dazmin RS FR",,,,
WR-Z,2,"Armstrong, Andrew RS SR/TR",,17,"Brown, CJ FR",,88,"Dozier, Davion RS FR",,82,"Harrison, Monte FR",,,,
WR-SL,6,"Sategna, Isaiah RS SO",,1,"Wilson, Jaedon RS JR",,11,"Anthony, Jordan RS SO/TR",,,,,,,
LT,55,"Carmona, Fernando RS JR/TR",,67,"Street, Josh RS JR",,,,,,,,,,
LG,76,"Harris, E'Marion RS SO",,73,"Edmonson, Brooks RS SO",,,,,,,,,,
C,63,"Nichols, Addison RS SO/TR",,56,"Wiggins, Amaury RS JR/TR",,,,,,,,,,
RG,72,"Braun, Joshua RS SR/TR",,53,"Crawford, Ty'Kieast SR/TR",,50,"Branham, Kobe FR",,,,,,,
RT,54,"Blackstock, Keyshawn RS JR/TR",,78,"More, Joe RS SR/TR",,74,"Brown, Luke RS FR",,,,,,,
TE,9,"Hasz, Luke SO",,30,"Gumms, Var'keyes RS JR/TR",,8,"Washington, Ty RS SO",,81,"Paaske, Andreas RS JR/TR",,80,"Easter, Shamar RS FR",
QB,10,"Green, Taylen RS JR/TR",,3,"Singleton, Malachi RS FR",,15,"Jackson, KJ FR",,16,"Boda, Blake RS FR/TR",,19,"Ledbetter, Austin RS FR",
RB,22,"Jackson, Ja'Quinden RS SR/TR",,7,"Dubinion, Rashod JR",,0,"Russell, Braylen FR",,20,"Hill, Rodney RS SO/TR",,29,"Reed Jr., Tyrell SO/TR",
DEF,,,,,,,,,,,,,,,
LDE,40,"Jackson, Landon SR/TR",,97,"Rhodes Jr., Quincy SO",,9,"Collins, Charlie FR",,,,,,,
NT,50,"Gregory, Eric RS SR",,98,"Saili, Danny JR/TR",,95,"Geffrard, Ian RS FR",,,,,,,
DT,5,"Ball, Cameron RS JR",,93,"Rose, Keivie RS SR/TR",,99,"James, Kaleb RS FR",,55,"Hollingsworth, JJ RS SO",,,,
RDE,0,"Davillier, Nico JR",,4,"Juncaj, Anton RS SR/TR",,6,"Henderson, Kavion FR",,,,,,,
WLB,22,"Spence, Brad SO",,25,"Switzer, Anthony GR/TR",,7,"Shaw, Bradley FR",,,,,,,
MLB,10,"Sorey Jr., Xavian RS JR/TR",,14,"Dix Jr., Stephen RS JR/TR",,20,"Sanford, Alex SO",,23,"Dean, Carson RS FR",,,,
FCB,11,"Braxton, Jaylon SO",,13,"Robinson, Marquise SR/TR",,2,"Bridges, Selman FR",,,,,,,
SS,8,"Johnson, Jayden SR",,16,"Mitchell, Miguel JR/TR",,,,,,,,,,
FS,17,"Clark, Hudson RS SR",,18,"Metcalf, TJ SO",,33,"Hasz, Dylan SO",,,,,,,
BCB,15,"Singletary, Jaheim RS SO/TR",,1,"Stewart, Kee'yon RS SR/TR",,,,,,,,,,
HOG,3,"Slaughter, Doneiko RS SR/TR",,30,"Worth III, Larry JR/TR",,24,"Metcalf, Tevis FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,37,"Bale, Devin RS JR/TR",,95,"Dubwig, Sam FR",,,,,,,,,,
PK,36,"Shipley, Matthew RS SR/TR",,39,"Ramsey, Kyle RS SR/TR",,90,"Calvaruso, Vito RS SR/TR",,,,,,,
KO,36,"Shipley, Matthew RS SR/TR",,39,"Ramsey, Kyle RS SR/TR",,90,"Calvaruso, Vito RS SR/TR",,,,,,,
LS,48,"Stein, Eli JR",,45,"Schmidly, Max RS FR",,30,"Ngo, Ashton RS JR/TR",,,,,,,
H,37,"Bale, Devin RS JR/TR",,95,"Dubwig, Sam FR",,,,,,,,,,
PR,6,"Sategna, Isaiah RS SO",,11,"Braxton, Jaylon SO",,11,"Anthony, Jordan RS SO/TR",,,,,,,
KR,6,"Sategna, Isaiah RS SO",,11,"Braxton, Jaylon SO",,11,"Anthony, Jordan RS SO/TR",,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,57,"Madison, Zuri FR",,75,"Kutas, Patrick JR",,,,,,,,,,
