Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Arkansas State Red Wolves,,,,,,,,,,,,,,,
WR-X,15,"Ealy, Reagan SR",,4,"Hornsby, Malik RS JR/TR",,81,"Lipscomb, Takare SO",,,,,,,
WR-Z,7,"Rucker, Corey RS JR/TR",,11,"Jones, Adam RS SR/TR",,3,"Summers, Hunter RS FR/TR",,,,,,,
WR-SL,9,"Jackson, Courtney RS SR/TR",,10,"Bryant, Tennel SO",,16,"Cobb, Chauncy RS FR",,,,,,,
LT,65,"Smith, Noah RS JR",,74,"Zollicoffer, Elijah JR",,58,"Ambrose, Cameron RS SO",,,,,,,
LG,71,"Butler, Mehki RS SR/TR",,50,"Woods, Austin RS JR",,52,"Myers, Mason RS FR",,,,,,,
C,73,"Bayer, Jacob SR/TR",,54,"Davis, Walker RS FR",,,,,,,,,,
RG,75,"Ndoma-Ogar, EJ RS JR/TR",,68,"Smith, Tristian RS JR/TR",,,,,,,,,,
RT,77,"Thomas, Makilan RS JR",,55,"Watson, Aleric RS SO",,72,"Braun, Tobias RS SR/TR",,,,,,,
TE,12,"Stevenson Jr., Manny SR",,13,"McCrumby, Miller JR",,87,"Little, Tyler SO",,17,"Bush, Jabari FR",,18,"Rexroat, James FR",
QB,1,"Raynor, Jaylen SO",,6,"McClain, Timmy RS JR/TR",,8,"Flowers, Josh FR",,19,"Miller, Ty FR",,,,
RB,2,"Cross, Ja'Quez RS JR/TR",,21,"Wallace, Zak RS SR/TR",,22,"Hawkins, Cedric SO",,20,"Sharpe II, Mike JR",,24,"Spencer, Devin FR",
DEF,,,,,,,,,,,,,,,
LDE,80,"Stephens, Kamari RS SR/TR",,32,"Hassler, Ethan SR",,22,"Jones, Jayden RS JR/TR",,,,,,,
LDT,45,"Martey, Nate SR/TR",,95,"Overton, Micaiah SR/TR",,40,"Jeffries, Ian RS FR",,,,,,,
RDT,90,"Hardiman, Tim RS JR",,17,"Toll, Blayne SR/TR",,47,"Banks, Lucas JR/TR",,,,,,,
RDE,1,"Bradley, Marcus RS JR/TR",,50,"Collins, Noah SR/TR",,4,"Whitehead, Bryan SR/TR",,,,,,,
WLB,36,"Willekes, Charles RS SR/TR",,5,"Ham, Marvin RS SR/TR",,10,"Sample, Jordan RS FR",,,,,,,
MLB,23,"Motley, Dane RS SR",,20,"Taylor, Kyle RS JR/TR",,27,"Williams, Jamil SO",,,,,,,
STAR,29,"Parks, Justin SR",,33,"Jeffery, Cam SR",,2,"Pearson, Chris SO/TR",,,,,,,
LCB,7,"Mahoney, Jordan SR/TR",,6,"Joyner, Dontay SO",,37,"Beale, AJ RS SO",,,,,,,
SS,9,"Thomas, Trevian SR",,19,"Reed III, James JR",,,,,,,,,,
FS,3,"Cole, Adrian RS SR/TR",,15,"Greil, Brandon SO",,12,"Etienne, Websley RS SO",,,,,,,
RCB,0,"Hodges, Justin SR/TR",,16,"Hood, Deaubry RS FR",,21,"Jackson, Braden FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,47,"Heicher, Ryan SR/TR",,86,"Honore, Brook RS SO/TR",,42,"Haines, Magnus RS JR/TR",,40,"Dunn, Jaxson FR",,,,
PK,32,"Ellison, Aidan RS JR",,34,"Van Andel, Clune SO",,25,"Amaya, Clayton FR",,,,,,,
KO,34,"Van Andel, Clune SO",,32,"Ellison, Aidan RS JR",,25,"Amaya, Clayton FR",,,,,,,
LS,38,"Bullard, Jack SR",,41,"Nicolson, Drew SO/TR",,31,"Ross, Xavier FR",,,,,,,
H,47,"Heicher, Ryan SR/TR",,86,"Honore, Brook RS SO/TR",,42,"Haines, Magnus RS JR/TR",,40,"Dunn, Jaxson FR",,,,
PR,9,"Jackson, Courtney RS SR/TR",,15,"Ealy, Reagan SR",,,,,,,,,,
KR,2,"Cross, Ja'Quez RS JR/TR",,15,"Ealy, Reagan SR",,,,,,,,,,
