Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Army Black Knights,,,,,,,,,,,,,,,
WR-X,87,"Reynolds, Casey SR",,84,"Schurr, Cam SR",,,,,,,,,,
WR-Z,80,"Fortner, Liam JR",,4,"Olawole, Tobi SO",,,,,,,,,,
WR-SL,15,"Short, Noah JR",,23,"Benson III, Lloyd SO",,,,,,,,,,
LT,77,"Law, Jordyn SR",,73,"Brady, Ned JR",,,,,,,,,,
LG,65,"Scott, Lucas SR",,53,"Katsigiannis, Bill SR",,,,,,,,,,
OC,51,"Small, Brady SO",,,,,,,,,,,,,
RG,59,"Jeffcoat, Will SR",,54,"Bivins, Tanner JR",,50,"Bartosh, Braden JR",,,,,,,
RT,70,"Hoyt, David SR",,69,"Adoghe, Matthew SR",,,,,,,,,,
TE,85,"Crossan, David SR",,86,"Montesi, Will SR",,46,"Reece, Seth SO",,45,"Thompson, Toby SO",,,,
QB,13,"Daily, Bryson SR",,1,"Mundell, Zach JR",,10,"Coleman, Dewayne JR",,14,"Bolden, Mitch SO",,3,"Hellums, Cale SO",
RB-A,6,"Udoh, Kanye SO",,8,"Reed, Hayden JR",,33,"Rendina, Jake SO",,42,"Williams, AJ SR",,,,
RB-B,21,"Robinson, Tyrell SR",,22,"Stewart, Miles SR",,5,"Dickson, Jarel SR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,91,"Sofia, Trey SR",,58,"Rafferty, Tyler SR",,98,"Gray, Deshontez JR",,99,"Bousum, Jack SO",,,,
NT,95,"Lewis, Kyle SR",,93,"Winokur, Cody SR",,,,,,,,,,
DT,92,"Latore, Jack JR",,97,"Miller, Dre SR",,,,,,,,,,
OLB,40,"Ford, Eric JR",,18,"Modozie, Elo SO",,,,,,,,,,
MLB,53,"Fortner, Kalib JR",,,,,,,,,,,,,
WLB,36,"Gerena, Brett SR",,51,"Thomas, Andon JR",,,,,,,,,,
LCB,16,"Washington, Damon SR",,,,,,,,,,,,,
SS,6,"DiDomenico, Max SR",,11,"Zitiello, Tommy SR",,,,,,,,,,
FS,9,"Bibbins, Aaron SR",,14,"Shields, Gavin JR",,,,,,,,,,
RCB,28,"Platt, Donavon JR",,,,,,,,,,,,,
NB,2,"Keith, Chance SR",,20,"Larkin, Casey JR",,43,"Baker, Hamilton SR",,25,"Banks, Josiah SR",,39,"Birl, Isaiah SO",
ST,,,,,,,,,,,,,,,
PT,38,"Allan, Cooper JR",,99,"Rhodes, Matthew SR",,83,"Gibbons, Matthew JR",,13,"Wagenseller, James SO",,,,
PK,1,"Britton, Anderson JR",,96,"Gronotte, Trey SR",,7,"Barnett, Charlie JR",,,,,,,
KO,7,"Barnett, Charlie JR",,1,"Britton, Anderson JR",,96,"Gronotte, Trey SR",,,,,,,
LS,66,"Prieto, Drew SO",,55,"Walter, Owen SO",,,,,,,,,,
H,38,"Allan, Cooper JR",,99,"Rhodes, Matthew SR",,83,"Gibbons, Matthew JR",,13,"Wagenseller, James SO",,,,
PR,21,"Robinson, Tyrell SR",,8,"Weaver, Justin JR",,,,,,,,,,
KR,21,"Robinson, Tyrell SR",,15,"Short, Noah JR",,,,,,,,,,
