Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
BYU Cougars,,,,,,,,,,,,,,,
WR-X,5,"Lassiter, Darius RS SR/TR",,17,"Marion, Keelan RS JR/TR",,0,"Montgomery, Marquis RS SR/TR",,0,"Hagen, Cody FR",,,,
WR-Z,2,"Roberts, Chase RS JR",,13,"Phillips, Jojo RS FR",,0,"Nacua, Tei FR",,,,,,,
WR-SL,0,"Epps, Kody RS JR",,82,"Kingston, Parker RS SO",,89,"McKenzie, Dominique FR",,83,"Covey, Weston FR",,,,
LT,64,"Keim, Brayden RS SR",,74,"Ostler, Trevin RS SO",,,,,,,,,,
LG,61,"Lapuaho, Weylin JR/TR",,56,"Eichorn, Jake RS JR/TR",,73,"Jones, Weston RS FR",,,,,,,
C,70,"Pay, Connor SR",,75,"Dawe, Sam RS SO/TR",,,,,,,,,,
RG,51,"Makasini, Sonny RS SO",,72,"Brown, Joe FR",,63,"Mitchell, Bruce RS SO",,,,,,,
RT,76,"Etienne, Caleb RS SR/TR",,77,"Griffin, Jake RS FR",,79,"Chidester, Kaden RS FR",,,,,,,
TE,1,"Hill, Keanu RS SR",,80,"Swanson, Ryner FR",,42,"Paulo, Ray RS SR/TR",,86,"Bowers, Jackson RS FR",,99,"Ta'ase, Mata'ava SR/TR",
QB,12,"Retzlaff, Jake RS JR/TR",,3,"Bohanon, Gerry RS SR/TR",,10,"Bourguet, Treyson RS SO/TR",,11,"Fennegan, Cade RS JR/TR",,,,
RB,27,"Martin, LJ SO",,4,"Davis, Miles RS JR",,7,"Ropati, Hinckley RS SR/TR",,23,"Haunga, Pokaiaua FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,92,"Batty, Tyler SR",,93,"Mangelson, Blake SR",,48,"Schoonover, Bodie RS SO",,,,,,,
NT,99,"Singh, Joshua RS JR",,91,"Johnson, Dallin FR",,0,"To'omalatai, Luke JR/TR",,,,,,,
DT,94,"Nelson, John SR",,90,"Latu, David JR/TR",,95,"Taumoepeau, John JR/TR",,,,,,,
RDE,13,"Bagnah, Isaiah RS SR/TR",,59,"Lutui, Logan RS SR/TR",,44,"Asiata, Ephraim FR",,58,"Moa, Aisea RS SO",,,,
SAM,17,"Kelly, Jack RS JR/TR",,18,"Kaufusi, Ace SO",,30,"Hall, Miles RS FR",,,,,,,
MACK,2,"Bywater, Ben RS SR",,11,"Taggart, Harrison RS SO/TR",,54,"Esera, Siale SO",,,,,,,
ROVER,16,"Glasker, Isaiah RS SO",,41,"Moa, Sione RS JR/TR",,34,"Kaufusi, Maika RS FR",,,,,,,
LCB,4,"Collins, Marque RS SR/TR",,32,"McKenzie, Marcus SO",,24,"Alexander, Therrian FR",,,,,,,
SS,25,"Alfrey, Talan RS JR",,26,"Slade, Ethan RS JR",,7,"Wakley, Crew RS JR/TR",,,,,,,
FS,3,"Damuni, Raider SO",,22,"Prassas, Tommy FR",,28,"Wall, Tanner RS JR",,0,"Satuala, Faletau FR",,,,
RCB,0,"Robinson, Jakob SR/TR",,19,"Bamba, Mory RS JR/TR",,29,"Dunlap, Jayden RS JR/TR",,36,"Johnson, Evan RS SO",,,,
NB,1,"Harper, Micah RS JR",,20,"Eldredge, Koa SO",,12,"Rex, Preston RS SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,31,"Van Der Haar, Sam RS SO/TR",,39,"Rehkow, Landon RS FR",,,,,,,,,,
PK,44,"Ferrin, Will RS JR/TR",,97,"Dunn, Matthias RS FR",,,,,,,,,,
KO,44,"Ferrin, Will RS JR/TR",,97,"Dunn, Matthias RS FR",,,,,,,,,,
H,31,"Van Der Haar, Sam RS SO/TR",,39,"Rehkow, Landon RS FR",,,,,,,,,,
LS,47,"Riggs, Dalton RS SO",,,,,,,,,,,,,
PR,82,"Kingston, Parker RS SO",,24,"Alexander, Therrian FR",,17,"Marion, Keelan RS JR/TR",,,,,,,
KR,17,"Marion, Keelan RS JR/TR",,89,"McKenzie, Dominique FR",,83,"Covey, Weston FR",,,,,,,
