Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Ball State Cardinals,,,,,,,,,,,,,,,
WR-X,5,"Bowick, Justin JR/TR",,8,"Gillie, Malcolm SR/TR",,,,,,,,,,
WR-Z,2,"Robinson, Ty RS JR/TR",,19,"Presley, Nick JR",,,,,,,,,,
WR-SL,16,"Magwood, Qian RS JR",,0,"Munson, Nick RS SO",,,,,,,,,,
LT,78,"Al-Awadi, Yaser RS SO/TR",,66,"Hood, Chris RS SO",,,,,,,,,,
LG,64,"Mucciolo, Jon GR/TR",,71,"Meeder, Kevin RS JR",,,,,,,,,,
OC,54,"Crowe, Ethan SR",,,,,,,,,,,,,
RG,77,"Tyo, Taran RS SO",,70,"Cook, Tristan RS FR",,,,,,,,,,
RT,73,"Mosier, Cole RS SO",,61,"Dalton, Luke RS SO/TR",,,,,,,,,,
TE,88,"Koziol, Tanner JR",,87,"Abney, Christian SO",,44,"Webster, Maximus RS SO",,,,,,,
QB,3,"Semonza, Kadin RS FR",,12,"Harrison, Chase RS SO/TR",,4,"Blazek, Colin RS SO",,18,"Leffler, Aidan RS SO",,,,
RB,38,"Spegal, Charlie RS JR/TR",,20,"Horton, TJ RS FR",,24,"Davis, Christian RS FR",,27,"Mikulich, Cody RS FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,57,"Reichert, Nathan SR",,99,"Frazier, Dakari RS SO",,,,,,,,,,
NT,47,"Hughes, Drew RS JR",,97,"Luter, L'Cier RS JR/TR",,,,,,,,,,
RDE,40,"Tolsma, Riley GR/TR",,92,"Smith, Cody RS FR",,,,,,,,,,
EDGE,49,"Thomas, Justin JR/TR",,13,"Berger, Brandon SR",,43,"Royster, Danny RS SO",,,,,,,
MLB,9,"Newson, Keionté SR",,22,"Beebe, Jack RS JR",,,,,,,,,,
WLB,21,"Stemler, Joey RS JR",,18,"Wiegold, Jackson RS JR",,,,,,,,,,
LCB,10,"Harmon, Jahmad RS SO/TR",,46,"Jones, Jalon RS SO",,,,,,,,,,
SS,33,"Snyder, DD RS JR/TR",,,,,,,,,,,,,
FS,26,"Coleman, Jordan RS SO",,,,,,,,,,,,,
RCB,12,"Baldwin, Thailand RS JR",,28,"Schonhorst, Blair RS SO",,,,,,,,,,
NB,19,"Udo, George GR/TR",,16,"Taylor, AJ RS JR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,,,,,,,,,,,,,,,
PK,96,"Courville, Jackson SO",,98,"Holmer, Carson RS SO",,,,,,,,,,
KO,98,"Holmer, Carson RS SO",,,,,,,,,,,,,
LS,53,"Dunn, Tucker GR/TR",,50,"Britton, Caden RS SO",,,,,,,,,,
H,4,"Blazek, Colin RS SO",,,,,,,,,,,,,
PR,0,"Munson, Nick RS SO",,16,"Magwood, Qian RS JR",,,,,,,,,,
KR,8,"Gillie, Malcolm SR/TR",,19,"Presley, Nick JR",,,,,,,,,,
