Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Baylor Bears,,,,,,,,,,,,,,,
WR-X,11,"Jackson Jr., Ketron SR/TR",,34,"Cameron, Josh RS JR",,84,"Bonner, Cameron RS JR",,,,,,,
WR-Z,16,"Presley, Hal SR",,89,"Hawkins, Ashtyn RS SR/TR",,,,,,,,,,
WR-SL,80,"Baldwin, Monaray SR",,20,"Bell, Jamaal RS SR/TR",,17,"Burton, Jonah RS JR",,,,,,,
LT,79,"Ebosele, Alvin RS SO",,58,"Byers, Gavin RS SR",,,,,,,,,,
LG,75,"Danneker, Kurt RS SR/TR",,62,"Lengyel, Ryan RS JR",,,,,,,,,,
C,72,"Price, Coleton RS SO",,78,"Sieracki, Koltin FR",,,,,,,,,,
RG,68,"Aigbedion, Omar JR/TR",,0,"Fugar, Sidney RS SR/TR",,,,,,,,,,
RT,53,"Barrington, Campbell SR/TR",,74,"Sieracki, Kaden RS SO",,0,"Thomasson, Colton RS FR/TR",,,,,,,
TE,86,"Trigg, Michael RS JR/TR",,87,"Johnson, Kelsey JR",,85,"Klopfenstein, Matthew SO",,43,"Yates, Gavin SR",,,,
QB,12,"Finn, Dequan RS SR/TR",,13,"Robertson, Sawyer RS JR/TR",,11,"Bennett, Nate FR",,,,,,,
RB,21,"Richardson, Dominic SR/TR",,29,"Reese, Richard JR",,35,"Pendergrass, Dawson SO",,30,"Washington, Bryson RS FR",,,,
DEF,,,,,,,,,,,,,,,
DE,91,"Wilson, Trey SO",,96,"Lolohea, Tonga RS JR/TR",,50,"Roberts-Day, Kaian RS SO",,,,,,,
NT,97,"Lanz, Cooper RS JR",,90,"Bett, Brendan SO",,,,,,,,,,
DT,48,"Ma'ae, Treven RS SR/TR",,59,"Tezino, Devonte RS SO",,,,,,,,,,
JACK,55,"Randolph, Garmon RS SR",,54,"Linton, Steve RS SR/TR",,51,"Jordan, Kyler RS SO",,,,,,,
MLB,2,"Jones, Matt RS SR",,42,"Evans, Jeremy RS SO",,36,"Brown, Tyrone RS JR",,,,,,,
WLB,41,"Miller, Brooks RS SR",,44,"White, Josh RS SR/TR",,40,"Thomas, Keaton RS SO/TR",,,,,,,
LCB,19,"Jenkins, Caden SO",,27,"Williams III, Tevin RS JR",,22,"Bush, Reggie RS SO",,,,,,,
WS,28,"Bobby, Devyn JR",,33,"Coleman, DJ SO",,,,,,,,,,
FS,16,"Simpkins, Kendrick RS SR/TR",,20,"Lemear, Devin RS JR",,23,"Jenkins, Cameren SO/TR",,,,,,,
RCB,21,"Reed, Chateau RS SR",,13,"Dunson, Isaiah RS JR/TR",,,,,,,,,,
NB,15,"Williams IV, Carl SO",,24,"Gordon Jr., Corey RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,94,"Williams, Palmer SO",,98,"Hankins, Isaiah RS JR",,,,,,,,,,
PK,98,"Hankins, Isaiah RS JR",,99,"Stone, Jack JR/TR",,97,"Arnold, Hayden RS FR",,,,,,,
KO,99,"Stone, Jack JR/TR",,98,"Hankins, Isaiah RS JR",,97,"Arnold, Hayden RS FR",,,,,,,
LS,26,"Grimes, Garrison RS JR",,93,"Schaub, Dylan SO",,,,,,,,,,
H,94,"Williams, Palmer SO",,13,"Robertson, Sawyer RS JR/TR",,,,,,,,,,
PR,34,"Cameron, Josh RS JR",,80,"Baldwin, Monaray SR",,,,,,,,,,
KR,29,"Reese, Richard JR",,20,"Bell, Jamaal RS SR/TR",,,,,,,,,,
