Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Boise State Broncos,,,,,,,,,,,,,,,
WR-X,17,"Strachan, Prince SO",,5,"Marshall, Chris JR/TR",,,,,,,,,,
WR-Z,9,"Camper, Cameron GR/TR",,81,"Bolt, Austin RS SR",,,,,,,,,,
WR-F,3,"Caples, Latrell RS SR",,13,"Penry, Chase RS JR/TR",,,,,,,,,,
LT,77,"Casey, Kage RS SO",,75,"Metoyer, Daylon JR/TR",,67,"Steele, Jason RS FR",,,,,,,
LG,66,"Dooley, Ben GR",,78,"Keinath, Tyler RS JR/TR",,72,"Holmes, Zach RS JR/TR",,,,,,,
C,63,"Randolph, Mason RS JR",,57,"Cardona, Nathan RS SR",,74,"Gilbreath, Connor RS SO/TR",,,,,,,
RG,62,"Carreon, Roger RS SO",,68,"Steele, Jake RS SO/TR",,64,"Rasmussen, Carson RS FR",,,,,,,
RT,65,"Schmidt, Hall RS SO",,70,"Cox, Kyle RS FR",,,,,,,,,,
TE-Y,85,"Lauter, Matt RS JR",,86,"Terry, Austin RS SO",,88,"Wagner, Matt RS FR",,48,"Fisher, Oliver RS FR",,87,"Bothwell, Mitch RS JR/TR",
QB,4,"Madsen, Maddux RS SO",,7,"Nelson, Malachi RS FR/TR",,15,"Fulton, Colt RS JR",,14,"Cutforth, Max RS FR",,16,"Annett, Kaleb FR",
RB,2,"Jeanty, Ashton JR",,1,"Dubar, Jambres SO",,26,"Gaines, Sire FR",,25,"Dudley, Kaden RS JR",,24,"Riley, Dylan FR",
DEF,,,,,,,,,,,,,,,
DE,91,"Hassanein, Ahmed SR",,15,"Wegis, Tyler RS SR/TR",,95,"Stege, Max SO",,,,,,,
NT,98,"Gums, Herbert RS SR",,9,"Newton, Sheldon GR/TR",,,,,,,,,,
DT,90,"Fely, Braxton JR",,92,"Callahan, Michael GR",,,,,,,,,,
EDGE,52,"Woodard, Tavion GR/TR",,5,"Virgin-Morgan, Jayden RS SO",,54,"Hunter, Gabe RS SR",,50,"Marsh, Joseph SO/TR",,,,
MLB,53,"Notarainni, Marco RS JR",,43,"Ripp, Jake RS SO",,30,"Milkovic, Wyatt RS FR",,,,,,,
WLB,10,"Simpson, Andrew RS JR",,22,"Martin, Chase SO",,44,"Ezeani, Udoka RS JR/TR",,,,,,,
FCB,7,"McCoy, A'Marion SR/TR",,20,"Banks, Davon RS JR/TR",,27,"Thornton, Dionte RS SO",,,,,,,
SS,34,"Teubner, Alexander GR",,21,"Washington, Zion RS JR",,29,"Lopez, Milo SR/TR",,,,,,,
FS,4,"Robinson, Rodney RS SR",,14,"Kaniho, Kaonohi RS SR",,32,"Cleave, Bryce RS JR",,,,,,,
BCB,8,"Reed, Markel RS SR",,6,"Earby, Jeremiah JR/TR",,31,"Griffey, Tevin RS SR/TR",,,,,,,
NB,23,"Oladipo, Seyi SR",,0,"Benefield, Ty SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,46,"Ferguson-Reynolds, James JR",,35,"Dalmas, Jonah GR",,30,"Reeser, Jarrett RS SO/TR",,,,,,,
PK,35,"Dalmas, Jonah GR",,39,"Schive, Taren SR/TR",,30,"Reeser, Jarrett RS SO/TR",,,,,,,
KO,35,"Dalmas, Jonah GR",,39,"Schive, Taren SR/TR",,30,"Reeser, Jarrett RS SO/TR",,,,,,,
LS,42,"Hutton, Mason RS JR",,49,"Smith, Ty FR",,,,,,,,,,
H,46,"Ferguson-Reynolds, James JR",,15,"Fulton, Colt RS JR",,,,,,,,,,
PR,13,"Penry, Chase RS JR/TR",,,,,,,,,,,,,
KR,25,"Dudley, Kaden RS JR",,13,"Penry, Chase RS JR/TR",,,,,,,,,,
