Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Boston College Eagles,,,,,,,,,,,,,,,
WR-X,9,"Bradley, Jerand RS JR/TR",,10,"Harris, Reed RS FR",,23,"Wade, Montrell RS FR",,,,,,,
WR-Z,11,"Bond, Lewis RS JR",,6,"Skeete, Jaedn SO",,82,"Zamor, Ismael RS SO",,,,,,,
WR-F,4,"McGowan, Jayden JR/TR",,13,"Tomlin, Dino RS SR/TR",,3,"Johnson, Nate SO",,,,,,,
LT,65,"Taylor, Logan RS JR/TR",,71,"Bowry, Jude RS SO",,72,"Funke, Jack RS SO",,20,"Price, KP SO",,,,
LG,67,"Conley, Jack GR",,62,"Hess, Otto RS JR",,69,"Lafontant, Jadon FR",,,,,,,
C,66,"Kendall, Drew RS JR",,56,"Daugherty, Eryx RS FR",,77,"Crounse, Michael RS FR",,,,,,,
RG,53,"Allick, Dwayne RS SR",,79,"Cline, Kevin RS SR",,,,,,,,,,
RT,70,"Trapilo, Ozzy RS SR",,76,"Krajnovic, Ilija RS JR",,58,"Mickow, Ryan RS FR",,,,,,,
TE,17,"Franklin, Jeremiah JR",,88,"Morales, Kamari GR/TR",,87,"Ragan, Matt RS SO",,81,"Symonds, Holden RS FR",,,,
QB,1,"Castellanos, Thomas JR/TR",,14,"James, Grayson RS JR/TR",,16,"Robinson, Jacobe RS FR",,,,,,,
RB,5,"Robichaux, Kye SR/TR",,0,"Ward, Treshaun GR/TR",,25,"McDonald, Jordan JR/TR",,20,"Broome, Alex JR",,,,
DEF,,,,,,,,,,,,,,,
LDE,4,"Okpala, Neto SR",,17,"Kolenge, Edwin RS SO",,95,"Wilson, Clive RS SO",,,,,,,
NT,96,"Horsley, Cam GR",,55,"Williams, Kwan JR",,98,"Tate, Nigel RS JR",,,,,,,
DT,91,"Rooks, George RS JR/TR",,88,"McConnell, Sedarius RS JR/TR",,93,"Stoudmire, Owen RS JR",,,,,,,
RDE,6,"Ezeiruaku, Donovan SR",,99,"Tongrongou, Gilbert RS SO",,15,"Hutchins, Quintayvious RS JR",,,,,,,
WLB,5,"Arnold, Kam GR",,27,"Crouch, Daveon JR",,,,,,,,,,
MLB,2,"Steele, Bryce RS JR",,33,"McGowan, Owen RS JR",,44,"Faoa, Palaie RS FR",,,,,,,
SLB,8,"Blackwell, Jaylen RS JR",,7,"Hala, Sione RS SO",,,,,,,,,,
LCB,24,"Jackson, Amari JR",,38,"Tucker, Max SO",,14,"Williams, Jalon RS JR",,,,,,,
SS,0,"Martinez, Cameron RS SR/TR",,20,"Price, KP SO",,25,"Jones, Bugg RS JR",,,,,,,
FS,23,"Batson, Cole RS JR",,21,"Nelson, Victor RS SR/TR",,39,"Ali, Kahlil RS FR",,,,,,,
RCB,19,"Brown, Bryquice GR/TR",,10,"Cheek, Jalen RS JR",,28,"Davis, Carter RS FR",,,,,,,
NB,3,"Johnson, Khari RS SR/TR",,18,"Turner, Ryan RS SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,43,"Candotti, Sam JR",,35,"Zivenko, Ivan SO/TR",,,,,,,,,,
PK,95,"Connor, Liam JR",,,,,,,,,,,,,
KO,99,"Lombardo, Luca JR",,95,"Connor, Liam JR",,,,,,,,,,
LS,28,"Gugni, Jackson GR",,,,,,,,,,,,,
H,43,"Candotti, Sam JR",,35,"Zivenko, Ivan SO/TR",,,,,,,,,,
PR,11,"Bond, Lewis RS JR",,4,"McGowan, Jayden JR/TR",,3,"Johnson, Nate SO",,,,,,,
KR,4,"McGowan, Jayden JR/TR",,11,"Bond, Lewis RS JR",,3,"Johnson, Nate SO",,,,,,,
