Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Bowling Green Falcons,,,,,,,,,,,,,,,
WR-X,2,"Garcia II, RJ RS JR/TR",,11,"Hogan, Finn RS JR/TR",,,,,,,,,,
WR-Z,1,"Johnson Jr., Malcolm RS SR/TR",,84,"Grguric, Dom JR/TR",,,,,,,,,,
WR-SL,5,"Tillman, Jaylon SR/TR",,0,"Smith, Rahkeem JR/TR",,,,,,,,,,
LT,52,"Reimer, Nick SR/TR",,77,"Thomas Jr., James RS FR",,,,,,,,,,
LG,65,"Burns, Jake SR/TR",,55,"Fatukasi, Tunde SR/TR",,,,,,,,,,
OC,57,"Padgett, Alex RS JR",,72,"Zimmerly, Cade RS JR",,,,,,,,,,
RG,75,"Pabst, Nate RS JR",,54,"Bolyn, Brody RS FR",,,,,,,,,,
RT,50,"Wollschlaeger, Alex RS SR",,53,"Roberts, Billie RS SR",,79,"Gaddy, Darius RS JR",,,,,,,
TE,44,"Fannin Jr., Harold JR",,10,"Gazarek, Levi RS SR",,9,"Little, Griffin RS SR",,0,"Boyd, Elijah RS JR/TR",,0,"Cleaver, Blane RS JR/TR",
QB,7,"Bazelak, Connor RS SR/TR",,12,"Orth, Camden SR/TR",,3,"Anderson III, Lucian RS FR",,,,,,,
RB,4,"Stewart, Terion RS JR",,28,"Patterson, Jaison SR",,20,"Johnson, Jamal SR",,0,"Pegues, Justin JR/TR",,,,
DEF,,,,,,,,,,,,,,,
DE,99,"Saad, Ali RS SR/TR",,16,"Davis, Chace RS SR/TR",,,,,,,,,,
NT,54,"Hawkins, Anthony SR",,55,"Branch-Haynes, Evan RS JR/TR",,57,"White, Dayln RS FR",,,,,,,
DT,60,"Brown, Dontrez SR",,38,"Kelly, Dierre SR",,90,"Miles, Davonte RS SO",,,,,,,
JACK,33,"Porter, Jordan SR",,48,"Bradley, Myles RS SO",,35,"Eklund, Justin RS SO/TR",,,,,,,
WLB,3,"Sipp Jr., Joseph JR",,0,"Stephens, Donny RS JR/TR",,,,,,,,,,
MLB,2,"Horne, Brock RS SR",,46,"Taborn, Devin SO/TR",,,,,,,,,,
SLB,11,"Hardamon, Demetrius RS SR/TR",,13,"Rosser, Charles RS SR",,15,"McGary, Avi RS SR",,,,,,,
FCB,1,"Oladokun, Jordan SR/TR",,0,"Bumphis, Todd RS SR/TR",,23,"Rhambo, Edward SO/TR",,,,,,,
FS,9,"Lorfils, Darius JR",,6,"Brown, CJ RS JR/TR",,,,,,,,,,
BS,8,"Simms, Trent RS SR",,32,"Day, Patrick RS SR",,,,,,,,,,
BCB,7,"Benjamin, Jacorey SR/TR",,18,"Burton, Jalen SR",,21,"Pratt, Xander RS SO/TR",,,,,,,
NB,0,"McClendon, Darius RS SR/TR",,,,,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,19,"Henderson, John JR/TR",,14,"Kleather, Jackson SO",,,,,,,,,,
PK,98,"Anaya, Alan RS JR",,46,"Long, Zach RS JR/TR",,,,,,,,,,
KO,46,"Long, Zach RS JR/TR",,98,"Anaya, Alan RS JR",,,,,,,,,,
LS,47,"Carlson, George RS JR",,,,,,,,,,,,,
H,19,"Henderson, John JR/TR",,14,"Kleather, Jackson SO",,,,,,,,,,
PR,0,"Smith, Rahkeem JR/TR",,,,,,,,,,,,,
KR,0,"Smith, Rahkeem JR/TR",,28,"Patterson, Jaison SR",,5,"Tillman, Jaylon SR/TR",,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,30,"Wimberly, PaSean RS SR",,,,,,,,,,,,,
