Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Buffalo Bulls,,,,,,,,,,,,,,,
WR-X,11,"Johnson, Taji GR/TR",,6,"Morrow, Chance RS SO/TR",,,,,,,,,,
WR-Z,2,"Jenkins, JJ GR/TR",,1,"Sanders, Qua SR/TR",,,,,,,,,,
WR-SL,17,"McMillan, Nik RS SO",,82,"Snow, Victor RS SO/TR",,,,,,,,,,
LT,73,"Tabansi, Henry RS FR",,,,,,,,,,,,,
LG,79,"Brock, Trevor JR/TR",,,,,,,,,,,,,
OC,66,"Polizzi, Dom GR",,,,,,,,,,,,,
RG,78,"Doty, Tyler SR",,,,,,,,,,,,,
RT,77,"Shepard, Caelan RS SR",,,,,,,,,,,,,
TE,81,"Orlando, Jake GR/TR",,85,"Schnackenberg, Andrew SR/TR",,,,,,,,,,
QB,10,"Ogbonna, CJ SR/TR",,9,"Gray, Gunnar RS JR/TR",,0,"Shields, Jack RS JR/TR",,18,"Policare, Anthony RS FR",,,,
RB,20,"Barksdale, Jacqez SR/TR",,32,"Sperling, Lamar RS FR",,33,"Scott Jr., Mark-Anthony RS SO",,13,"Burch, Messiah RS FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,53,"Bazile, C.J. GR",,0,"Colclough, Antonio RS SR/TR",,92,"Yau Gayle, Luke FR",,,,,,,
LDT,90,"Wolo, George RS SR",,99,"Evans, Cornell RS SO",,95,"Acuri, Matthew JR/TR",,96,"Goodell, Charlton SR/TR",,,,
RDT,98,"Folsom, Daishon GR/TR",,97,"Poyser, Junior RS FR",,55,"Souza, Tristan RS JR/TR",,,,,,,
RDE,0,"Stewart, Kobe RS JR/TR",,11,"Roy, Nick RS FR",,52,"Bennett, Jacari FR",,,,,,,
WLB,2,"Murdock, Red RS SO",,45,"De Leon, Gio SR/TR",,,,,,,,,,
MLB,0,"Dolac, Shaun GR",,18,"Crawford, Dion SO",,37,"Hilty, Mathew JR/TR",,,,,,,
LCB,1,"Oliver, Jayden RS SR/TR",,3,"Bridges, Oliver RS SO/TR",,,,,,,,,,
SS,19,"Capo, Jonathan JR",,14,"Brown, SaVeon RS SO/TR",,,,,,,,,,
FS,10,"Fuqua, Marcus GR",,25,"Lewis, Jayden RS FR",,,,,,,,,,
RCB,43,"McCartherens, Charles SO",,9,"Hines III, Clevester RS SR/TR",,,,,,,,,,
NB,7,"Brown, Solomon RS SR/TR",,,,,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,0,"Duane, Ethan JR/TR",,0,"Drennan, Dylan FR",,,,,,,,,,
PK,17,"Reed, Nick RS FR",,0,"Carson, Cameron RS SR/TR",,,,,,,,,,
KO,17,"Reed, Nick RS FR",,0,"Carson, Cameron RS SR/TR",,,,,,,,,,
LS,49,"Floyd, Byron RS SR/TR",,51,"Hemer, Nick RS SO",,,,,,,,,,
H,0,"Duane, Ethan JR/TR",,0,"Drennan, Dylan FR",,,,,,,,,,
PR,17,"McMillan, Nik RS SO",,,,,,,,,,,,,
KR,17,"McMillan, Nik RS SO",,11,"Johnson, Taji GR/TR",,,,,,,,,,
