Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
California Golden Bears,,,,,,,,,,,,,,,
WR-X,5,"Merriweather, Tobias JR/TR",,26,"Torres, Isaac JR/TR",,84,"Plummer, Jaiven RS SO",,82,"Boscia, Cole RS SO/TR",,,,
WR-Z,83,"Grizzell, Trond RS JR",,3,"Grayes, Kyion RS SO/TR",,9,"Starling, Mason RS JR/TR",,,,,,,
WR-Y,8,"Matthews, Mikey SO/TR",,6,"Brady, Jonathan JR/TR",,11,"Anderson, Mavin RS JR",,17,"Martin, Josiah FR",,,,
LT,52,"Morrow, Nick RS FR",,63,"Reimer, Rush SR/TR",,69,"Newbill, Aiden FR",,,,,,,
LG,66,"McDonald, Will RS SR/TR",,68,"Ramsey, Trent RS SO",,73,"Knape, Tyler FR",,,,,,,
C,74,"Wykoff, Matthew RS JR/TR",,76,"Swinney, Bastian RS JR",,65,"Jemtegaard, Dylan RS JR",,,,,,,
RG,71,"Vatikani, Sioape JR",,54,"Williams III, Frederick RS FR",,62,"Corley, Syris FR",,,,,,,
RT,72,"Session, T.J. RS SR/TR",,78,"Stoffel, Victor RS SR/TR",,77,"Miller, Braden RS SO/TR",,,,,,,
TE,87,"Endries, Jack RS SO",,10,"Dyches, Corey SR/TR",,42,"Rutchena, Nate RS JR",,89,"Marshall, Ben RS FR",,,,
QB,15,"Mendoza, Fernando RS SO",,7,"Rogers, Chandler RS SR/TR",,16,"Harris, CJ RS SO/TR",,18,"Caminong, EJ FR",,,,
RB,1,"Ott, Jaydn JR/TR",,21,"Cardwell, Byron RS SO/TR",,2,"Calloway, Kadarius SR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,98,"Burrell, Nate JR",,95,"Calhoun, Akili RS JR",,88,"Bollers, T.J. RS JR/TR",,51,"Thomas IV, Curlee RS SO",,,,
NT,91,"Correia, Ricky SR",,94,"Saole-McKenzie, Stanley RS JR",,47,"Keanaaina, Aidan RS JR/TR",,,,,,,
RDE,99,"Saunders, Ethan RS JR",,96,"Wilkins, Derek RS JR",,52,"Ashford, Zurich RS FR",,,,,,,
LOLB,44,"Carlton, Xavier SR/TR",,92,"Williams, Myles RS JR",,18,"Tounkara, Serigne RS FR/TR",,57,"Jones, BJ RS FR",,,,
LILB,10,"Buchanan, Teddye SR/TR",,31,"Barth, Hunter RS JR",,49,"Vanderlind, Lucas SO/TR",,53,"Osondu, Eze FR",,,,
RILB,0,"Uluave, Cade SO",,15,"Johnson, Liam SR/TR",,46,"Hampton, Aaron FR",,41,"Ferrelli, Luke FR",,,,
ROLB,7,"Reese, David RS SR/TR",,43,"McCulloch, Ryan SO",,17,"Fall, Cheikhsaliou RS JR/TR",,,,,,,
LCB,21,"Hearns III, Lu-Magia SR",,8,"Wagoner, Jasiah SO/TR",,24,"Scott II, Marcus RS SO/TR",,,,,,,
SS,4,"Williams, Miles RS SR",,23,"Crosby, Isaiah RS JR/TR",,,,,,,,,,
FS,2,"Woodson, Craig RS SR",,6,"Smith, Ja'ir RS JR/TR",,9,"Yaites, Ryan SO/TR",,,,,,,
RCB,3,"Williams, Nohl SR/TR",,5,"Harris, Marcus RS SR/TR",,,,,,,,,,
NB,22,"Littlejohn, Matthew RS SR/TR",,13,"Gamble, Collin RS JR",,20,"Sidney, Cam RS SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,37,"Wilson, Lachlan RS SR/TR",,38,"Engstler, Bobby FR",,,,,,,,,,
PK,40,"Coe, Ryan RS SR/TR",,28,"Brien, Spencer RS FR",,99,"Morris, Derek FR",,,,,,,
KO,40,"Coe, Ryan RS SR/TR",,28,"Brien, Spencer RS FR",,99,"Morris, Derek FR",,,,,,,
LS,45,"Bird, David SO",,47,"Arguello, Jake RS JR/TR",,48,"Arechaederra, Ewan FR",,,,,,,
H,37,"Wilson, Lachlan RS SR/TR",,38,"Engstler, Bobby FR",,,,,,,,,,
PR,6,"Brady, Jonathan JR/TR",,8,"Matthews, Mikey SO/TR",,,,,,,,,,
KR,8,"Matthews, Mikey SO/TR",,6,"Brady, Jonathan JR/TR",,,,,,,,,,
