Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Central Florida Knights,,,,,,,,,,,,,,,
WR-X,3,"Townsend, Xavier JR",,0,"Jones, Jacoby RS SR/TR",,,,,,,,,,
WR-Z,2,"Hudson, Kobe RS SR/TR",,19,"Baker, Jarrad RS SR",,,,,,,,,,
WR-SL,80,"Whittemore, Trent RS SR/TR",,0,"Johnson, Ja'Varrius RS SR/TR",,11,"Magwood, Chauncey RS JR/TR",,,,,,,
LT,78,"Kight, Amari RS SR/TR",,59,"Cox, Keyon RS FR",,50,"Barnett, Patrick RS SR",,,,,,,
LG,76,"Medley, Adrian RS SR",,0,"Smith, Keegan RS JR/TR",,,,,,,,,,
C,52,"Kitler, Caden RS SO",,62,"Brooks, Jabari RS SR/TR",,,,,,,,,,
RG,72,"Marshall, Marcellus SR/TR",,55,"Kinnie, Cameron RS SR/TR",,56,"Cline, Johnathan RS FR",,,,,,,
RT,69,"Rubelt, Paul RS SR/TR",,73,"Dorsey, Wes RS SR/TR",,,,,,,,,,
TE,5,"Pittman Jr., Randy SO",,44,"Morris, Evan RS SR/TR",,83,"Adkins, Reece RS SR/TR",,,,,,,
QB,1,"Jefferson, KJ RS SR/TR",,0,"Brown, Jacurri RS JR/TR",,10,"Rizk, Dylan RS FR",,17,"Trujillo, Riley FR",,,,
RB,7,"Harvey, RJ RS SR/TR",,0,"Boone, Peny RS SR/TR",,0,"Richardson, Johnny RS SR",,22,"Montgomery, Myles RS JR/TR",,,,
DEF,,,,,,,,,,,,,,,
DE,51,"Lawrence, Malachi RS JR",,99,"Johnson, Jamaal RS SO",,,,,,,,,,
NT,2,"Hunter, Lee RS JR/TR",,55,"Walker, John SO",,,,,,,,,,
DT,5,"Barber, Ricky RS SR/TR",,44,"Alexander, Matthew RS JR",,91,"Hudson, Keshaun RS SO",,,,,,,
BUCK,0,"Kelly, Nyjalik RS JR/TR",,15,"Dotson, Daylan RS SR/TR",,33,"Call, Kaven SO",,,,,,,
MLB,32,"Barr, Ethan RS SR/TR",,24,"Alexander, Xe'ree SO/TR",,,,,,,,,,
WLB,14,"Pierre, Jesiah RS SR/TR",,30,"Moore, Kam JR",,,,,,,,,,
STAR,3,"Pace, Deshawn RS SR/TR",,4,"Marshall, Braeden SO",,,,,,,,,,
LCB,0,"Adams, Brandon SR",,7,"Jackson, Antione SO/TR",,27,"Johnson, Chasen FR",,,,,,,
SS,0,"Arnold II, Sheldon SR/TR",,13,"Tennison, Ladarius RS SR/TR",,29,"Wells, William SR",,,,,,,
FS,8,"Henderson, Demari JR",,12,"Threats, Bryon SR/TR",,10,"Bullard, Quadric RS SR",,,,,,,
RCB,0,"Fegans, Tre'Quon RS SO/TR",,0,"McWilliams, Mac RS SR/TR",,1,"Henderson, Ja'Cari RS SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,40,"McCarthy, Mitch JR",,32,"Carter, Michael RS SO",,,,,,,,,,
PK,35,"Boomer, Colton JR",,80,"Reddick, Grant RS FR",,,,,,,,,,
KO,35,"Boomer, Colton JR",,80,"Reddick, Grant RS FR",,,,,,,,,,
LS,41,"King, Gage RS SR/TR",,42,"Fedigan, Aidan RS SO",,,,,,,,,,
H,40,"McCarthy, Mitch JR",,32,"Carter, Michael RS SO",,,,,,,,,,
PR,3,"Townsend, Xavier JR",,0,"McWilliams, Mac RS SR/TR",,,,,,,,,,
KR,0,"Richardson, Johnny RS SR",,7,"Harvey, RJ RS SR/TR",,3,"Townsend, Xavier JR",,,,,,,
