Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Central Michigan Chippewas,,,,,,,,,,,,,,,
WR-X,13,"Parker, Chris RS JR",,14,"Davis, Solomon RS SR/TR",,18,"Williams, Jordyn RS JR/TR",,,,,,,
WR-Z,17,"Prewitt III, Jesse SR/TR",,8,"Boyd, Evan RS FR",,20,"Lewis, Langston RS SO",,,,,,,
WR-SL,19,"Davis, Tyson RS JR",,10,"Bracey Jr., Stephan RS SR/TR",,7,"Wimberly, Javorian SO",,,,,,,
LT,75,"Heinzen, Davis RS JR",,70,"Jackson, Jemeil SR/TR",,,,,,,,,,
LG,76,"Koivisto, Martin RS SO",,59,"Ploucha, Brady RS SO",,,,,,,,,,
OC,63,"Serapiglia III, Dominic RS SR/TR",,55,"Blum, Ryan RS FR",,,,,,,,,,
RG,78,"Bailey, Vashon RS SR",,71,"Martinez, Luis JR/TR",,,,,,,,,,
RT,68,"Swartout, Brayden SR",,69,"Booth, Jacob RS FR",,,,,,,,,,
TE,88,"Temple, DeCorion RS SO",,87,"Kaminski, Jacob JR/TR",,89,"Callahan, Rory RS FR",,,,,,,
QB,3,"Emanuel Jr., Bert RS SO",,2,"Labas, Joe RS JR/TR",,5,"Jefferson, Tyler RS FR",,15,"Glasser, Jadyn FR",,,,
RB,9,"Lukes, Marion SR",,26,"Bailey, Myles SR",,28,"Harris, B.J. SR/TR",,0,"Biggins, Nahree RS JR",,,,
DEF,,,,,,,,,,,,,,,
LDE,0,"Davis, Jaden SR/TR",,49,"Hayden, Keshawn RS FR",,0,"Waldrond, Jeremiah JR/TR",,,,,,,
NT,94,"Williams, Jason JR",,99,"Odjugo, Pius JR/TR",,,,,,,,,,
DT,91,"Pace, Jonah RS JR",,98,"Decker, Jonathan RS JR",,,,,,,,,,
RDE,97,"Heldman, Michael RS JR",,44,"Kostus, Kade RS SO",,90,"Conde, Oumar RS SO/TR",,,,,,,
WLB,14,"Sanchez III, Fernando RS JR",,12,"Kwiatkowski, Jordan JR",,,,,,,,,,
MLB,11,"Cochran, Dakota RS JR",,40,"Brown, Lawai'a RS JR",,,,,,,,,,
SLB,6,"Whiteside, Justin SR",,20,"Parker, Ke'Shon RS SR",,,,,,,,,,
LCB,0,"Badgett, Marcus RS JR/TR",,16,"Turner-Kinsler, Jaree SR/TR",,,,,,,,,,
SS,15,"Spann, Caleb RS JR",,7,"Conoran, Ed RS SO",,,,,,,,,,
FS,2,"Rikard, Elijah RS JR",,23,"Krebs, Kyle RS SO",,,,,,,,,,
RCB,5,"McKinney, Da'Raun RS SR/TR",,8,"Snell, Aakeem RS SR/TR",,,,,,,,,,
NB,4,"Kent, Donte SR",,3,"Deasfernandes, Brenden RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,36,"Chapeau, David SR/TR",,32,"Peluso, Ryan RS JR",,35,"Hertzberg, Dylan RS SO",,,,,,,
PK,47,"Mattson, Tristan RS SR/TR",,41,"Graham, Cade FR",,,,,,,,,,
KO,47,"Mattson, Tristan RS SR/TR",,41,"Graham, Cade FR",,,,,,,,,,
LS,30,"Pratt, Ben RS JR",,42,"Curtis, Grayson RS SO",,,,,,,,,,
H,36,"Chapeau, David SR/TR",,32,"Peluso, Ryan RS JR",,35,"Hertzberg, Dylan RS SO",,,,,,,
PR,7,"Wimberly, Javorian SO",,10,"Bracey Jr., Stephan RS SR/TR",,,,,,,,,,
KR,9,"Lukes, Marion SR",,,,,,,,,,,,,
