Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Charlotte 49ers,,,,,,,,,,,,,,,
WR-X,4,"Olson, Justin GR/TR",,2,"Myers, Isaiah RS SO/TR",,83,"Brown, Sean RS SR/TR",,,,,,,
WR-Z,0,"Blake, O'Mega RS JR/TR",,3,"Mack, Jairus RS JR",,0,"Traynor, Terez RS SR/TR",,,,,,,
WR-SL,10,"Thomas Jr., Duane SO",,22,"Reynolds, Jack RS JR",,37,"Brown, Jayvon RS FR/TR",,,,,,,
LT,0,"Hassard, Jonny JR/TR",,79,"Herman, Jordan RS SO/TR",,,,,,,,,,
LG,66,"Moko, Jordan RS JR/TR",,56,"Adair, Andrew RS JR/TR",,,,,,,,,,
C,52,"King, Jonny RS SR",,76,"Bullerdick, Isaiah RS SO",,,,,,,,,,
RG,77,"Mayes, Mitchell SR/TR",,55,"Clipper Jr., Mo RS SO/TR",,65,"Brinkley, Boston RS SO",,,,,,,
RT,74,"Gibson, Tyler RS SO/TR",,53,"Stanley, Kendall RS SO",,,,,,,,,,
TE,81,"Clemons, Jake RS SR",,18,"Weber, Colin RS JR",,86,"Kennon, Bryce RS SR",,35,"Bearns III, Joey RS JR/TR",,,,
QB,1,"Brown, Max RS SO/TR",,11,"Ivey, Trexler RS SR",,15,"Purdie, DeShawn FR",,,,,,,
RB,8,"Norton, Cartevious JR/TR",,0,"Kellman, Terron RS SO/TR",,23,"Stokes, CJ RS SO/TR",,38,"Wilson, Hahsaun RS JR",,21,"Rutledge, Henry RS JR",
DEF,,,,,,,,,,,,,,,
LDE,3,"Clowney, Demon RS SR/TR",,18,"Shockley, Zion RS SO/TR",,17,"Kelly, Mike RS SR",,15,"Dippre, Lacota RS FR",,,,
NT,94,"Wallace, Jonathan JR/TR",,99,"Martin, Dre RS SO/TR",,98,"Lambert, Jefferson SO/TR",,88,"Evans, Katron RS JR/TR",,,,
DT,91,"Butler, Dre GR/TR",,90,"Morgan, Dez RS SR",,55,"Coates, Colin SO",,97,"Holley, Jalar RS SR/TR",,,,
RDE,0,"Sings V, Stephen RS SR/TR",,0,"Williams, Chantz RS SR/TR",,48,"Puryear, Malik RS JR/TR",,,,,,,
WLB,0,"Morris, Avery SR/TR",,10,"Ekwonu, Ositadinma RS SR/TR",,8,"Burden, Cam RS JR",,,,,,,
MLB,25,"Bemah, Prince RS SR",,19,"Spellman, Donovan JR/TR",,26,"Simmons, Xavier RS SO/TR",,,,,,,
SLB,11,"Handy, Stone RS SR/TR",,39,"Kaler, Aidan RS SR/TR",,40,"Williford, Reid RS SO",,,,,,,
LCB,4,"Burton, C.J. SR/TR",,7,"Romphf, Anthony RS JR/TR",,45,"Mack, Jaavan JR/TR",,,,,,,
SS,6,"Ali, Al-Ma'hi RS JR/TR",,16,"Culp, Elijah RS JR/TR",,13,"Bushra, Eltayeb SR/TR",,,,,,,
FS,2,"McGee, Treyveon RS SR/TR",,29,"Neal, Maguire JR",,9,"Grant, Cary JR/TR",,,,,,,
RCB,1,"Balfour, Dontae RS JR/TR",,0,"Booker, Trevon RS SR/TR",,30,"Edwards, Derrick RS JR/TR",,,,,,,
NB,12,"Clinkscales, CJ RS SO/TR",,0,"Anderson Jr., Sammy RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,96,"O'Shaughnessy, Michael GR/TR",,,,,,,,,,,,,
PK,94,"Cunanan, Kyle SO",,44,"Patrick, Hunter GR/TR",,95,"Long, Bronson RS SO/TR",,,,,,,
KO,94,"Cunanan, Kyle SO",,44,"Patrick, Hunter GR/TR",,95,"Long, Bronson RS SO/TR",,,,,,,
LS,54,"Booker, Adam RS SO",,,,,,,,,,,,,
H,96,"O'Shaughnessy, Michael GR/TR",,,,,,,,,,,,,
PR,21,"Rutledge, Henry RS JR",,3,"Mack, Jairus RS JR",,,,,,,,,,
KR,21,"Rutledge, Henry RS JR",,10,"Thomas Jr., Duane SO",,,,,,,,,,
