Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Cincinnati Bearcats,,,,,,,,,,,,,,,
WR-X,3,"Prater, Evan RS SR",,0,"Johnson, Tony RS JR/TR",,,,,,,,,,
WR-Z,8,"Henderson, Xzavier SR/TR",,10,"Mayes, Jamoi SR/TR",,84,"Berkhalter, Sterling RS JR/TR",,,,,,,
WR-SL,4,"Smith, Tyrin RS SR/TR",,9,"Turner, Aaron SR/TR",,14,"Jackson Jr., Barry RS FR",,,,,,,
LT,75,"Williams, John RS SR",,74,"Wilder, Phillip RS SR/TR",,,,,,,,,,
LG,54,"Tinsley, Dartanyan RS SR/TR",,66,"Lozowicki, Xavier SO/TR",,,,,,,,,,
C,53,"Gerhardt, Gavin RS SR",,77,"Harder, Jonathan RS SO",,,,,,,,,,
RG,67,"Kandra, Luke RS SR/TR",,50,"Tengesdahl, Evan RS FR",,,,,,,,,,
RT,56,"Buford, Deondre RS JR/TR",,79,"Green, Ethan RS SO",,,,,,,,,,
TE,17,"Beljan, Joey RS SR/TR",,11,"Royer, Joe RS JR/TR",,44,"Sherman, Francis SR/TR",,,,,,,
QB,2,"Sorsby, Brendan RS SO/TR",,16,"Lichtenberg, Brady RS JR",,5,"Jones, Samaj FR",,,,,,,
RB,21,"Kiner, Corey SR/TR",,6,"Pryor, Evan RS JR/TR",,7,"Williams, Chance JR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,24,"Varner, Darian RS SR/TR",,99,"Jackson, Rob RS JR",,92,"Roetherford, Cam SO/TR",,,,,,,
NT,2,"Corleone, Dontay RS JR",,90,"Hunt, Jalen RS SR/TR",,77,"Adams, Harris SR/TR",,,,,,,
RDE,97,"Phillips, Eric RS SR",,4,"Coleman, Mikah RS JR/TR",,15,"Wilson, Kameron RS JR/TR",,,,,,,
DOG,7,"Bartlett, Jared RS SR/TR",,37,"Adams, Trevor RS JR/TR",,,,,,,,,,
MLB,22,"Thompson, Jonathan RS SO",,17,"Simms III, Brian RS FR",,31,"Coleman, Simeon FR",,,,,,,
WLB,49,"Dingle, Jack RS JR",,42,"Keyes, Connor RS JR/TR",,11,"Golday, Jake JR/TR",,,,,,,
STAR,20,"Miller, Mehki RS SR/TR",,27,"Willis, Ken RS SO",,46,"Peek Jr., Antwan RS SO",,,,,,,
FCB,10,"Canteen, Derrick RS SR/TR",,21,"Carroll, Kalen RS SO",,16,"Robinson, Jordan RS JR/TR",,,,,,,
SS,26,"Wilson, Logan RS SR/TR",,3,"Stokes, Kye RS SO/TR",,,,,,,,,,
FS,0,"Minkins, Joshua RS SR/TR",,5,"Taylor, D.J. RS SR/TR",,,,,,,,,,
BCB,1,"Young, Jordan RS JR/TR",,8,"Arnold, Ormanie SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,31,"Fletcher, Mason SR",,30,"Fletcher, Max JR/TR",,35,"Young, Brady RS JR",,,,,,,
PK,33,"Brown, Carter JR/TR",,96,"Hawks, Nathan RS SR/TR",,93,"Lemasters, Max RS FR",,,,,,,
KO,96,"Hawks, Nathan RS SR/TR",,33,"Brown, Carter JR/TR",,93,"Lemasters, Max RS FR",,,,,,,
LS,43,"Perry, Jayden RS SR/TR",,48,"Simmons, Weston RS FR",,,,,,,,,,
H,31,"Fletcher, Mason SR",,30,"Fletcher, Max JR/TR",,35,"Young, Brady RS JR",,,,,,,
PR,4,"Smith, Tyrin RS SR/TR",,,,,,,,,,,,,
KR,8,"Henderson, Xzavier SR/TR",,5,"Taylor, D.J. RS SR/TR",,,,,,,,,,
