Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Clemson Tigers,,,,,,,,,,,,,,,
WR-X,8,"Randall, Adam JR",,12,"Wesco Jr., Bryant FR",,22,"Turner, Cole RS SO",,83,"Earle, Hampton GR",,,,
WR-Z,0,"Williams, Antonio RS SO",,10,"Stellato, Troy RS JR",,16,"Hanafin, Ronan SO",,3,"Johnson, Noble RS FR",,,,
WR-H,6,"Brown, Tyler SO",,1,"Moore, T.J. FR",,18,"Kelley, Misun RS FR",,88,"Swinney, Clay RS SO",,,,
LT,71,"Leigh, Tristan RS JR",,59,"Pennington, Dietrick RS JR",,77,"O'Connell, Ronan FR",,,,,,,
LG,74,"Tate, Marcus SR",,50,"Sadler, Collin RS SO",,,,,,,,,,
C,53,"Linthicum, Ryan RS JR",,75,"Howard, Trent GR",,,,,,,,,,
RG,64,"Parks, Walker GR",,55,"Sewell, Harris SO",,,,,,,,,,
RT,78,"Miller, Blake JR",,52,"Thurmon, Elyjah FR",,76,"Wade, Mason FR",,,,,,,
TE,9,"Briningstool, Jake SR",,5,"Sapp, Josh RS SO",,11,"Patt-Henry, Olsen SO",,44,"Pope, Banks RS JR",,87,"Bentancur, Christian FR",
QB,2,"Klubnik, Cade JR",,17,"Vizzina, Christopher RS FR",,14,"Pearman, Trent RS SO",,16,"Anderson, Ethan FR",,,,
RB,7,"Mafah, Phil SR",,19,"Adams Jr., Keith RS SO",,26,"Haynes, Jay RS FR",,21,"Green, Jarvis RS FR",,24,"Eziomume, David FR",
DEF,,,,,,,,,,,,,,,
LDE,3,"Parker, T.J. SO",,99,"Hoffler, A.J. SO",,15,"Lawson, Jahiem RS SO",,91,"Patterson, Zaire RS JR",,,,
LDT,19,"Capehart, DeMonte RS SR",,45,"Burley, Vic RS FR",,90,"Green, Stephiylan RS FR",,42,"Brown-Shuler, Hevin FR",,,,
RDT,55,"Page, Payton SR",,8,"Williams, Tré RS SR",,56,"Thompson, Champ FR",,,,,,,
RDE,11,"Woods, Peter SO",,44,"Denhoff, Cade RS JR",,93,"Story, Caden RS SO",,49,"Mayo, Darien FR",,,,
WLB,0,"Carter, Barrett SR",,22,"Crayton, Dee RS FR",,26,"Kubah-Taylor, C.J. FR",,,,,,,
MLB,17,"Woodaz, Wade JR",,21,"McCloud, Kobe RS SO",,47,"Brown, Sammy FR",,,,,,,
SLB,32,"Anderson, Jamal SO",,13,"Woodaz, Drew FR",,,,,,,,,,
LCB,20,"Terrell, Avieon SO",,23,"Hampton, Ashton FR",,12,"Gipson, Corian FR",,1,"Strozier, Branden RS FR",,,,
SS,9,"Mickens, R.J. GR",,5,"Covil Jr., Sherrod JR",,27,"Dixon, Noah FR",,14,"Billings, Rob RS FR",,,,
FS,24,"Venables, Tyler GR",,25,"Jones, Ricardo FR",,30,"Webb, Kylen RS FR",,31,"Wilkinson, Joe FR",,,,
RCB,10,"Lukus, Jeadyn JR",,2,"Lewis, Shelton SO",,6,"Feagin, Tavoy FR",,,,,,,
NB,7,"Barnes, Khalil SO",,18,"Griffin, Kylon RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,39,"Swanson, Aidan GR",,89,"Smith, Jack RS SO",,,,,,,,,,
PK,81,"Hauser, Nolan FR",,38,"Gunn III, Robert RS SO",,,,,,,,,,
KO,38,"Gunn III, Robert RS SO",,39,"Swanson, Aidan GR",,,,,,,,,,
LS,45,"Florenzo, Philip RS SR",,58,"Caspersen, Holden RS JR",,,,,,,,,,
H,88,"Swinney, Clay RS SO",,,,,,,,,,,,,
PR,6,"Brown, Tyler SO",,10,"Stellato, Troy RS JR",,0,"Williams, Antonio RS SO",,,,,,,
KR,0,"Williams, Antonio RS SO",,12,"Wesco Jr., Bryant FR",,26,"Haynes, Jay RS FR",,16,"Hanafin, Ronan SO",,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,16,"Oliver, Myles RS SO",,56,"Young, Watson FR",,54,"Reed, Ian RS FR",,,,,,,
