Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Coastal Carolina Chanticleers,,,,,,,,,,,,,,,
WR-X,8,"Tucker, Jameson RS JR",,0,"McKie, Senika GR/TR",,14,"Jones, Andre RS SO/TR",,81,"Cmiel, Connor GR/TR",,,,
WR-Z,9,"Meiga, Malick SR/TR",,17,"Wright, Cameron RS JR/TR",,80,"Whitby, Jamahdia SR/TR",,,,,,,
WR-SL,6,"Duplessis, Kyre RS SR",,4,"Graves, Bryson SO",,2,"Taylor, Tray JR/TR",,82,"Schuessler, Nathan RS FR",,,,
LT,62,"Del Grande, Nick RS SO",,68,"Hanson, Joseph SO",,,,,,,,,,
LG,51,"Edwards, Heston RS JR/TR",,73,"Walton, Anthony RS JR",,,,,,,,,,
C,58,"Johnson, Thomas RS JR",,50,"Thompson, Nathan RS FR",,54,"Richardson, Frankie RS SO",,,,,,,
RG,57,"Elam, Zac SR/TR",,67,"Manson, Donavan RS SR",,,,,,,,,,
RT,64,"Lindsay, Zovon GR/TR",,78,"Wagner, Tyler RS SR",,76,"Corey II, Marlon RS FR",,,,,,,
TE,85,"Karr, Kendall RS SR/TR",,11,"Johnson, Brooks RS SO",,33,"Courtney, Zach RS SO/TR",,86,"Grant III, John RS SO",,,,
QB,15,"Vasko, Ethan RS SO/TR",,10,"Kim, Noah RS SR/TR",,7,"Moore, DJ FR",,12,"Hudson, Tad RS FR/TR",,16,"Walker, Alex FR",
RB,1,"Bennett, Braydon RS SR",,5,"Simpkins, Ja'Vin SO",,3,"Balthazar, Max RS JR",,21,"Price, Simeon RS JR/TR",,20,"Washington, Christian RS SO/TR",
DEF,,,,,,,,,,,,,,,
DE,44,"Whitson, Will GR/TR",,47,"Anokwuru, Clinton RS SR/TR",,96,"Aguilar, Richie RS SR/TR",,,,,,,
NT,95,"Barber, Naejaun RS JR/TR",,99,"Goram-Welch, Sawyer RS SR/TR",,90,"Fuller, Cohen JR/TR",,,,,,,
DT,91,"Johnson, Emmanuel GR/TR",,13,"Diggs, Deamontae RS SR/TR",,93,"Ransaw, Gavin RS JR/TR",,,,,,,
BAN,42,"Ryan, Braylon RS SR",,36,"Cash, Joah RS JR",,50,"Lubin, Clev RS SO/TR",,52,"Diawara, Ibrahim RS SO/TR",,,,
MLB,1,"Bruce, Shane RS SR",,55,"Brown, Tray RS SO",,,,,,,,,,
WLB,34,"Gedeon, Wyatt SO",,35,"Brown, Barry RS SR/TR",,,,,,,,,,
LCB,11,"McDoom, Matthew JR",,5,"Jenkins, Keontae RS SR/TR",,10,"Conyer, Cristian SO/TR",,,,,,,
SS,7,"Williams, AJ GR/TR",,12,"Pinckney, Dre RS JR",,6,"Gordon, Xamarion RS JR/TR",,,,,,,
FS,4,"Fletcher, Tobias SR",,8,"Temoney III, Abraham GR/TR",,,,,,,,,,
RCB,2,"Eubanks, Courtney GR/TR",,22,"Peterson, Quan RS SO/TR",,,,,,,,,,
NB,0,"Powell, Juan GR/TR",,9,"Jones, Avyonne RS SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,97,"Sebafundi, Emile JR",,95,"West, Mack RS JR",,,,,,,,,,
PK,25,"Hensley, Kade RS JR",,31,"Gray, Liam RS JR",,90,"Keller, Justin JR/TR",,,,,,,
KO,31,"Gray, Liam RS JR",,25,"Hensley, Kade RS JR",,90,"Keller, Justin JR/TR",,,,,,,
LS,48,"Arnoult, Blake RS SR/TR",,46,"Kirkpatrick, John RS JR",,35,"Merchant, Nate RS SO",,,,,,,
H,95,"West, Mack RS JR",,97,"Sebafundi, Emile JR",,,,,,,,,,
PR,4,"Graves, Bryson SO",,4,"Fletcher, Tobias SR",,,,,,,,,,
KR,5,"Simpkins, Ja'Vin SO",,11,"McDoom, Matthew JR",,,,,,,,,,
