Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Colorado Buffaloes,,,,,,,,,,,,,,,
WR-X,14,"Sheppard, Will GR/TR",,4,"Miller, Omarion SO",,,,,,,,,,
WR-Z,12,"Hunter, Travis JR/TR",,82,"Timmons Jr., Terrell JR/TR",,,,,,,,,,
WR-Y,5,"Horn Jr., Jimmy SR/TR",,15,"Russell, Cordale RS FR/TR",,6,"Miller, Drelon FR",,,,,,,
WR-F,10,"Wester, LaJohntay SR/TR",,13,"Mathis, Kaleb SO",,18,"Mikell, Kam FR",,,,,,,
LT,77,"Seaton, Jordan FR",,54,"Houston, Phillip RS JR/TR",,71,"Kirkland, Payton RS FR/TR",,72,"Reznik, Ben RS JR",,,,
LG,56,"Brown, Tyler RS SR/TR",,55,"Harden, Kareem RS JR/TR",,0,"Thomas, Kardell RS SR/TR",,,,,,,
C,58,"Zilinskas, Hank SO",,51,"Walker, Yakiri RS JR/TR",,52,"Cleveland, Cash FR",,,,,,,
RG,66,"Mayers, Justin RS SR/TR",,74,"Johnson, Tyler GR/TR",,75,"Owens, Zack RS FR/TR",,,,,,,
RT,67,"Benson, Kahlil RS JR/TR",,70,"Hummel, Wyatt GR/TR",,,,,,,,,,
TE,81,"Hart, Sam GR/TR",,31,"Smalls, Sav'ell RS SR/TR",,86,"Kopetz, Brady RS SO",,87,"Williams, Charlie RS FR/TR",,37,"Pearson, Morgan RS FR",
QB,2,"Sanders, Shedeur SR/TR",,16,"Staub, Ryan RS FR",,8,"Wade, Destin RS SO/TR",,9,"Taylor III, Walter RS SO/TR",,,,
RB,44,"Offerdahl, Charlie RS JR",,7,"Hayden, Dallan RS SO/TR",,23,"Augustave, Isaiah SO/TR",,29,"Welch, Micah FR",,26,"Hood, Brandon FR",
DEF,,,,,,,,,,,,,,,
DE,35,"Green II, B.J. SR/TR",,93,"Okunlola, Samuel RS SO/TR",,49,"Wiggins, Quency RS SO/TR",,53,"Walker, Arden RS JR/TR",,,,
NT,97,"Nwankwo, Chidozie SR/TR",,92,"Barnes Jr., Anquin RS JR/TR",,90,"Carter II, Taurean RS SR/TR",,95,"Thomas, Tawfiq JR/TR",,,,
DT,99,"Cokes, Shane GR/TR",,47,"Buell, Rayyan GR/TR",,88,"McNeill, Amari RS JR/TR",,,,,,,
BUCK,50,"Hayes, Dayon GR/TR",,27,"Wade, Keaten JR/TR",,40,"McCoy, Taje SO",,59,"Webb Walker, Nikhil RS SO/TR",,,,
MLB,20,"Bentley, LaVonta GR/TR",,22,"Chaney Jr., Johnny SR/TR",,41,"Hill-Green, Nikhai GR/TR",,,,,,,
WLB,43,"Woods, Trevor SR",,25,"Wester, Jaylen JR/TR",,42,"Brown, Jeremiah SR/TR",,38,"Gant, Brendan GR/TR",,,,
LCB,8,"McKinney, DJ RS SO/TR",,3,"Hood, Colton RS FR/TR",,,,,,,,,,
SS,7,"Silmon-Craig, Cam'Ron SR/TR",,6,"Smith III, Herman SR/TR",,4,"Jay, Travis RS SR/TR",,,,,,,
FS,21,"Sanders, Shilo GR/TR",,9,"Riley, Savion RS SO/TR",,5,"Johnson, RJ RS FR/TR",,,,,,,
RCB,24,"Hodge, Preston SR/TR",,29,"Yates, Ivan GR/TR",,,,,,,,,,
NB,12,"Hunter, Travis JR/TR",,23,"Stoutmire, Carter SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,15,"Vassett, Mark SR/TR",,38,"Gerlach, Daniel SO/TR",,,,,,,,,,
PK,16,"Mata, Alejandro JR/TR",,17,"Feely, Jace RS JR/TR",,,,,,,,,,
KO,17,"Feely, Jace RS JR/TR",,98,"Palazzo, Cristiano RS JR/TR",,,,,,,,,,
LS,79,"Dempsey, Camden RS JR",,96,"Landers, Gabe RS SO/TR",,39,"Hawkins, Kameron RS SR/TR",,,,,,,
H,15,"Vassett, Mark SR/TR",,38,"Gerlach, Daniel SO/TR",,,,,,,,,,
PR,5,"Horn Jr., Jimmy SR/TR",,10,"Wester, LaJohntay SR/TR",,,,,,,,,,
KR,5,"Horn Jr., Jimmy SR/TR",,28,"Waseem, Asaad RS FR",,,,,,,,,,
