Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Colorado State Rams,,,,,,,,,,,,,,,
WR-X,6,"Ollie, Donovan GR/TR",,89,"Person, Jamari RS FR",,82,"Brown, Lavon RS FR",,,,,,,
WR-Z,14,"Horton, Tory GR/TR",,86,"Goodie, Caleb SO",,,,,,,,,,
WR-SL,5,"Goffney, Dylan SR/TR",,81,"Olson, Dane GR",,,,,,,,,,
LT,77,"Henderson, Saveyon SR/TR",,60,"Brown, Chandler RS JR/TR",,,,,,,,,,
LG,69,"Foster, Alex RS JR/TR",,74,"Morley, Tanner RS FR",,57,"Heil, Trevyn RS JR/TR",,,,,,,
OC,75,"Gardner, Jacob GR/TR",,76,"Hamilton, Keegan RS SO",,,,,,,,,,
RG,68,"Moss, Drew SR/TR",,72,"Martin, Christian RS FR",,,,,,,,,,
RT,78,"Karas, Aaron RS SO",,79,"Urionabarrenechea, Aitor RS FR",,,,,,,,,,
TE,0,"Warren, Jaxxon RS SO/TR",,10,"Brown II, Vince SR/TR",,13,"Williams, Jordan JR",,87,"Muaau, Mason RS FR",,44,"Montini, Peter GR/TR",
QB,16,"Fowler-Nicolosi, Brayden RS SO",,8,"Brousseau, Jackson RS FR",,12,"Pooler, Giles RS JR",,0,"Curry, Darius FR",,,,
RB,29,"Marshall, Justin RS FR",,0,"Johnson, Kobe GR/TR",,34,"Henderson II, Damian RS FR",,25,"Morrow, Avery GR/TR",,33,"Holles, Keegan RS SO",
DEF,,,,,,,,,,,,,,,
LDE,9,"Gatkuoth, Nuer RS JR",,39,"Gill Jr., DeAndre RS SO",,0,"Kirschke, Gabe RS SO/TR",,,,,,,
LDT,91,"Mitchell, James GR",,95,"Quinn, Tyler RS JR",,66,"Heil, Brycen RS SR/TR",,,,,,,
RDT,94,"Bariteau, Cam GR",,93,"Hanada, Hidetora RS JR",,55,"Laurich, Andrew RS FR",,,,,,,
RDE,92,"Wa-Kalonji, Mukendi RS JR",,98,"McDowell, Kennedy SO",,99,"Smith-Combs, Javion RS FR",,,,,,,
WLB,49,"Jock, Buom SO",,50,"Ayers, Josh RS FR",,51,"Lopez, Niko RS FR",,,,,,,
MLB,30,"Wilson, Chase RS SR",,47,"Rodriguez, Drew RS FR",,52,"Schramm, Rocco RS SO",,,,,,,
LCB,1,"Essissima, Isaiah GR/TR",,27,"Phelps, Dylan RS FR",,22,"Davis, Chauncey FR",,,,,,,
SS,17,"Howell, Jack SR",,20,"Gardner, Jaylen SO",,,,,,,,,,
FS,11,"Blackburn, Henry GR",,19,"Grayson Jr., Tyrell RS SR/TR",,37,"Bellah, Jace RS SO",,,,,,,
RCB,3,"Larry, Elias GR/TR",,7,"Jones, Dom GR/TR",,,,,,,,,,
NB,15,"Hector, Ayden RS SR/TR",,12,"Morris, Dominic SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,41,"Turner, Paddy GR/TR",,36,"Hutchison, Will RS FR",,,,,,,,,,
PK,23,"Noyes, Jordan GR/TR",,83,"Hansen, Bryan RS SO",,,,,,,,,,
KO,83,"Hansen, Bryan RS SO",,23,"Noyes, Jordan GR/TR",,,,,,,,,,
LS,61,"Dennis, Jake SR/TR",,46,"Pettitt, Cody RS JR",,45,"Tribbett, Morgan RS FR",,,,,,,
H,41,"Turner, Paddy GR/TR",,36,"Hutchison, Will RS FR",,,,,,,,,,
PR,14,"Horton, Tory GR/TR",,5,"Goffney, Dylan SR/TR",,,,,,,,,,
KR,5,"Goffney, Dylan SR/TR",,0,"Johnson, Kobe GR/TR",,,,,,,,,,
