Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Connecticut Huskies,,,,,,,,,,,,,,,
WR-X,1,"Bell, Skyler RS JR/TR",,9,"Drawdy, Zackary RS FR",,,,,,,,,,
WR-Z,10,"Buckman, Brett GR/TR",,4,"Gathings, Jasaiah RS JR/TR",,,,,,,,,,
WR-F,8,"Sheffield, TJ RS SR/TR",,18,"Hicks, Kylish RS SO",,,,,,,,,,
LT,71,"Senn, Valentin RS SR/TR",,79,"Antolovich, Danny RS JR",,,,,,,,,,
LG,73,"Hoeh, Wes RS JR/TR",,58,"Juergens, Kyle RS JR/TR",,,,,,,,,,
C,67,"Fortin, Christopher SR",,,,,,,,,,,,,
RG,77,"Murawski, Ben RS FR",,70,"Stewart, Jack RS SR/TR",,,,,,,,,,
RT,75,"Lundt, Chase RS SR",,78,"Casady, Carsten RS FR",,,,,,,,,,
TE,81,"Hansen, Louis RS JR/TR",,14,"Harris, Nick RS SR",,86,"Honig, Alex RS JR/TR",,,,,,,
QB,3,"Evers, Nick RS SO/TR",,2,"Fagnano, Joe SR/TR",,13,"Welliver, Cole FR",,12,"McDonald, Tucker RS FR",,,,
RB,0,"Edwards, Cam JR",,22,"Rosa, Victor JR",,7,"Brown, Mel JR/TR",,11,"Robinson, Durell RS FR/TR",,,,
DEF,,,,,,,,,,,,,,,
LDE,90,"Yates, Pryce RS JR",,19,"Hardy, Langston RS SO",,,,,,,,,,
NT,99,"Simon, Jayden GR/TR",,96,"Gourdine, Dal'Mont RS SR",,,,,,,,,,
DT,97,"Stafford, Jelani SR/TR",,44,"Passmore Jr., Timothy RS SO",,,,,,,,,,
RDE,93,"Barton, Jack RS SR/TR",,58,"Branch, Donovan JR",,,,,,,,,,
WLB,24,"Simon, Julien RS JR/TR",,23,"Chea, Alfred RS SR",,,,,,,,,,
MLB,5,"Key, Aaron GR/TR",,19,"Hardy, Langston RS SO",,,,,,,,,,
SLB,15,"Faumuina-Brown, Tui RS SR",,9,"Renwick, Amir SR/TR",,,,,,,,,,
LCB,22,"Akles, Reggie SR/TR",,3,"Brinson, D'Mon JR",,,,,,,,,,
SS,2,"Jones, Rante SR",,21,"Molette III, Lee JR",,,,,,,,,,
FS,1,"Dixon-Williams, Malik RS SR",,4,"Cross, Stan RS SR/TR",,,,,,,,,,
RCB,11,"Davis, Isiah RS SO",,14,"Bell, Malcolm RS JR",,,,,,,,,,
NB,8,"Sims, Jarvarius JR/TR",,,,,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,17,"Stutz, Connor JR/TR",,45,"Turner, Seth RS FR",,,,,,,,,,
PK,28,"Freeman, Chris GR/TR",,,,,,,,,,,,,
KO,28,"Freeman, Chris GR/TR",,,,,,,,,,,,,
LS,42,"Frederic, Logan RS SO/TR",,46,"Christinat, Zach RS FR",,,,,,,,,,
H,17,"Stutz, Connor JR/TR",,45,"Turner, Seth RS FR",,,,,,,,,,
PR,8,"Sheffield, TJ RS SR/TR",,7,"Brown, Mel JR/TR",,10,"Buckman, Brett GR/TR",,,,,,,
KR,15,"Domino, Bryan RS FR",,22,"Rosa, Victor JR",,,,,,,,,,
