Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Duke Blue Devils,,,,,,,,,,,,,,,
WR-X,4,"Pancol, Eli GR",,83,"Jones, Spencer RS FR",,,,,,,,,,
WR-Z,8,"Moore, Jordan SR",,7,"Harvey, Javon GR/TR",,,,,,,,,,
WR-Y,2,"Hagans, Sahmir RS JR",,1,"Robertson, Jontavis RS SR",,,,,,,,,,
LT,73,"Purcell, Jack GR/TR",,75,"Fina, Bruno GR/TR",,78,"Pogorelc, James GR/TR",,,,,,,
LG,64,"Schon, Eric GR/TR",,71,"Krings, Caleb GR/TR",,,,,,,,,,
C,62,"Barr, Michael GR/TR",,72,"Craycraft, Matt RS SO",,,,,,,,,,
RG,77,"Pickett, Justin RS JR",,60,"Boggs, Tony RS FR",,,,,,,,,,
RT,53,"Parker II, Brian RS SO",,55,"Franks, Zachary GR/TR",,52,"Sahakian, Micah GR/TR",,,,,,,
TE,81,"Dalmolin, Nicky RS SR",,85,"Hasley, Jeremiah RS SO",,15,"Taylor, Jake RS SO",,80,"Bolyard, Vance RS FR",,,,
QB,6,"Murphy, Maalik RS SO/TR",,12,"Loftis, Grayson SO",,3,"Belin IV, Henry RS SO",,20,"Tomlin, Donald SO",,,,
RB,9,"Moore, Jaquez SR",,17,"Thomas, Star SR/TR",,5,"Jones, Peyton SO",,25,"Wooten II, Al GR/TR",,,,
DEF,,,,,,,,,,,,,,,
LDE,97,"Williams, Wesley RS SO",,40,"Smith, Ryan GR",,,,,,,,,,
LDT,99,"Hall, Aaron RS JR",,51,"Seiler, Will GR/TR",,,,,,,,,,
RDT,91,"Charles, Kendy GR/TR",,44,"Anderson, David RS FR",,,,,,,,,,
RDE,14,"Reese, Michael GR",,7,"Anthony Jr., Vincent JR",,,,,,,,,,
WLB,12,"Freeman, Tre RS JR",,42,"Johnson, Kendall RS FR",,,,,,,,,,
MLB,36,"Morris Jr., Nick RS JR",,45,"Nicholas, Ozzie GR/TR",,,,,,,,,,
LCB,24,"Devones, Tre'Shon GR/TR",,26,"Pickett, Joshua SR",,,,,,,,,,
SS,1,"Moore, Terry JR",,35,"Goldberg, Will GR/TR",,,,,,,,,,
FS,15,"Djungu-Sungu, Placide RS JR",,8,"Stone, DaShawn RS FR",,,,,,,,,,
RCB,0,"Rivers, Chandler JR",,22,"Kane, Moussa RS FR",,,,,,,,,,
NB,2,"Stinson, Jaylen RS SR",,4,"Bergeron, Cameron SR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,41,"Reynoldson, Kade FR",,37,"Leavy, Ryan GR/TR",,89,"Wheatley, Jared GR/TR",,,,,,,
PK,29,"Pelino, Todd JR",,92,"Gotlieb, Graham GR/TR",,39,"Salas, Cosme FR",,,,,,,
KO,48,"Degyansky, Ryan SO",,92,"Gotlieb, Graham GR/TR",,39,"Salas, Cosme FR",,,,,,,
LS,57,"Cooper, Curtis SR",,58,"Donahue, Casey SR",,49,"Ronilo, Jack SO",,,,,,,
H,41,"Reynoldson, Kade FR",,37,"Leavy, Ryan GR/TR",,89,"Wheatley, Jared GR/TR",,,,,,,
PR,2,"Hagans, Sahmir RS JR",,,,,,,,,,,,,
KR,1,"Moore, Terry JR",,5,"Jones, Peyton SO",,,,,,,,,,
