Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Eastern Michigan Eagles,,,,,,,,,,,,,,,
WR-X,22,"Rooks, Porter SR/TR",,14,"Smith, Isaac RS SR/TR",,,,,,,,,,
WR-Z,17,"Mitchell III, JB SR",,13,"Wheeler, Jamarien RS JR/TR",,,,,,,,,,
WR-H,92,"Singleton, Oran JR/TR",,11,"Lockett Jr., Terry RS SR/TR",,,,,,,,,,
LT,72,"Indestad, Mack RS SO",,76,"Mayo, Chris RS SR/TR",,78,"Strey Jr., Dennis RS SO",,,,,,,
LG,63,"Rewolinski, Mickey RS SR",,66,"Warnsman, Daniel RS JR",,,,,,,,,,
OC,67,"Roman, Broderick RS SR",,65,"Gallegos, Nicholas RS SO",,,,,,,,,,
RG,75,"Lee, Carson SR/TR",,50,"Snively, Owen RS SR/TR",,,,,,,,,,
RT,54,"Bustard, Blake SR/TR",,79,"Small, Everett FR",,73,"Anderson, Joshua RS SO",,,,,,,
TE-Y,83,"Getzinger, Jere SR",,85,"Odom, Jonathan RS SR/TR",,88,"Daniels, Blake GR/TR",,5,"Reese, Max RS SO",,,,
QB,16,"Snyder, Cole RS SR/TR",,15,"Salem, Jeremiah RS SO",,19,"Stuckey, Jace FR",,7,"Viotto, Drew RS FR/TR",,,,
RB,34,"Mimms III, Delbert RS SR/TR",,12,"McMillan, Dontae RS SR/TR",,30,"Brown, Deion RS FR",,23,"Jackson-Anderson, Elijah RS SO",,,,
DEF,,,,,,,,,,,,,,,
DE,45,"Zelinsky, Joey SR/TR",,33,"Evans, Carter RS JR",,56,"Miles, Sterling RS SR/TR",,,,,,,
NT,94,"Price, Peyton SR",,74,"Janvier, Jez RS JR",,91,"Tullis, Malik SO",,,,,,,
DT,99,"Swindle II, Melvin RS JR",,92,"Shelton, Dylan SR/TR",,,,,,,,,,
LEO,47,"Jefferson, Justin RS SR",,53,"Blair, Messiah RS FR",,97,"Adam, Jefferson RS JR/TR",,,,,,,
MLB,40,"Eliuk, Bryce RS FR",,46,"Murphy, Luke RS JR/TR",,44,"Fonua, Zion JR/TR",,36,"Mowchan, Zach RS JR",,,,
WLB,55,"Djonkam, James JR/TR",,21,"Killen, JT RS SR/TR",,32,"Nowling, Kendric RS SR",,,,,,,
LCB,1,"Scott, Joshua RS JR/TR",,29,"McNulty, Dramarian RS JR/TR",,,,,,,,,,
SS,27,"Carter Jr., David RS SR",,39,"Manning, Barry RS SO",,35,"Jenkins, Jaheim RS JR/TR",,,,,,,
FS,3,"Scandrett, Quentavius SR",,28,"Norman, Jaivian RS FR",,,,,,,,,,
RCB,4,"White, Daiquan SO",,0,"Camp, Dylan JR/TR",,,,,,,,,,
NB,34,"Llewellyn, Bryce JR/TR",,,,,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,30,"Tomasek, Mitchell RS JR",,33,"Kingston, Ryan RS SO",,,,,,,,,,
PK,35,"Gómez, Jesús SR",,37,"Bowyer, Kenyon RS SR/TR",,,,,,,,,,
KO,33,"Kingston, Ryan RS SO",,37,"Bowyer, Kenyon RS SR/TR",,,,,,,,,,
LS,51,"Dietzel, Mitchell RS FR",,42,"Kelly, Quinn RS FR",,,,,,,,,,
H,30,"Tomasek, Mitchell RS JR",,33,"Kingston, Ryan RS SO",,,,,,,,,,
PR,92,"Singleton, Oran JR/TR",,,,,,,,,,,,,
KR,92,"Singleton, Oran JR/TR",,,,,,,,,,,,,
