Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Florida Atlantic Owls,,,,,,,,,,,,,,,
WR-X,13,"Horton, EJ SR/TR",,19,"Henry, Dominique RS SO/TR",,85,"Mitchell, Devarius JR/TR",,,,,,,
WR-Z,11,"Johnson, Marlyn GR/TR",,3,"Platt, Jayshon JR",,80,"Young, Joseph JR/TR",,89,"Coolman, Jett RS JR/TR",,,,
WR-SL,0,"Tucker, Milan RS SR/TR",,9,"Coombs, Caleb JR/TR",,82,"Smith, Jabari RS FR",,81,"Washington Jr., Leon FR",,,,
LT,70,"Lamar Sr., Malcolm GR/TR",,57,"Nonar, Ja'Kavion RS SO/TR",,76,"Saint-Jean, Chrisdasson RS FR",,,,,,,
LG,74,"Dubre, Ovie RS FR",,54,"Church, Jordan RS FR",,,,,,,,,,
C,64,"Maranges, Federico RS SR",,73,"Atcavage, Alex SR",,,,,,,,,,
RG,67,"Lamas, Andre SR",,62,"King, Okino RS SO",,,,,,,,,,
RT,78,"Richardson, Daughtry RS SO/TR",,55,"Jean, Woody RS JR/TR",,72,"Ramey, Brayden RS FR",,,,,,,
TE,48,"Moore, Zeke SO",,18,"Brantley, Kahlil RS JR/TR",,17,"Sullivan, Wyatt RS SO",,87,"Brown, Elijah RS SO/TR",,,,
QB,1,"Fancher, Cam RS JR/TR",,8,"Starks, Tyriq RS JR/TR",,12,"Weisman, Kasen RS FR/TR",,14,"Valentino, Michael FR",,,,
RB,7,"Johnson III, George GR/TR",,2,"Mobley, Zuberi RS JR",,5,"Campbell Jr., CJ RS JR/TR",,25,"Terrell, Xavier RS FR",,,,
DEF,,,,,,,,,,,,,,,
DE,49,"Jones, Chris SR",,93,"Brantley Jr., Eric RS FR/TR",,2,"Denaud, Wilky RS FR/TR",,,,,,,
NT,18,"Wheeler, Jaden SR",,97,"Davis, Devonta SR/TR",,,,,,,,,,
DT,50,"Merrifield, Jacob RS JR",,99,"Boyd, Prince GR/TR",,7,"Langston, Bryce RS JR/TR",,,,,,,
RUSH,95,"Bradley, Marlon RS SR",,16,"Ifeanyi, Chisom GR/TR",,13,"Salvati, August JR/TR",,,,,,,
MLB,9,"Tisdol, Desmond GR/TR",,3,"Williams, Eddie GR",,17,"Lee, Char'Quez FR",,,,,,,
WLB,43,"Ambush, Jackson GR/TR",,44,"Jerrels, Jarrett SR",,28,"Horton, Zyere RS SO/TR",,,,,,,
LCB,6,"Hill, Daedae SR/TR",,8,"Hudgens, Logic RS JR/TR",,,,,,,,,,
SS,4,"Dunnam, Phillip JR/TR",,0,"Philord, Wendol GR/TR",,,,,,,,,,
FS,20,"Scott, Fabian SO",,27,"Miller, Jaheim FR",,21,"Smith, Antonio RS FR",,,,,,,
RCB,11,"Brown, Kahzir SR/TR",,24,"Antoine Jr., Michal SR/TR",,,,,,,,,,
NB,5,"Williams, Jayden RS JR",,26,"Tooley III, Chris SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,16,"Lupo, Logan RS JR/TR",,39,"Salmon, Nick JR",,,,,,,,,,
PK,38,"Suarez, Morgan RS JR",,16,"Lupo, Logan RS JR/TR",,36,"Davis, Carter JR",,37,"Hammond III, Robert RS FR",,,,
KO,36,"Davis, Carter JR",,16,"Lupo, Logan RS JR/TR",,38,"Suarez, Morgan RS JR",,37,"Hammond III, Robert RS FR",,,,
LS,45,"Marino, Nicholas RS SR",,40,"Whiting, Luke RS FR/TR",,96,"Mucerino, Justin FR",,,,,,,
H,39,"Salmon, Nick JR",,,,,,,,,,,,,
PR,3,"Platt, Jayshon JR",,,,,,,,,,,,,
KR,3,"Platt, Jayshon JR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,4,"Alexander, BJ GR/TR",,,,,,,,,,,,,
