Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Florida International Panthers,,,,,,,,,,,,,,,
WR-X,9,"Burris, Nazeviah GR/TR",,6,"Washington, Desna GR/TR",,16,"Matthews, Ja'Coby RS SR/TR",,14,"Maurice Jr., Luby RS FR",,,,
WR-Z,11,"Patterson, Dean RS JR/TR",,13,"Lewis, Juju RS SO/TR",,83,"McNeal, Kyle RS FR",,,,,,,
WR-H,3,"Rivers, Eric RS JR/TR",,19,"Fournet, Ross RS JR",,7,"Jackson, Mike RS SO",,18,"Jnopierre, C'Quan SR/TR",,,,
LT,77,"Burke, Travis RS JR/TR",,72,"Shellenback, Ben GR/TR",,78,"Davis, Jaleel RS SO/TR",,,,,,,
LG,50,"Jackson, Naeer RS SO",,53,"Michel, Daniel RS FR",,,,,,,,,,
C,59,"Buchanon, Jaheim RS FR",,54,"Staley, Chad RS SO/TR",,69,"Tjon, Ming RS JR",,,,,,,
RG,55,"Lawson, Wyatt RS JR",,71,"Schultze, Jackson RS JR/TR",,,,,,,,,,
RT,56,"Lee, JaDarious RS SO",,70,"Rabess, Mykeal RS FR",,,,,,,,,,
TE-Y,89,"Beers, Rocky RS JR/TR",,88,"Miamen, Josiah RS SR/TR",,25,"Redmon, Dylan RS FR",,85,"Ferguson, Antonio RS FR/TR",,87,"Staten, Braiden RS FR",
QB,1,"Jenkins, Keyone SO",,4,"Carlson, Haden RS JR",,2,"Jones, Amari RS SO",,12,"Peery, Chayden RS JR/TR",,10,"Dees, Clayton FR",
RB,0,"Lawrence, Shomari RS JR/TR",,8,"Joseph, Lexington GR",,5,"Owens, Kejon RS JR",,20,"Lyons, Devonte FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,44,"Davis, Keegan RS JR",,15,"Davis, Giovanni SR/TR",,5,"Shannon, Steven RS SO",,,,,,,
NT,93,"Gustafson, Cole JR/TR",,95,"Hill, Quaylen RS JR",,,,,,,,,,
RDE,8,"Passmore, Jeramy RS SR/TR",,17,"Larkins, Claude RS SO/TR",,94,"Tatum, Marquez RS JR/TR",,,,,,,
RUSH,10,"Walls III, Eddie JR/TR",,45,"Brewton, Toddrick SO",,,,,,,,,,
MLB,1,"Anderson-Taylor, Elijah RS SR/TR",,6,"Barnes, Travion JR/TR",,11,"Courtney Jr., Percy RS SO",,,,,,,
WLB,0,"Peterson, Reggie RS SR",,18,"Nunoo, Dwight JR/TR",,35,"Taylor, Josiah FR",,,,,,,
LCB,12,"Masses, Hezekiah JR",,26,"Evans III, Victor RS FR",,,,,,,,,,
BAN,32,"Salla Jr., Bobby RS JR/TR",,3,"Evans, JoJo RS JR/TR",,,,,,,,,,
FS,4,"Christian, CJ SR/TR",,22,"Sterlin, Shamir FR",,29,"Thompson, Preston RS FR",,,,,,,
RCB,2,"Blades II, Brian RS JR",,21,"Holliman, Jamari RS FR",,,,,,,,,,
NB,7,"Potts, Jamal SR",,27,"Clark, Mister RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,25,"Montiel, Daton RS SR/TR",,96,"Doelling, Jordan RS JR/TR",,,,,,,,,,
PK,37,"Gabriel, Chase SR",,47,"Prado, Alejandro SR/TR",,,,,,,,,,
KO,37,"Gabriel, Chase SR",,46,"Enriquez, Matthew RS JR",,,,,,,,,,
LS,86,"Lee, Jackson JR",,90,"Manley, Kinnick RS SO/TR",,,,,,,,,,
H,25,"Montiel, Daton RS SR/TR",,96,"Doelling, Jordan RS JR/TR",,,,,,,,,,
PR,11,"Patterson, Dean RS JR/TR",,7,"Jackson, Mike RS SO",,,,,,,,,,
KR,15,"Snowden, T.J. RS SO/TR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
SUS,62,"Bock II, John JR",,,,,,,,,,,,,
