Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Florida State Seminoles,,,,,,,,,,,,,,,
WR-X,10,"Benson, Malik SR/TR",,1,"Poitier, Kentron RS SR",,8,"Williams, Hykeem SO",,,,,,,
WR-Z,6,"Brown, Jalen RS FR/TR",,21,"Williamson, Darion RS SR",,15,"McCoy, Lawayne FR",,,,,,,
WR-SL,0,"Douglas, Ja'Khi RS SR",,5,"Spann, Deuce RS SR/TR",,81,"Moore, Elijah FR",,,,,,,
LT,76,"Washington, Darius RS SR",,79,"Simmons, Lucas RS FR",,,,,,,,,,
LG,67,"Leonard IV, Richie SR/TR",,77,"Estes, Bryson RS JR",,,,,,,,,,
C,53,"Smith, Maurice RS SR",,65,"Otto, Andre' RS FR",,64,"Rizy, Jacob SR/TR",,,,,,,
RG,75,"Jones, Keiondre RS SR/TR",,69,"Ferguson, TJ RS JR/TR",,,,,,,,,,
RT,63,"Byers, Jeremiah RS SR/TR",,52,"Scott Jr., Robert RS SR",,54,"Early, Jaylen RS SO",,,,,,,
TE,84,"Morlock, Kyle RS SR/TR",,86,"Courtney, Brian JR",,48,"West, Jackson RS JR",,,,,,,
QB,4,"Uiagalelei, DJ RS SR/TR",,11,"Glenn, Brock RS FR",,14,"Kromenhoek, Luke FR",,,,,,,
RB,24,"Williams, Roydell SR/TR",,26,"Holmes, Caziah RS SR/TR",,3,"Davis, Kam FR",,,,,,,
TB,9,"Toafili, Lawrance RS SR",,13,"Lucas, Jaylin JR/TR",,28,"Singleton Jr., Samuel RS FR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,11,"Payton, Patrick RS JR",,13,"Lolohea, Sione RS SR/TR",,,,,,,,,,
NT,6,"Jackson Jr., Darrell RS JR/TR",,95,"Lyons, Daniel RS SO",,90,"Kelly, Grady RS JR/TR",,,,,,,
DT,5,"Farmer, Joshua RS JR",,56,"Sampson, KJ RS FR",,19,"Durojaiye, Tomiwa RS SO/TR",,,,,,,
RDE,7,"Jones Jr., Marvin JR/TR",,54,"Turner Jr., Byron RS JR",,,,,,,,,,
WLB,10,"Lundy, DJ RS SR",,9,"Graham Jr., Omar RS SO",,28,"Cryer, Justin SO",,,,,,,
MLB,18,"Riley, Cam SR/TR",,20,"Nichelson, Blake SO",,31,"Ward, DeMarco RS FR",,,,,,,
LCB,23,"Cypress II, Fentrell RS SR/TR",,16,"Jones, Quindarrius SO",,14,"Bates, Cai FR",,,,,,,
BUCK,1,"Brown, Shyheim RS JR",,24,"Kirkland, K.J. RS FR",,,,,,,,,,
FS,22,"Brown, Davonte RS SR/TR",,12,"Hussey, Conrad SO",,,,,,,,,,
RCB,8,"Thomas, Azareye'h JR",,33,"Joseph, Edwin RS FR",,4,"Lester III, Charles FR",,,,,,,
NB,3,"Knowles II, Kevin SR",,0,"Little Jr., Earl RS SO/TR",,30,"Rawls, Ja'Bril RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,29,"Mastromanno, Alex RS SR",,43,"Chiumento, Mac RS SO",,,,,,,,,,
PK,88,"Fitzgerald, Ryan RS SR",,22,"Weinberg, Jake FR",,,,,,,,,,
KO,88,"Fitzgerald, Ryan RS SR",,22,"Weinberg, Jake FR",,,,,,,,,,
LS,32,"Arnold, Mason RS JR/TR",,60,"Naylor, Peyton RS FR",,,,,,,,,,
H,29,"Mastromanno, Alex RS SR",,43,"Chiumento, Mac RS SO",,,,,,,,,,
PR,10,"Benson, Malik SR/TR",,13,"Lucas, Jaylin JR/TR",,15,"McCoy, Lawayne FR",,,,,,,
KR,13,"Lucas, Jaylin JR/TR",,24,"Williams, Roydell SR/TR",,5,"Spann, Deuce RS SR/TR",,26,"Holmes, Caziah RS SR/TR",,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,7,"Hill, Destyn SO",,,,,,,,,,,,,
