Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Fresno State Bulldogs,,,,,,,,,,,,,,,
WR-X,0,"Dalena, Mac SR",,6,"Grear Jr., Tim JR/TR",,85,"Acevedo, Nathan RS SO",,,,,,,
WR-Z,18,"Moss, Jalen RS SO",,5,"Freeman, Josiah RS JR/TR",,8,"Sullivan, Antoine RS JR/TR",,,,,,,
WR-H,4,"James, Chedon JR/TR",,11,"Sharpe, Raylen RS JR/TR",,81,"Brown, Jordan RS SR",,10,"Malau'ulu, Jordan FR",,,,
LT,69,"Spomer, Jacob SR/TR",,77,"Penright, Toreon RS SR",,76,"Ugwu, Kingsley RS SR/TR",,,,,,,
LG,78,"Velez, Osmar RS SR",,54,"McHarg, Campbell RS JR/TR",,,,,,,,,,
C,51,"Vavao, Mose SR",,74,"Polendo, Julian RS SR",,70,"Bell, Matai RS SO",,,,,,,
RG,63,"Taumalolo, Daniel SR/TR",,67,"Kamuta, Ponafatu JR/TR",,72,"Fonua, Edward JR/TR",,,,,,,
RT,75,"Nelson, Braylen SR",,71,"Fullwood, Rolan RS JR",,,,,,,,,,
TE,86,"Boust, Jake RS SR/TR",,17,"Beachem, Kamron RS JR",,87,"Tarwater, Jake JR/TR",,88,"Anderson, Richie RS FR",,89,"Lium, Brock RS FR",
QB,1,"Keene, Mikey RS JR/TR",,3,"Wood, Joshua RS SO",,7,"Mandal, Jayden RS FR",,16,"Jacobs, Jack RS FR",,19,"Campbell, Joseph RS JR/TR",
RB,2,"Sherrod, Malik RS SR",,33,"Gilliam, Elijah RS SR",,29,"Arceneaux, Johnathan RS JR",,20,"Rivers, Devon RS FR",,32,"Greer Jr., Charles RS FR",
DEF,,,,,,,,,,,,,,,
LDE,5,"Bridges, Devo RS SR",,50,"Remlinger, Charles RS SR",,54,"Noa, Sione JR",,,,,,,
LDT,23,"Holmes, Jacob JR",,98,"Baumgartner, Kavika SR/TR",,99,"Christensen, Ezra SR/TR",,,,,,,
RDT,92,"Lightfoot, Gavriel JR",,56,"Satele, Jairus RS SO/TR",,88,"Xepera, Merhauti RS SO",,,,,,,
RDE,0,"Foreman, Korey RS JR/TR",,97,"Jacks, Jahzon RS SO",,,,,,,,,,
WLB,9,"Langley, Malachi RS SR",,7,"Jackson, Phoenix RS JR",,4,"Miller, RL RS FR",,19,"Branham, Zeke RS JR",,,,
MLB,8,"Nomura, Tuasivi SR/TR",,42,"Mello, Tyler SR",,53,"Scheidt, Steven RS SR/TR",,26,"Thomas, Tim RS SO",,,,
LCB,1,"Lockridge, Cam SR/TR",,20,"Regan, RJ RS JR/TR",,28,"Briggs, Jomarion RS SO",,,,,,,
SS,32,"Clark, Dean RS SR/TR",,11,"Davis, Jayden RS SO",,,,,,,,,,
FS,10,"Agina, Kosi SR",,16,"Ashley, Ah'Marion RS FR",,,,,,,,,,
RCB,3,"Hamilton, Al'zillion RS JR",,15,"Neal, Julian RS JR",,25,"Johnson, Justin RS FR",,,,,,,
NB,22,"Bracha, Camryn SR/TR",,13,"Houston, Justin SR",,33,"Thompson, Makei RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,49,"Lawrence, Clay FR",,41,"Verdugo, Nick RS SO/TR",,,,,,,,,,
PK,46,"Lynch, Dylan JR",,45,"Tripp, Connor FR",,,,,,,,,,
KO,46,"Lynch, Dylan JR",,45,"Tripp, Connor FR",,,,,,,,,,
LS,52,"Brown, Wesley RS JR/TR",,59,"Munoz, Michael RS SR",,,,,,,,,,
H,49,"Lawrence, Clay FR",,41,"Verdugo, Nick RS SO/TR",,,,,,,,,,
PR,18,"Moss, Jalen RS SO",,,,,,,,,,,,,
KR,2,"Sherrod, Malik RS SR",,,,,,,,,,,,,
