Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Georgia Bulldogs,,,,,,,,,,,,,,,
WR-X,86,"Bell, Dillon JR",,8,"Young, Colbie SR/TR",,13,"Jackson III, Michael SR/TR",,,,,,,
WR-Z,11,"Smith, Arian RS SR",,16,"Humphreys, London SO/TR",,2,"Tuggle, Nitro FR",,,,,,,
WR-Y,6,"Lovett, Dominic SR/TR",,5,"Evans III, Anthony SO",,18,"White, Sacovie FR",,,,,,,
LT,71,"Greene III, Earnest RS SO",,72,"Meriweather, Jamal RS FR",,52,"Uini, Michael FR",,,,,,,
LG,53,"Fairchild, Dylan RS JR",,56,"Morris, Micah RS JR",,54,"Smith Jr., Kelton RS FR",,,,,,,
C,55,"Wilson, Jared RS JR",,74,"Bobo, Drew RS SO",,51,"Toliver, Malachi FR",,,,,,,
RG,69,"Ratledge, Tate RS SR",,70,"Calhoun, Daniel FR",,58,"Easley, Marques FR",,,,,,,
RT,73,"Truss, Xavier RS SR",,57,"Freeling, Monroe SO",,59,"Hughley, Bo RS FR",,79,"Daniels, Nyier FR",,,,
TE,4,"Delp, Oscar JR",,84,"Yurosek, Ben GR/TR",,7,"Luckie, Lawson SO",,23,"Reddell, Jaden FR",,,,
QB,15,"Beck, Carson RS SR",,14,"Stockton, Gunner RS SO",,10,"Rashada, Jaden RS FR/TR",,12,"Puglisi, Ryan FR",,,,
RB,1,"Etienne, Trevor JR/TR",,0,"Robinson II, Roderick SO",,22,"Robinson, Branson RS SO",,32,"Jones, Cash RS JR",,,,
DEF,,,,,,,,,,,,,,,
DE,13,"Williams, Mykel JR",,93,"Ingram-Dawkins, Tyrion RS JR",,29,"Harris Jr., Gabe SO",,99,"Jonah-Ajonye, Joseph FR",,,,
NT,78,"Stackhouse, Nazir SR",,55,"Jarrett, Jamaal SO",,44,"Hall, Jordan SO",,,,,,,
DT,97,"Brinson, Warren SR",,94,"McLeod, Xzavier RS FR/TR",,52,"Miller, Christen RS SO",,,,,,,
JACK,32,"Chambliss, Chaz SR",,10,"Wilson II, Damon SO",,26,"M'Pemba, Samuel SO",,,,,,,
MLB,3,"Allen, CJ SO",,5,"Wilson, Raylen SO",,19,"Williams, Justin FR",,,,,,,
WLB,2,"Mondon Jr., Smael SR",,11,"Walker, Jalon JR",,0,"Bowles, Troy SO",,,,,,,
LCB,6,"Everette, Daylen JR",,7,"Harris, Daniel SO",,,,,,,,,,
SS,24,"Starks, Malaki JR",,22,"Pope, Jake RS SO/TR",,14,"Daniel-Sisavanh, David SR",,,,,,,
FS,17,"Jackson, Dan RS SR",,4,"Bolden, KJ FR",,9,"Rhett, Justyn RS FR",,,,,,,
RCB,12,"Humphrey, Julian RS SO",,1,"Robinson IV, Ellis FR",,,,,,,,,,
STAR,8,"Aguero, Joenel SO",,20,"Thomas, JaCorey JR",,31,"Jones, Kyron RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,92,"Thorson, Brett JR",,90,"Miller, Drew FR",,98,"Jones, Noah RS JR",,,,,,,
PK,91,"Woodring, Peyton SO",,92,"Badger, Liam RS JR/TR",,95,"Ham, Charlie GR/TR",,94,"Bates, Henry RS SO",,,,
KO,95,"Ham, Charlie GR/TR",,91,"Woodring, Peyton SO",,92,"Badger, Liam RS JR/TR",,94,"Bates, Henry RS SO",,,,
LS,60,"Gardner, Beau GR/TR",,51,"Snellings, Will RS FR",,66,"Washburn, Jonathan RS JR",,46,"Raab, Luke FR",,,,
H,15,"Beck, Carson RS SR",,14,"Stockton, Gunner RS SO",,,,,,,,,,
PR,5,"Evans III, Anthony SO",,4,"Bolden, KJ FR",,18,"White, Sacovie FR",,,,,,,
KR,86,"Bell, Dillon JR",,5,"Evans III, Anthony SO",,4,"Bolden, KJ FR",,18,"White, Sacovie FR",,,,
