Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Georgia State Panthers,,,,,,,,,,,,,,,
WR-X,8,"Credle, Ja'Cyais RS SR/TR",,16,"Hurst, Ted JR/TR",,10,"Riles, DJ RS SO/TR",,6,"Laney, Rykem SR/TR",,,,
WR-Z,5,"Thompson, Cadarrius RS SR",,0,"Kikwata, Peter JR/TR",,17,"Tucker, Petey JR/TR",,,,,,,
WR-Y,2,"Williams, Tailique RS SR",,13,"Bush, Darius RS JR/TR",,83,"Brand, LaMarcus RS JR/TR",,,,,,,
LT,67,"Chukwuma, Ben RS SR",,76,"Fenderson-Gentile, Kysean SR/TR",,,,,,,,,,
LG,72,"Black, Joshua RS SR/TR",,69,"Bargman, MarQuez RS JR",,56,"Watson, Romello SR/TR",,,,,,,
C,70,"Johnson, Alec RS SO",,71,"Larkins, Will RS FR/TR",,,,,,,,,,
RG,63,"Timmons, Trevor RS JR/TR",,78,"Robinson, Lamar JR/TR",,,,,,,,,,
RT,74,"Mason, Kyrik RS JR/TR",,68,"Cook, Mason RS JR",,,,,,,,,,
TE,85,"Green, Ahmon RS JR",,35,"McBride, Avion RS SO",,82,"Fleming, Dorian RS FR",,88,"Wadle, Lane FR",,,,
QB,1,"Gibson, Zach RS SR/TR",,11,"Veilleux, Christian RS JR/TR",,14,"Lowe, Kyle RS SO/TR",,7,"Ragland, Braylen RS FR",,15,"Waldrop, Rodge FR",
RB,4,"Beasley, CJ SR/TR",,25,"Brock, Freddie RS JR/TR",,3,"Wilkerson, Sy'veon RS SR/TR",,9,"Ford, Jordan RS SR/TR",,22,"Dukes, Michel GR/TR",
DEF,,,,,,,,,,,,,,,
DE,20,"Brown, Victoine RS JR/TR",,46,"Mathews, Ian RS JR/TR",,43,"Davis Jr., Chris RS JR",,36,"Manuel, Chris JR/TR",,53,"Tinor, Jude RS FR",
NT,10,"Bryant III, Henry RS JR/TR",,56,"Lewis II, Fuches RS JR",,16,"Thomas, Bishop RS SO/TR",,,,,,,
DT,52,"Blume, Anthony GR/TR",,11,"Lorenzo, Christian RS SO/TR",,40,"Mells, Sir RS SO/TR",,8,"Royal, Dorian RS JR/TR",,,,
JACK,9,"Swint, Kevin SR/TR",,19,"Williams, Cam RS SR/TR",,47,"McDaniel, KD RS SR/TR",,54,"Lee, Kiersten RS SR/TR",,39,"Bailey, LaQuavius FR",
MLB,48,"Abraham, Justin SR",,25,"Robinson, Josiah JR/TR",,2,"Brown, Tavian RS SR/TR",,45,"Wilson, Damaine FR",,49,"Bloom, Gavin RS SO/TR",
WLB,0,"Heimuli, Daniel SR/TR",,33,"Robinson, Xavier RS SR/TR",,41,"Hall, Jayven RS FR/TR",,27,"Turner, Jacorrei RS JR/TR",,,,
LCB,3,"Pringle, Gavin RS SR/TR",,12,"McCall, Sam JR/TR",,28,"McClendon, Marlon RS FR",,,,,,,
SS,6,"Johnson, Jeremiah SR/TR",,22,"Morris, Ja'Maric RS JR/TR",,32,"Jones, Cody RS JR/TR",,23,"Jones, Jaylen RS FR",,,,
FS,4,"Hopkins, D-Icey RS SO",,1,"Watson II, Kenyatta RS SR/TR",,14,"Marshall, Cam SO",,,,,,,
RCB,7,"Guy, Izaiah RS SO",,24,"Cooper, Ronald SR",,37,"Turner, Gary JR/TR",,,,,,,
NB,5,"Gilmore, Jyron RS JR/TR",,21,"Maxey III, Derrick RS FR/TR",,26,"Walker, Deuce FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,94,"Loggins, Kade RS JR",,98,"Allen, James RS JR/TR",,,,,,,,,,
PK,92,"Rickman, Liam RS SO",,38,"Kone, Isaac SO",,,,,,,,,,
KO,15,"McAlister, Braeden RS SO/TR",,38,"Kone, Isaac SO",,,,,,,,,,
LS,47,"Fitzmeyer, Michael RS SO",,57,"Lindsey, Sam RS FR",,97,"Radnoti, Spencer FR",,,,,,,
H,94,"Loggins, Kade RS JR",,98,"Allen, James RS JR/TR",,,,,,,,,,
PR,2,"Williams, Tailique RS SR",,,,,,,,,,,,,
KR,2,"Williams, Tailique RS SR",,,,,,,,,,,,,
