Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Hawaii Rainbow Warriors,,,,,,,,,,,,,,,
WR-X,0,"Perry, Alex RS SO",,2,"Hines, Tylan RS SO",,,,,,,,,,
WR-Z,1,"Panoke, Jonah RS SR",,14,"Curtis, Spencer RS SR/TR",,6,"Crowdus, Dekel RS JR/TR",,,,,,,
WR-H,5,"Ashlock, Pofele RS SO",,3,"Cenacle, Nick JR",,,,,,,,,,
WR-Y,23,"Nishigaya, Koali RS SR",,8,"Mokiao-Atimalala, Tamatoa SR",,,,,,,,,,
LT,78,"Decambra, Ka'ena RS JR",,72,"Felix-Fualalo, Luke RS SR/TR",,,,,,,,,,
LG,58,"Sotelo, Zhen RS JR",,66,"Muasau, Sergio RS SR",,,,,,,,,,
C,57,"Spencer, Ethan RS SO",,66,"Muasau, Sergio RS SR",,,,,,,,,,
RG,51,"Ta'ala, Maurice RS SR",,66,"Muasau, Sergio RS SR",,,,,,,,,,
RT,59,"Peihopa, Kuao RS JR/TR",,72,"Felix-Fualalo, Luke RS SR/TR",,,,,,,,,,
QB,13,"Schager, Brayden SR",,16,"Sagapolutele, John-Keawe RS FR",,,,,,,,,,
RB,30,"Sims, Landon RS JR",,9,"Barfield, Cam RS SO/TR",,38,"DeBlake, Kamalu RS JR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,5,"Jones, Tariq RS JR",,12,"Ho'ohuli, Wynden RS JR/TR",,51,"Lagafuaina, Lesterlaisene RS FR",,,,,,,
LDT,52,"Evaimalo, Ezra RS SR",,69,"Williams, Daniel SR/TR",,,,,,,,,,
RDT,19,"Washington, Dion RS JR/TR",,77,"Sekona, Jamar RS SR/TR",,,,,,,,,,
RDE,0,"Robinson, Elijah GR/TR",,57,"Johnson III, Jackie RS JR/TR",,55,"Petelo, Zoram RS FR",,,,,,,
WLB,3,"Smith, Jalen RS JR/TR",,11,"Emerson, Nalu RS SR",,49,"Tadio, Tasi RS FR",,,,,,,
MLB,16,"Taylor, Logan SR/TR",,54,"Otis, Jamih SO",,18,"Kema, Noah SR/TR",,,,,,,
LCB,4,"Stone, Cam SR/TR",,24,"King, Devyn SR/TR",,26,"Freeman, Deliyon RS FR",,,,,,,
SS,1,"Manuma, Peter JR",,2,"Moore, Kona RS SO",,,,,,,,,,
FS,29,"Mendiola-Jensen, Kilinahe SR/TR",,6,"Sinclair, Justin SR/TR",,7,"Pei, Meki RS SR/TR",,,,,,,
RCB,13,"Brown, Caleb SR/TR",,8,"Forest, JoJo SR/TR",,14,"Wilson-Jones, Jaheim JR/TR",,,,,,,
NB,9,"Palmer, Elijah SO",,25,"Thompson, Matagi RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,19,"Borrow, Lucas GR/TR",,69,"Falck, Ben RS SR/TR",,,,,,,,,,
PK,17,"Matsuzawa, Kansei SR/TR",,33,"Kluth, Kai RS FR",,,,,,,,,,
KO,69,"Falck, Ben RS SR/TR",,33,"Kluth, Kai RS FR",,,,,,,,,,
LS,35,"Higham, Hunter RS FR",,44,"Landrum, Solomon SR/TR",,,,,,,,,,
H,19,"Borrow, Lucas GR/TR",,69,"Falck, Ben RS SR/TR",,,,,,,,,,
PR,2,"Hines, Tylan RS SO",,23,"Nishigaya, Koali RS SR",,,,,,,,,,
KR,2,"Hines, Tylan RS SO",,4,"Stone, Cam SR/TR",,9,"Barfield, Cam RS SO/TR",,10,"Cordero, David RS JR",,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
RES,7,"McBride, Steven SR/TR",,,,,,,,,,,,,
