Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Houston Cougars,,,,,,,,,,,,,,,
WR-X,14,"Shoulders, Marquis RS JR/TR",,4,"Wilson, Jonah RS FR",,88,"Wallace, Ja'Ryan RS FR",,,,,,,
WR-Z,5,"Johnson, Stephon JR/TR",,8,"Williams, Devan RS SO/TR",,84,"Padgitt, Samuel RS FR",,,,,,,
WR-Y,0,"Manjack IV, Joseph SR/TR",,83,"Mews, Mekhi RS JR/TR",,81,"Gangi, Anthony RS JR/TR",,,,,,,
LT,77,"Ndukwe, David RS JR/TR",,75,"Wiley, Jake RS SR/TR",,,,,,,,,,
LG,65,"Bowie, Cayden RS FR",,68,"White, Dakota SR/TR",,,,,,,,,,
C,59,"Hunter, Demetrius RS SO",,63,"Secrest, Sam RS SO/TR",,61,"Good II, Thomathan RS SR/TR",,,,,,,
RG,72,"Jenkins, Tank RS SR/TR",,66,"Dunn, Peyton SR/TR",,,,,,,,,,
RT,58,"Hobdy-Lee, Shamar RS SR/TR",,76,"Melton, Cedric RS SR/TR",,70,"Crawford, Larry SO/TR",,,,,,,
TE,6,"Carr, Maliq RS SR/TR",,82,"Byrnes, Matt RS JR/TR",,13,"York, Jayden RS JR/TR",,,,,,,
QB,1,"Smith, Donovan RS SR/TR",,2,"Chriss, Zeon RS SO/TR",,10,"Ale, Ui RS SO/TR",,,,,,,
RB,23,"Jenkins, Parker SO",,21,"Sneed, Stacy RS JR",,24,"Mathis Jr., Tony RS SR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,5,"Cooper Jr., Keith SR/TR",,90,"Strong, Zykeius RS SR/TR",,94,"Lawrence, Garfield RS JR",,,,,,,
NT,93,"Stillman, Xavier JR/TR",,97,"Rogers, Everitt SR/TR",,98,"Benton, Justin RS FR",,,,,,,
DT,18,"Holmes Jr., Anthony RS SO",,99,"Lee, Quindario RS JR/TR",,95,"Robbins, Taleeq RS JR/TR",,,,,,,
DOG,4,"Mack, Brandon RS SR/TR",,45,"Tucker, Nadame RS SR/TR",,40,"Coppage-El, Torren RS JR/TR",,,,,,,
WLB,44,"Batton, Michael SR/TR",,9,"Platt Jr., Corey RS SO/TR",,10,"McCutchin, Latreveon SO",,,,,,,
MLB,25,"Morris, Jamal RS SR/TR",,0,"Gant, Kendre RS SR/TR",,36,"Garner, Jalen RS JR",,,,,,,
ANCHO,15,"McLaurin, Hershey SR/TR",,21,"Gaston, Juwon SR/TR",,,,,,,,,,
LCB,17,"Davis, Kriston SR/TR",,23,"Rhym, JD RS SO/TR",,26,"Shaw, Jamaal RS FR",,,,,,,
SS,22,"Massey, Bryan GR/TR",,8,"Webb, Kentrell RS SO/TR",,33,"Barbas, Johnsley RS FR",,,,,,,
FS,2,"Haulcy, A.J. JR/TR",,28,"Wilk, Teagan RS JR/TR",,6,"Guzman, Noah RS SR/TR",,,,,,,
RCB,1,"McCutchin Sr., Latrell RS JR/TR",,20,"Wilson, Jeremiah JR/TR",,3,"Emery, Jalen RS JR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,91,"Dougherty, Liam FR",,62,"Raney, Jack RS FR/TR",,69,"Abbott, Alex FR",,,,,,,
PK,41,"Martin, Jack RS SR/TR",,43,"Kim, Joseph RS FR",,,,,,,,,,
KO,41,"Martin, Jack RS SR/TR",,43,"Kim, Joseph RS FR",,,,,,,,,,
LS,46,"Parent, Pierson RS FR/TR",,56,"Garza, Jacob RS JR",,47,"Wood, Justin RS FR/TR",,,,,,,
H,91,"Dougherty, Liam FR",,62,"Raney, Jack RS FR/TR",,69,"Abbott, Alex FR",,,,,,,
PR,83,"Mews, Mekhi RS JR/TR",,0,"Manjack IV, Joseph SR/TR",,,,,,,,,,
KR,83,"Mews, Mekhi RS JR/TR",,21,"Sneed, Stacy RS JR",,23,"Jenkins, Parker SO",,,,,,,
