Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Indiana Hoosiers,,,,,,,,,,,,,,,
WR-X,13,"Sarratt, Elijah JR/TR",,7,"Williams Jr., E.J. SR/TR",,89,"Jordan, Camden RS JR/TR",,,,,,,
WR-Z,1,"McCulley, Donaven SR",,3,"Cooper Jr., Omar RS SO",,0,"Coby, Andison SR/TR",,,,,,,
WR-SL,4,"Price, Myles SR/TR",,19,"Cross, Miles SR/TR",,5,"Williams, Ke'Shawn SR/TR",,,,,,,
LT,65,"Smith, Carter RS SO",,78,"Jones, Cooper RS JR",,,,,,,,,,
LG,62,"Evans, Drew RS SO/TR",,53,"Fiacable, Vince RS JR",,,,,,,,,,
C,56,"Katic, Mike RS SR",,54,"Greer, Jack RS SO",,,,,,,,,,
RG,74,"Lynch, Bray RS SO",,77,"Stephens, Tyler RS SR/TR",,79,"Williams, Max RS SO",,,,,,,
RT,75,"Wedig, Trey RS SR/TR",,73,"Barrett, Austin RS FR",,,,,,,,,,
TE,44,"Horton, Zach SR/TR",,48,"Bomba, James RS JR/TR",,45,"Walker, Trey RS SR",,86,"Foley, Brody RS SO",,88,"West, Sam RS FR",
QB,9,"Rourke, Kurtis RS SR/TR",,2,"Jackson, Tayven RS SO/TR",,15,"Cherry, Tyler FR",,12,"Purcell, Roman RS JR/TR",,16,"Mendoza, Alberto FR",
RB,6,"Ellison, Justice SR/TR",,8,"Black, Kaelon RS JR/TR",,17,"Lawton, Ty Son RS SR/TR",,21,"Green, Elijah RS JR/TR",,18,"Vanhorse, Solomon GR/TR",
DEF,,,,,,,,,,,,,,,
DE,6,"Kamara, Mikail SR/TR",,55,"Sneed Jr., Venson RS SO",,58,"Cannon, Aden RS SO",,,,,,,
NT,8,"West, CJ SR/TR",,95,"Tucker, Tyrique RS SO/TR",,93,"Harrison, Robby RS SO/TR",,,,,,,
DT,99,"Carpenter, James RS SR/TR",,92,"Burris Jr., Marcus RS JR/TR",,64,"Stewart, Race RS JR",,90,"Monette, J'mari RS SO",,,,
STUD,41,"Carr Jr., Lanell SR/TR",,7,"Mangum-Farrar, Jacob GR/TR",,49,"Collins, Ta'Derius RS FR",,,,,,,
MLB,4,"Fisher, Aiden JR/TR",,46,"Jones, Isaiah RS SO",,14,"Turner, Kaiden RS SO",,40,"Clark, Quentin FR",,,,
WLB,2,"Walker, Jailin SR/TR",,33,"Logan, Nahji SR/TR",,26,"Rudolph, Joshua SR/TR",,,,,,,
ROVER,25,"Ferrell, Amare SO",,12,"Jones Jr., Terry RS SR/TR",,,,,,,,,,
LCB,5,"Ponds, D'Angelo SO/TR",,9,"Johnson, Jamier RS JR/TR",,20,"Henderson, Dontrae FR",,,,,,,
SS,10,"Warnell Jr., DJ SR/TR",,19,"Sanguinetti, Josh RS SR",,17,"McDaniel, Tyrik RS SR/TR",,,,,,,
FS,1,"Asbury II, Shawn SR/TR",,15,"Toomer, Nic RS SR/TR",,24,"Bonds, Bryson RS JR",,,,,,,
RCB,22,"Sharpe, Jamari RS SO",,3,"Johnson, JoJo RS JR/TR",,45,"Murff, Lincoln RS FR",,0,"Philostin, Josh FR",,,,
ST,,,,,,,,,,,,,,,
PT,94,"Evans, James SR",,96,"Quintero, Alejandro RS JR/TR",,,,,,,,,,
PK,43,"McCormick, Derek RS SR/TR",,96,"Quintero, Alejandro RS JR/TR",,39,"Radicic, Nicolas RS FR",,,,,,,
KO,43,"McCormick, Derek RS SR/TR",,96,"Quintero, Alejandro RS JR/TR",,39,"Radicic, Nicolas RS FR",,,,,,,
LS,47,"Langston, Mark RS SR/TR",,97,"Miller, Jaxon RS SO/TR",,,,,,,,,,
H,94,"Evans, James SR",,96,"Quintero, Alejandro RS JR/TR",,,,,,,,,,
PR,4,"Price, Myles SR/TR",,,,,,,,,,,,,
KR,5,"Williams, Ke'Shawn SR/TR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,55,"Kidwell, Nick RS SR/TR",,,,,,,,,,,,,
