Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Iowa Hawkeyes,,,,,,,,,,,,,,,
WR-X,0,"Buie, Jarriett RS FR",,7,"Howard, Dayton RS FR",,,,,,,,,,
WR-Z,3,"Brown, Kaleb RS SO/TR",,8,"Washington Jr., Terrell RS FR",,,,,,,,,,
WR-SL,6,"Anderson, Seth RS JR/TR",,21,"Wetjen, Kaden SR",,,,,,,,,,
LT,78,"Richman, Mason RS SR",,71,"Dotzler, Jack RS SO",,,,,,,,,,
LG,70,"Stephens, Beau RS JR",,58,"Pieper, Kade RS FR",,,,,,,,,,
C,65,"Jones, Logan RS SR",,76,"Elsbury, Tyler RS SR",,,,,,,,,,
RG,77,"Colby, Connor SR",,56,"DeJong, Nick GR",,,,,,,,,,
RT,67,"Dunker, Gennings RS JR",,59,"Lauck, Trevor RS FR",,,,,,,,,,
TE,85,"Lachey, Luke RS SR",,87,"Ostrenga, Addison JR",,,,,,,,,,
QB,12,"McNamara, Cade GR/TR",,11,"Lainez, Marco RS FR",,1,"Sullivan, Brendan RS JR/TR",,,,,,,
RB,4,"Williams, Leshon RS SR",,2,"Johnson, Kaleb JR",,28,"Moulton, Kamari RS FR",,,,,,,
FB,88,"Large, Hayden GR/TR",,31,"Miller, Eli RS JR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,45,"Craig, Deontae RS SR",,48,"Llewellyn, Max RS JR",,44,"Merrieweather, Kenneth RS FR",,,,,,,
LDT,95,"Graves, Aaron JR",,86,"Bowie, Jeff RS JR",,57,"Hubert, Will RS SO",,,,,,,
RDT,94,"Black, Yahya RS SR",,55,"Pittman, Jeremiah RS JR",,51,"Gaffney, Luke RS SO",,,,,,,
RDE,49,"Hurkett, Ethan RS SR",,90,"Allen, Brian RS SO",,97,"Crawford, Caden RS SO",,,,,,,
WLB,10,"Jackson, Nick GR/TR",,43,"Sharar, Karson RS JR",,,,,,,,,,
MLB,34,"Higgins, Jay RS SR",,41,"Harrell, Jaden RS JR",,,,,,,,,,
CASH,29,"Castro, Sebastian GR",,37,"Fisher, Kyler GR",,12,"Rexroth, Jaxon RS JR",,,,,,,
LCB,7,"Nestor, John SO",,2,"Hall, TJ JR",,,,,,,,,,
SS,1,"Nwankpa, Xavier JR",,4,"Entringer, Koen RS SO",,,,,,,,,,
FS,30,"Schulte, Quinn GR",,6,"Lutmer, Zach RS FR",,,,,,,,,,
RCB,27,"Harris, Jermari GR",,8,"Lee, Deshaun RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,9,"Dakin, Rhys FR",,99,"Nissen, Ty SR/TR",,,,,,,,,,
PK,18,"Stevens, Drew JR",,92,"Woody, Tripp FR",,,,,,,,,,
KO,18,"Stevens, Drew JR",,92,"Woody, Tripp FR",,,,,,,,,,
LS,39,"Elkin, Luke SR",,97,"Speltz, Ike FR",,,,,,,,,,
H,99,"Nissen, Ty SR/TR",,9,"Dakin, Rhys FR",,,,,,,,,,
PR,21,"Wetjen, Kaden SR",,,,,,,,,,,,,
KR,21,"Wetjen, Kaden SR",,22,"White, Max RS JR",,,,,,,,,,
