Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Iowa State Cyclones,,,,,,,,,,,,,,,
WR-X,9,"Higgins, Jayden SR/TR",,0,"Ngoyi, Beni RS FR",,17,"Black, Kai RS FR",,,,,,,
WR-Z,16,"Jackson, Daniel RS SR",,8,"Alston, Isaiah RS JR/TR",,19,"Parkes, Michael RS FR",,,,,,,
WR-M,13,"Noel, Jaylin SR",,21,"Green, Eli RS JR/TR",,,,,,,,,,
LT,72,"Travis, Jalen SR/TR",,73,"Hasert, Deylin RS SO",,,,,,,,,,
LG,75,"Neal, James RS JR/TR",,54,"Hufford, Jarrod RS SR",,78,"Burton, AJ FR",,,,,,,
C,61,"Barrett, Dylan RS JR/TR",,63,"Bonifas, Jim RS JR",,,,,,,,,,
RG,51,"Black, Brendan SO",,50,"Maro, Tyler RS JR",,,,,,,,,,
RT,66,"Miller, Tyler RS SR",,70,"Buhr, Trevor RS FR",,,,,,,,,,
TE,18,"Brahmer, Benjamin SO",,49,"Klotz, Stevo RS SR",,86,"Keller, Andrew RS SO",,87,"Alexander, Cooper FR",,,,
QB,3,"Becht, Rocco RS SO",,10,"Kohl, JJ RS FR",,7,"Hughes, Tanner RS JR/TR",,5,"Moberly, Connor FR",,,,
RB,24,"Sama III, Abu SO",,26,"Hansen, Carson SO",,12,"Jackson, Jaylon SR/TR",,25,"Lee, Dylan FR",,,,
DEF,,,,,,,,,,,,,,,
DE,11,"Onyedim, Tyler RS JR",,88,"Ezeogu, Ikenna RS SO",,89,"Jones II, Trent RS JR",,6,"Mendeszoon, Myles RS JR",,,,
NT,95,"Orange, Domonique JR",,53,"Hawk, Zaimir RS FR",,,,,,,,,,
DT,58,"Singleton, J.R. RS SR",,56,"Carnell, Alijah FR",,,,,,,,,,
LEO,52,"Petersen, Joey SR",,8,"Snyder, Kenard RS JR/TR",,45,"Samè, Samuel RS FR",,,,,,,
WLB,50,"Bacon, Caleb RS JR",,47,"Ebel, Kooper SO",,40,"Miller, Mason FR",,,,,,,
MLB,33,"Sadowsky V, Jack SO",,44,"Ellis, Jacob RS JR/TR",,0,"Lovett, Zachary RS JR/TR",,,,,,,
STAR,23,"McLaughlin, Will JR",,26,"Brezina, Cael FR",,12,"Imming, Jacob RS SO",,,,,,,
LCB,5,"Purchase, Myles SR",,10,"Porter, Darien RS SR",,21,"Robinson Jr., Ryan RS FR/TR",,,,,,,
MS,17,"Freyler, Beau SR",,25,"Howard, Trevon RS SO",,19,"James, Ta'Shawn RS FR",,,,,,,
BS,7,"Verdon, Malik RS JR",,29,"Surges, Drew SO",,,,,,,,,,
FS,4,"Cooper, Jeremiah JR",,2,"Patton, Jamison SO",,,,,,,,,,
RCB,3,"Williams, Jontez RS SO",,16,"Bess, Matthew SO/TR",,13,"Smith, Cam SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,80,"Perkins, Tyler JR",,20,"Gilbert, Jace T. RS SO",,,,,,,,,,
PK,97,"Konrardy, Kyle RS FR",,99,"Shackford, Keegan RS JR",,,,,,,,,,
KO,99,"Shackford, Keegan RS JR",,97,"Konrardy, Kyle RS FR",,,,,,,,,,
LS,57,"Knobloch, Drake RS SO",,56,"Clausen, Drew RS JR/TR",,60,"Lyftogt, Jacob RS FR",,,,,,,
H,80,"Perkins, Tyler JR",,20,"Gilbert, Jace T. RS SO",,,,,,,,,,
PR,13,"Noel, Jaylin SR",,,,,,,,,,,,,
KR,13,"Noel, Jaylin SR",,26,"Hansen, Carson SO",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,14,"Willich, Carson RS SO",,,,,,,,,,,,,
