Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Jacksonville State Gamecocks,,,,,,,,,,,,,,,
WR-X,14,"Spector, Brannon RS SR/TR",,2,"Pettway, Michael RS JR/TR",,89,"Rechsteiner, Brock RS JR",,16,"Wright, Dallan RS JR/TR",,,,
WR-Z,13,"Wells, P.J. RS SR",,5,"Dawson, Tar'Varish RS JR/TR",,88,"McCants, Jordan RS SO",,,,,,,
WR-SL,3,"Rudolph, Samario RS SR/TR",,1,"Lacey, Demarcus JR/TR",,9,"Bowie, Jarod RS JR/TR",,86,"Little, Jayvin SR/TR",,,,
LT,73,"O'Steen, Will RS JR",,,,,,,,,,,,,
LG,74,"Webb, Clay RS SR/TR",,,,,,,,,,,,,
C,78,"Robey, Brock SR/TR",,,,,,,,,,,,,
RG,55,"Harley, Daveion SO",,60,"Griffin, Cameron SO",,,,,,,,,,
RT,69,"Jones, Cam RS SR/TR",,71,"Arnold, K.D. SO",,,,,,,,,,
TE,17,"Brown, Sean RS SR/TR",,81,"Barrick, Jacob JR",,19,"Baldwin, Pearson RS JR",,45,"Fuller, Cole RS JR",,,,
QB,7,"Smothers, Logan SR/TR",,11,"Turner, Zion RS SO/TR",,8,"Smoot, Te'Sean RS SO",,6,"Huff, Tyler RS SR/TR",,,,
RB,25,"Lewis, Anwar RS SR/TR",,4,"Wiggins, Ron RS SR",,0,"Paul, Andrew RS SO/TR",,21,"Savage, Justus FR",,,,
DEF,,,,,,,,,,,,,,,
DE,30,"Swain, J-Rock SR",,5,"Hughes, Reginald RS JR/TR",,91,"Stansbury, Gharin RS JR/TR",,94,"Larry, Jumarion RS SO",,,,
NT,54,"Brown, Dylan RS SR/TR",,97,"Samuel, Ricky RS SR/TR",,92,"Carter, Talan FR",,,,,,,
DT,96,"Prater, Darrell RS SO",,95,"Clark, Keyon RS SO",,93,"Campbell, Jawaun FR",,,,,,,
BAN,41,"Young Jr., Curley RS SR/TR",,19,"Joseph, Morven SR/TR",,47,"Mims, Corbet RS JR/TR",,55,"Floyd, Tae RS FR",,,,
MLB,16,"Hale, Laletia RS SR",,34,"DeLoach, Dajwon SO",,49,"Gallagher, Thaxton JR/TR",,,,,,,
WLB,11,"McCray, Ky'won SR/TR",,15,"Al-Amin, Jibreel RS SO",,48,"Birdsong, Jaleel RS SO",,,,,,,
LCB,4,"Mack, Jabari JR",,1,"Latimer, Geimere SO",,3,"Solomon II, Kenney SR/TR",,24,"Jones, Jayke FR",,,,
SS,9,"Taylor, Pat RS JR/TR",,21,"Ambush, Austin RS JR/TR",,7,"Denson, Tee RS JR/TR",,,,,,,
FS,6,"Perry, Fred JR",,8,"Carter, Antonio GR/TR",,20,"Franklin Jr., Travis SO",,,,,,,
RCB,13,"Carter, Derek RS JR",,2,"Baker, Marco SR",,10,"Davis, Fred SR/TR",,,,,,,
NB,0,"Bride, Tyler SR/TR",,36,"Alexander, Chase JR/TR",,12,"Jones, Malcolm RS SO/TR",,18,"Poyser, Zechariah RS FR",,,,
ST,,,,,,,,,,,,,,,
PT,87,"Dawson, Jack SR/TR",,29,"Backe, Cade RS JR/TR",,,,,,,,,,
PK,37,"Rippa, Garrison RS FR",,47,"Macias, Julio RS SO/TR",,,,,,,,,,
KO,37,"Rippa, Garrison RS FR",,47,"Macias, Julio RS SO/TR",,,,,,,,,,
LS,36,"Westfelt, Collin RS JR/TR",,53,"Hogan, Luke RS JR",,,,,,,,,,
H,87,"Dawson, Jack SR/TR",,29,"Backe, Cade RS JR/TR",,,,,,,,,,
PR,86,"Little, Jayvin SR/TR",,,,,,,,,,,,,
KR,86,"Little, Jayvin SR/TR",,2,"Pettway, Michael RS JR/TR",,,,,,,,,,
