Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
James Madison Dukes,,,,,,,,,,,,,,,
WR-X,19,"Hudson, Taji RS JR/TR",,8,"Moss, Maxwell SO",,13,"Lewis, Troy RS JR/TR",,,,,,,
WR-Z,10,"Penny, Brionne RS SR/TR",,88,"Williams, Dylan FR",,2,"Mines, Jayden RS SO",,,,,,,
WR-SL,1,"Ross, Cam RS SR/TR",,9,"Dollison, Omarion SR/TR",,0,"Knight, Yamir SO",,,,,,,
LT,52,"Wyatt, Tyshawn SR",,64,"Popma, Luke RS JR/TR",,79,"Simmons, Joseph RS SO",,,,,,,
LG,60,"Sweazie, Carter RS SO",,50,"Jenkins, Quincy SR/TR",,53,"McLain, Hunter RS SO/TR",,,,,,,
C,58,"Morris, Tanner RS SR",,70,"Davis, Brett RS JR",,,,,,,,,,
RG,66,"Potts, Cole SR",,72,"Toner, Josh RS JR",,,,,,,,,,
RT,76,"McMurtrie, Pat RS SR/TR",,77,"Ramil, Jesse RS JR/TR",,,,,,,,,,
TE,15,"Wright, Kyi RS SR/TR",,17,"Thompson, Taylor SR/TR",,18,"Kyle, Logan RS JR/TR",,85,"Funk, Jordan SR/TR",,,,
QB,5,"Morris, Dylan RS SR/TR",,11,"Atkins, Billy RS JR",,14,"Barnett III, Alonza RS SO",,,,,,,
RB,7,"Adeyi, Ayo SR/TR",,6,"Pettaway, George RS SO/TR",,28,"Malary, Jobi SR/TR",,20,"Purdy, Tyler RS SR/TR",,25,"Knight, Wayne RS SO",
DEF,,,,,,,,,,,,,,,
DE,99,"O'Neill, Eric RS JR/TR",,8,"Thomas, Amar RS SO",,,,,,,,,,
NT,15,"Bush, Immanuel RS JR/TR",,97,"Fitzgerald, Chris SR/TR",,98,"Ogunade, Samson RS FR",,,,,,,
DT,90,"Lockett Jr., Terry RS JR/TR",,92,"DeNgohe, Darold RS FR",,93,"McMullin, Mychal RS FR",,44,"Cotton Jr., DJ RS FR/TR",,,,
STUD,9,"Summerall III, Lloyd RS SR/TR",,11,"Manns, Khairi RS SR/TR",,,,,,,,,,
MLB,27,"Dobbs, Jacob RS SR/TR",,1,"Scott, Raymond GR/TR",,,,,,,,,,
WLB,0,"Jones, Taurus RS SR",,5,"Hendrick, Trent JR",,17,"Weathersby, Gannon SO",,,,,,,
FCB,2,"Logan, Chauncey JR",,18,"Spivey, Evan RS FR",,36,"Ferguson, Milt FR",,30,"Eaglin, Justin RS SO",,,,
SS,6,"Williams, Ray RS SR/TR",,10,"Shearin, Chris RS SR/TR",,12,"Holmes, Kye RS JR",,,,,,,
FS,7,"Thomas, Jacob JR",,22,"Regan, Chase FR",,,,,,,,,,
BCB,3,"Spence, Terrence SR/TR",,13,"Taylor, Jordan SR/TR",,23,"Mullen, Trevell RS SO/TR",,,,,,,
NB,19,"Young, Ja'Kai RS SR/TR",,32,"Barksdale, DJ SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,48,"Hanson, Ryan RS SR/TR",,96,"VanSlyke, Andrew RS FR",,,,,,,,,,
PK,16,"Ruelas, Noe RS JR/TR",,95,"Rosa, Cristiano RS SO/TR",,93,"Lipinski, Max FR",,,,,,,
KO,16,"Ruelas, Noe RS JR/TR",,95,"Rosa, Cristiano RS SO/TR",,93,"Lipinski, Max FR",,,,,,,
LS,54,"Mowrey, Jack RS FR",,40,"Ketcham, Logan JR/TR",,,,,,,,,,
H,48,"Hanson, Ryan RS SR/TR",,96,"VanSlyke, Andrew RS FR",,,,,,,,,,
PR,2,"Mines, Jayden RS SO",,,,,,,,,,,,,
KR,32,"Barksdale, DJ SO",,6,"Pettaway, George RS SO/TR",,,,,,,,,,
