Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Kansas Jayhawks,,,,,,,,,,,,,,,
WR-X,2,"Arnold, Lawrence SR",,13,"Kubecka, Keaton RS FR",,,,,,,,,,
WR-Z,0,"Skinner, Quentin SR",,7,"Wilson, Trevor RS SR/TR",,,,,,,,,,
WR-SL,11,"Grimm, Luke SR",,5,"Emilien, Doug RS JR/TR",,,,,,,,,,
LT,75,"Clements, Calvin RS FR",,71,"Livingston, James RS FR",,,,,,,,,,
LG,54,"Ford Jr., Michael SR/TR",,55,"Simmons Jr., Darrell RS SR/TR",,,,,,,,,,
C,53,"Bumgardner, Shane RS SR/TR",,73,"Doiron, Dre RS JR/TR",,,,,,,,,,
RG,70,"Baynes, Kobe RS JR/TR",,59,"Gorczyca, Nolan RS JR/TR",,,,,,,,,,
RT,77,"Cabeldue, Bryce SR",,52,"Brown, Logan RS JR/TR",,,,,,,,,,
TE,47,"Casey, Jared SR",,18,"Hanika, DeShawn RS SR/TR",,45,"Kardell, Trevor SR",,,,,,,
QB,6,"Daniels, Jalon RS JR",,15,"Ballard, Cole RS FR",,8,"Marshall, Isaiah FR",,,,,,,
RB,4,"Neal, Devin SR",,20,"Hishaw Jr., Daniel RS JR",,28,"Morrison, Sevion RS JR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,90,"Robinson, Jereme SR",,45,"Miller, Dean RS JR/TR",,,,,,,,,,
LDT,58,"Derritt, Javier RS SR/TR",,92,"Dunn Jr., Tommy RS JR",,97,"Caldwell, Kenean RS JR",,,,,,,
RDT,52,"Withers, D.J. RS JR",,53,"Taylor, Caleb RS JR",,,,,,,,,,
RDE,13,"Brooks, Dylan RS JR/TR",,95,"Wudke, Dylan RS SR/TR",,,,,,,,,,
WLB,6,"Berryhill Jr., Taiwan SR",,28,"Brown, JB RS JR/TR",,19,"Fletcher, Tristian RS JR/TR",,,,,,,
MLB,44,"Wheeler, Cornell RS SR/TR",,32,"Downing, Dylan RS SR",,,,,,,,,,
HAWK,10,"Gilliom, Jayson RS JR",,34,"Raich, Alex RS SR/TR",,16,"Brantley, Logan RS FR",,,,,,,
LCB,2,"Bryant, Cobee SR",,24,"McGhee, Damarius RS JR/TR",,29,"Croft Jr., Jameel RS FR",,,,,,,
SS,4,"Grant, Marvin RS SR/TR",,14,"Dye, Jalen RS JR/TR",,23,"Ellis, Mason RS SO",,,,,,,
FS,5,"Burroughs, O.J. SR",,11,"Dye, Devin RS JR/TR",,27,"Davis, Taylor RS FR",,,,,,,
RCB,3,"Dotson, Mello SR",,22,"Dilworth, Brian RS SO",,47,"Davis, Jacoby RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,95,"Greaves, Damon SO",,37,"Addison, Grayden RS JR",,,,,,,,,,
PK,34,"Piepergerdes, Owen RS JR",,,,,,,,,,,,,
KO,40,"Allen, Tabor SR",,34,"Piepergerdes, Owen RS JR",,,,,,,,,,
LS,60,"Hosford, Luke RS SR",,51,"Duggar, Emory RS JR",,,,,,,,,,
H,37,"Addison, Grayden RS JR",,,,,,,,,,,,,
PR,7,"Wilson, Trevor RS SR/TR",,11,"Grimm, Luke SR",,,,,,,,,,
KR,7,"Wilson, Trevor RS SR/TR",,,,,,,,,,,,,
