Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Kent State Golden Flashes,,,,,,,,,,,,,,,
WR-X,2,"McCray, Chrishon RS SO",,80,"King, Stanley RS SR/TR",,84,"Kimbrough, Jahzae RS FR",,,,,,,
WR-Z,25,"Etheridge, Jay Jay FR",,13,"Banks, Ardell RS FR/TR",,85,"Brown, Sebastian RS SR/TR",,,,,,,
WR-SL,0,"Floriea, Luke GR",,81,"Dorsey, Dash RS FR",,82,"Harris, Wayne FR",,26,"Awolowo, J.B. GR",,,,
LT,73,"Obidegwu, Jimto RS JR/TR",,76,"Masterson, Garrett RS SO",,,,,,,,,,
LG,57,"Morell, Dustyn RS SO",,65,"Bittner, Tristen RS JR/TR",,,,,,,,,,
C,63,"Georges, Tony RS SR/TR",,75,"Page, Andrew SO",,,,,,,,,,
RG,70,"Farrell, Chris SO",,71,"Toth, Kevin GR/TR",,,,,,,,,,
RT,77,"Golden, Cameron GR/TR",,72,"Wilson, Cecil RS FR",,,,,,,,,,
TE,89,"Muldowney, Conner GR/TR",,44,"Skehan, Charlie RS SR/TR",,18,"Hopperton, Hunter JR/TR",,83,"Faulkner, Peyton RS FR",,88,"Hazime, Mohammed RS SO",
QB,15,"Kargman, Devin RS SO",,14,"Ulatowski, Tommy RS SO",,11,"Sherrod, JD RS FR/TR",,12,"DeShields, Dru RS FR",,10,"Hilding, Jett FR",
RB,3,"Thomas, Ky RS SR/TR",,5,"Garcia, Gavin JR",,24,"Douglas, Curtis RS FR",,20,"Hicks, Marques RS FR",,33,"Harris, Ayden FR",
DEF,,,,,,,,,,,,,,,
LDE,6,"Daley, Stephen RS SO",,97,"Gibson, Lavell RS SR/TR",,,,,,,,,,
NT,90,"Maddox, Mason RS JR/TR",,56,"Landry, Keenan RS JR/TR",,,,,,,,,,
DT,14,"Billotte, Oliver RS SO",,53,"Beatty, Kaden RS FR",,92,"Cordoba, Josue FR",,,,,,,
RDE,17,"Carroll, Mattheus RS JR/TR",,11,"Olds, Kameron JR/TR",,7,"Harmon, Matt GR",,,,,,,
WLB,24,"Giacolone, Nicholas GR/TR",,51,"Abuhamdeh, Sayed RS FR",,43,"Brown, Nylan FR",,,,,,,
MLB,8,"Johns, Khalib GR/TR",,45,"Woods, Mason RS JR/TR",,,,,,,,,,
SLB,4,"Nicholl, Rocco JR",,32,"Studio, Jayden FR",,10,"Williams, Canaan RS SO/TR",,,,,,,
LCB,15,"Branch, Dallas GR/TR",,23,"Muhammad, Naim GR/TR",,18,"Miller, Terrell GR",,,,,,,
SS,20,"Baka, Josh JR/TR",,27,"Folk, Malcolm RS JR/TR",,,,,,,,,,
FS,1,"Branch, Alex SR",,13,"Tucker, Tevin RS FR",,36,"Cuva, Nick RS FR",,,,,,,
RCB,21,"Cokley, X RS SR/TR",,19,"Dotson, Jaylen RS JR/TR",,12,"Boamah, Joel RS FR",,,,,,,
NB,29,"Hale, Armahn JR/TR",,,,,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,96,"Smith, Josh SR",,61,"Durkin, Charlie RS SO",,,,,,,,,,
PK,60,"Glass, Andrew SR",,47,"Hryszko, Will RS SO",,94,"Miasek, Joel RS FR",,49,"Newcomb, Tommy FR",,46,"Tager, Nathan RS FR/TR",
KO,60,"Glass, Andrew SR",,47,"Hryszko, Will RS SO",,94,"Miasek, Joel RS FR",,49,"Newcomb, Tommy FR",,46,"Tager, Nathan RS FR/TR",
LS,41,"Goodell, Gus SR",,58,"Atha, Robert FR",,,,,,,,,,
H,96,"Smith, Josh SR",,61,"Durkin, Charlie RS SO",,,,,,,,,,
PR,0,"Floriea, Luke GR",,,,,,,,,,,,,
KR,2,"McCray, Chrishon RS SO",,,,,,,,,,,,,
