Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
LSU Tigers,,,,,,,,,,,,,,,
WR-X,4,"Daniels, CJ GR/TR",,12,"Parker, Kyle RS FR",,82,"Billiot, Kylan FR",,,,,,,
WR-Z,3,"Hilton Jr., Chris RS JR",,0,"Thomas, Zavion JR/TR",,6,"Sampson Jr., Shelton RS FR",,,,,,,
WR-Y,2,"Lacy, Kyren RS SR/TR",,1,"Anderson, Aaron RS SO/TR",,17,"Watkins, Jelani FR",,,,,,,
LT,66,"Campbell, Will JR",,71,"Adams, Tyree RS FR",,,,,,,,,,
LG,72,"Dellinger, Garrett SR",,65,"Mubenga, Paul RS FR",,,,,,,,,,
C,79,"Chester, DJ RS FR",,78,"Echols, Coen FR",,,,,,,,,,
RG,70,"Frazier, Miles RS SR/TR",,76,"Stamps, Christian RS FR",,,,,,,,,,
RT,50,"Jones Jr., Emery JR",,67,"Bordelon, Bo RS SO",,,,,,,,,,
TE,86,"Taylor, Mason JR",,14,"Green, Trey'Dez FR",,88,"Pimpton, Ka'Morreun SO",,,,,,,
QB,13,"Nussmeier, Garrett RS JR",,10,"Collins, Rickie RS FR",,15,"Swann, AJ JR/TR",,16,"Hurley, Colin FR",,,,
RB,27,"Williams, Josh GR",,28,"Jackson, Kaleb SO",,22,"Emery Jr., John RS SR",,29,"Durham, Caden FR",,,,
DEF,,,,,,,,,,,,,,,
DE,35,"Jones, Sai'vion SR",,0,"Shand, Paris SR/TR",,19,"Reliford, Gabriel FR",,,,,,,
NT,99,"Paez, Gio GR/TR",,56,"Makane'ole, Kimo RS JR",,96,"McKinley, Dominick FR",,,,,,,
DT,90,"Guillory, Jacobian RS SR",,92,"Lee, Jalen SR/TR",,95,"Washington, Shone RS SO/TR",,,,,,,
JACK,13,"Swinson, Bradyn SR/TR",,16,"Womack, Da'Shawn SO",,97,"Carpenter, Dylan RS FR",,,,,,,
MLB,3,"Penn III, Greg SR",,33,"Weeks, West SR/TR",,42,"Keys, Davhon FR",,,,,,,
WLB,4,"Perkins Jr., Harold JR",,40,"Weeks, Whit SO",,46,"Singleton, Tylen FR",,,,,,,
LCB,1,"Stamps, Ashton SO",,11,"Woodland, PJ FR",,25,"Toviano, Javien SO",,14,"Alexander, Zy SR/TR",,,,
SS,6,"Allen, Jordan RS SO",,10,"Spears, Dashawn FR",,,,,,,,,,
FS,2,"Gilbert, Jardin RS JR/TR",,27,"Ausberry, Austin RS SO/TR",,22,"Rogers, Joel FR",,,,,,,
RCB,15,"Ryan, Sage RS JR",,12,"Johnson, JK RS JR/TR",,17,"Brown, Jyaire JR/TR",,21,"Turner Jr., Michael FR",,,,
STAR,8,"Burns, Major SR/TR",,23,"Jackson, Kylin RS FR",,24,"Johnson, Ju'Juan FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,38,"Todd, Peyton RS JR",,99,"Ochsendorf, Blake GR/TR",,46,"Hargett, Badger RS FR",,,,,,,
PK,34,"Ramos, Damian RS JR",,31,"Dibert, Nathan JR",,32,"Burrell, Aeron FR",,,,,,,
KO,31,"Dibert, Nathan JR",,34,"Ramos, Damian RS JR",,32,"Burrell, Aeron FR",,,,,,,
LS,44,"Roy, Slade SR/TR",,49,"Ferguson, Jonathan RS JR",,,,,,,,,,
H,38,"Todd, Peyton RS JR",,99,"Ochsendorf, Blake GR/TR",,46,"Hargett, Badger RS FR",,,,,,,
PR,0,"Thomas, Zavion JR/TR",,12,"Parker, Kyle RS FR",,19,"Nicholas, Javen RS SO",,1,"Anderson, Aaron RS SO/TR",,,,
KR,0,"Thomas, Zavion JR/TR",,12,"Parker, Kyle RS FR",,28,"Jackson, Kaleb SO",,1,"Anderson, Aaron RS SO/TR",,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
SUS,25,"Holly, Trey RS FR",,,,,,,,,,,,,
