Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Liberty Flames,,,,,,,,,,,,,,,
WR-X,5,"Canion, Elijah RS JR/TR",,8,"Mobley, Tyson RS JR/TR",,9,"Lee Jr., Donte RS SO/TR",,,,,,,
WR-Z,1,"Gray, Julian RS JR/TR",,14,"Austin, Kylen RS JR",,81,"Fortenberry, Markel RS SO",,,,,,,
WR-H,21,"Sibley, Treon RS SR",,6,"Smith, Reese RS JR/TR",,11,"Copeland, Darius RS FR",,,,,,,
LT,75,"Tucker, Jack RS JR/TR",,73,"Hall, Jordan RS SR/TR",,,,,,,,,,
LG,53,"White, Jordan RS JR/TR",,77,"Johnson, Andrew RS JR/TR",,,,,,,,,,
C,61,"Fenimore, Aaron RS FR",,51,"Geth, D.J. RS FR/TR",,,,,,,,,,
RG,76,"Flores, John Paul RS SR/TR",,55,"Hayes, Harrison RS JR",,,,,,,,,,
RT,63,"Gray, Xavior RS SR/TR",,70,"Anderson, Austin RS FR",,,,,,,,,,
TE,15,"Hanshaw, Bentley RS SR/TR",,83,"Henderson, Austin RS JR/TR",,84,"Jenkins, Jacob RS JR/TR",,,,,,,
QB,7,"Salter, Kaidon RS JR/TR",,18,"Burger, Ryan RS SO/TR",,4,"Bradford, Jayden FR",,,,,,,
RB-A,0,"Lucas, Billy SR/TR",,3,"Jointer Jr., James RS SO/TR",,2,"Venn, Victor RS SO/TR",,,,,,,
RB-B,20,"Cooley, Quinton RS SR/TR",,24,"Blue, Vaughn RS FR",,23,"Williams, Caden FR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,3,"Bush Jr., TJ SO",,49,"Carroll, Grey RS JR/TR",,27,"Williams, Brenton RS FR/TR",,,,,,,
NT,99,"Dixon, Bryce JR",,4,"Hardy, Jay RS SR/TR",,93,"Hall, Eli RS SO/TR",,,,,,,
DT,92,"Boti, Chris RS JR",,97,"Jarvis, Mike RS JR/TR",,94,"Pirolli, Nathan SO",,,,,,,
JOKER,11,"Bazile Jr., CJ JR",,17,"Jennings, Bryson RS SO/TR",,1,"Jones III, Larry SO",,,,,,,
MLB,25,"Carter, Joseph RS JR",,9,"Brown, Jahmar RS SR/TR",,33,"Vaughan, Aidan RS SO/TR",,,,,,,
WLB,6,"Jackson, Teylor SR/TR",,0,"Jolly Jr., Jerome RS SR",,30,"Crisp, Ethan RS FR/TR",,,,,,,
LCB,19,"Oliver, Alex SR/TR",,13,"Hill, Domnick SR/TR",,8,"Wiggins, Joshua RS SO/TR",,,,,,,
SS,2,"Griffin, Eldric RS JR/TR",,22,"Sweeney, Jayden RS SO",,,,,,,,,,
FS,15,"Green, Brylan JR",,31,"Bodnar, Christian RS FR",,21,"Bell, Marquis JR/TR",,,,,,,
RCB,26,"Williams, Amarian RS JR",,20,"Ricks Jr., Dexter RS SO",,5,"Hopkins, Elijah RS SO/TR",,,,,,,
STAR,16,"Reese, Quinton RS SR",,29,"Jones, A'Khori JR",,14,"Auguste, Elijah RS SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,37,"Morgan, Max RS JR",,98,"Karhu, Colin SR/TR",,,,,,,,,,
PK,42,"Brown, Nick RS JR",,98,"Karhu, Colin SR/TR",,85,"Beck, Brayden RS JR",,,,,,,
KO,37,"Morgan, Max RS JR",,98,"Karhu, Colin SR/TR",,85,"Beck, Brayden RS JR",,,,,,,
LS,45,"Wilkins, Ryan RS SR/TR",,47,"Manis, Ryan RS FR",,,,,,,,,,
H,37,"Morgan, Max RS JR",,98,"Karhu, Colin SR/TR",,,,,,,,,,
PR,15,"Green, Brylan JR",,81,"Fortenberry, Markel RS SO",,,,,,,,,,
KR,9,"Lee Jr., Donte RS SO/TR",,2,"Venn, Victor RS SO/TR",,5,"Hopkins, Elijah RS SO/TR",,,,,,,
