Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Louisiana Ragin' Cajuns,,,,,,,,,,,,,,,
WR-X,3,"Broussard, Harvey SO",,9,"LeGendre, Lance RS SR/TR",,35,"McCall, Jon RS JR/TR",,80,"Smith, Tavion SR/TR",,,,
WR-Z,15,"Williams, Robert RS JR",,13,"Robertson, Charles RS SO",,30,"Culbert, Trayv'on RS JR",,28,"Wade, KeDarius RS FR",,,,
WR-H,4,"Bernard, Jacob RS SR",,11,"Cambre, Dalen RS SR",,81,"Johnson, Jaydon RS SO",,8,"Dennis, Rahji FR",,,,
LT,64,"Williams, Bryant RS SO",,78,"Williams, Quinton RS SO/TR",,,,,,,,,,
LG,53,"Gillie, AJ RS SR",,79,"Maillho, Mackey RS JR",,,,,,,,,,
C,55,"Burton, Landon RS SR",,50,"Fordham, Cooper SO",,,,,,,,,,
RG,70,"Harrington, Jax RS JR",,75,"Moreau, Kaden RS SO",,,,,,,,,,
RT,71,"Jackson, George RS JR",,77,"McGowen, King RS SR",,,,,,,,,,
TE,0,"Carter, Terrance RS SO",,88,"Jensen, Caden RS FR",,86,"Stamey, Ty RS FR",,82,"Guidry, Rhett RS JR",,,,
QB,18,"Fields, Chandler RS SR",,10,"Wooldridge, Ben RS SR/TR",,17,"Lara, Adryan RS SO/TR",,2,"Winfield, D'Wanye' RS FR",,16,"Beale, Daniel FR",
RB,20,"Washington, Dre'lyn RS JR",,21,"Perry, Zylan RS SO",,7,"Davis, Elijah RS FR",,27,"Williams, Kendrell RS JR",,22,"Ward, Chaz RS SR/TR",
DEF,,,,,,,,,,,,,,,
DE,2,"Baylis, Antoine SR/TR",,0,"Lawson, Jordan RS JR",,97,"Williams, Lance SO",,41,"Edwards, Chase RS FR",,,,
NT,93,"Mims, Kyron RS SR/TR",,90,"Miller, Kadarius SR/TR",,99,"Wright, Ashton FR",,,,,,,
DT,9,"Narcisse, Mason SR",,68,"West Jr., Fitzgerald RS SO/TR",,95,"Baudoin IV, Maxie RS JR/TR",,,,,,,
JACK,19,"Whitfield, Cameron RS JR",,17,"Williams Jr., Ashley RS FR/TR",,31,"Fite, Trey RS SO/TR",,80,"Jones, Lester RS FR",,,,
MLB,8,"Ossai, K.C. SR",,16,"Edwards, Kailep JR",,45,"Kibodi, Caleb RS JR",,37,"Johnson, Micah RS FR",,,,
WLB,6,"Williams, Terrence RS JR",,22,"Dugger, Jaden JR/TR",,25,"Glass, Carmycah RS SO/TR",,44,"St. Andre, Jake RS SO",,,,
LCB,11,"Anderson, Caleb RS JR",,10,"Nkuba II, Shadwel RS JR/TR",,23,"Moses, Jeremiah RS FR",,,,,,,
SS,3,"Lewis Jr., Tyrone RS SR/TR",,28,"Jackson, Kody RS FR",,27,"Barnes, Key'Savalyn RS JR",,,,,,,
FS,20,"Clark, Jalen RS JR",,4,"Skipper, Tyree RS JR",,,,,,,,,,
RCB,21,"Martin, Keyon SR/TR",,26,"Agu, Justin RS JR",,24,"Dubose, Lorenzell RS SO",,,,,,,
STAR,7,"Flowers, Courtline RS JR",,13,"McDaniel, Amir RS SR",,36,"Eleam, Maurion RS SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,51,"Guilbeau, Braxton RS JR/TR",,92,"Torney, Nathan JR/TR",,50,"Guilbeau, Brayden FR",,,,,,,
PK,45,"Almendares, Kenneth RS SR",,40,"Klotz, Logan RS JR/TR",,95,"Sterner, Tony RS SO/TR",,,,,,,
KO,40,"Klotz, Logan RS JR/TR",,45,"Almendares, Kenneth RS SR",,95,"Sterner, Tony RS SO/TR",,,,,,,
LS,39,"Milliron, Carter JR",,40,"Sims, Hunter RS JR/TR",,,,,,,,,,
H,11,"Cambre, Dalen RS SR",,,,,,,,,,,,,
PR,4,"Bernard, Jacob RS SR",,15,"Williams, Robert RS JR",,,,,,,,,,
KR,21,"Perry, Zylan RS SO",,4,"Bernard, Jacob RS SR",,,,,,,,,,
