Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Louisiana Tech Bulldogs,,,,,,,,,,,,,,,
WR-X,16,"Edwards, Tru RS SR/TR",,8,"Lee, Devonta RS SR/TR",,13,"Ahmed, Shadeed GR/TR",,2,"Lewis, Solo RS JR",,,,
WR-Z,6,"Holiday, Jimmy RS SR/TR",,15,"McGaughy, Jalen RS SR/TR",,17,"Jones, Nate SR/TR",,14,"Williams, Dakota SO",,,,
WR-H,18,"Ibrahim, Abdul-Fatai RS SR/TR",,9,"Jackson, Marlion RS SO",,80,"Latulas, Dedrick SO",,,,,,,
LT,51,"Keys, Daniel SR/TR",,73,"Bannister, Kenneth RS JR",,72,"Christman, Hayden RS FR",,,,,,,
LG,79,"Hale, Bert SR",,52,"Smith III, Troy RS FR",,,,,,,,,,
C,54,"McGill, Zarian SR/TR",,55,"Nelson, Landon RS JR/TR",,,,,,,,,,
RG,75,"Gilbert, Jerren RS SR",,66,"Kennedy, Ja'Marion RS FR",,,,,,,,,,
RT,78,"Cole, Ashanti JR/TR",,67,"Canis, Brett RS JR/TR",,,,,,,,,,
TE,84,"Finley, Eli SO",,87,"Locke, John RS SO/TR",,82,"Tipton, Hunter SO/TR",,83,"Rucker, Kendrick RS SO",,44,"Franta, Collin RS FR",
QB,10,"Turner, Jack RS JR/TR",,7,"Bullock, Evan RS FR",,5,"Baker, Blake RS FR",,19,"Welch, Mason SO/TR",,,,
RB,3,"Crosby, Marquis RS JR",,4,"Davenport, Donerio SR/TR",,22,"Wiggins, Omiri SO/TR",,25,"Givens, Amani JR/TR",,,,
DEF,,,,,,,,,,,,,,,
LDE,20,"Burnett, J'Dan RS JR",,2,"Evans, Jessie SR/TR",,18,"Durham-Campbell, Ezekiel JR/TR",,40,"Okeke, Obinna RS FR",,,,
NT,96,"Nason, Zion SR/TR",,95,"Vivians, Trevell JR/TR",,48,"Bush, Kells RS SO/TR",,97,"Davis, Christian RS FR/TR",,,,
DT,90,"Blay, David RS JR/TR",,92,"Lamar, Adam JR/TR",,93,"Bradford, Jacob FR",,,,,,,
RDE,88,"Clark, Mykol GR",,7,"Gray, Jayden RS JR/TR",,41,"Pugh, Malcolm RS FR/TR",,91,"Robinson, Charlie RS FR",,,,
WLB,10,"Fields, Kolbe RS JR/TR",,37,"Harris, CJ RS SR/TR",,13,"Jones, Jamarcus RS JR/TR",,25,"Deckard, Colton RS FR",,,,
MLB,21,"Zimos, Zach RS SR/TR",,42,"Leota, Sifa RS JR/TR",,9,"Mason, Mekhi RS SO/TR",,,,,,,
LCB,4,"Shelby Jr., Jhamal RS SO",,27,"Archie, Armauni GR/TR",,24,"Myles, Jordon JR/TR",,,,,,,
SS,0,"Thompson, Blake RS SO/TR",,3,"Mcelvane, Isaiah RS SR/TR",,19,"Roberson, Roderick RS SR/TR",,14,"Hill, Cam RS FR",,,,
FS,5,"Richard, Michael SO",,1,"Morgan, Jordyn RS JR/TR",,34,"Foster, Jakari JR/TR",,6,"Blake, BJ JR/TR",,,,
RCB,11,"Woods, Cedric RS SR",,22,"Turner, Qua'veon RS JR/TR",,36,"Benson, Navarion JR/TR",,,,,,,
NB,8,"Griffin-Taylor, Demarcus RS SR/TR",,31,"Cage, Pig RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,32,"Rea, Patrick RS SO",,45,"Leavitt, Randy JR/TR",,48,"Hoyet Chance, John FR",,,,,,,
PK,15,"Buchanan, Buck JR",,43,"Henderson, Drew RS FR",,37,"Smith, Logan RS FR",,,,,,,
KO,15,"Buchanan, Buck JR",,43,"Henderson, Drew RS FR",,37,"Smith, Logan RS FR",,,,,,,
LS,50,"Pugh, Gabe RS SR/TR",,41,"Burch, Ean RS JR",,59,"Riggs, Jake FR",,,,,,,
H,32,"Rea, Patrick RS SO",,45,"Leavitt, Randy JR/TR",,48,"Hoyet Chance, John FR",,,,,,,
PR,80,"Latulas, Dedrick SO",,,,,,,,,,,,,
KR,8,"Griffin-Taylor, Demarcus RS SR/TR",,80,"Latulas, Dedrick SO",,,,,,,,,,
