Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Louisiana-Monroe Warhawks,,,,,,,,,,,,,,,
WR-X,0,"Griffin, Tyler RS SO/TR",,1,"McGruder, Amir SO/TR",,18,"McKinstry, Jaedyn RS JR/TR",,5,"Cole, Artis RS JR/TR",,,,
WR-Z,12,"Campbell, Javon JR/TR",,19,"Kimber, Justin RS JR",,84,"Wiley, Tristan RS SO/TR",,86,"Butler, Xavion RS JR/TR",,,,
WR-SL,3,"Wells, Davon SR/TR",,7,"Britt II, Marc RS SR/TR",,9,"Godfrey, Jake SO/TR",,28,"LeDent, Jaeden RS SO/TR",,,,
LT,60,"Carson, Sam SR/TR",,59,"Griffin Jr., Quentis SO/TR",,70,"Goodman Jr., John Curtis RS SO",,,,,,,
LG,58,"Fisher, Elijah RS SR",,75,"McBroom, Que SR/TR",,64,"Hutchinson, Drew RS SO",,74,"Little Jr., Thomas RS SO",,,,
C,50,"Miller, Carter RS SO/TR",,77,"Steele, Reese JR/TR",,51,"Rowe, Jaden FR",,,,,,,
RG,56,"Mickle, Jay SR/TR",,57,"Telesa III, Sam GR/TR",,52,"Galloway, Daz JR/TR",,,,,,,
RT,65,"Smith, Devon JR/TR",,71,"Williams, Chris RS JR/TR",,62,"Botley, Adameon RS SO",,,,,,,
TE,0,"McClour, Wyatt JR/TR",,88,"Nixon, Julian RS JR/TR",,6,"Campbell VI, Wesley RS SO/TR",,85,"Green, Rylan RS JR",,81,"Harrison, Quad JR/TR",
QB,2,"Herring, Hunter RS JR/TR",,14,"Booty, General RS JR/TR",,10,"Armenta, Aidan RS SO/TR",,16,"Mooney, Reese RS FR/TR",,15,"Velez, Isaiah RS SR/TR",
RB,21,"Smith, Hunter RS JR",,26,"Galloway, Bennett RS SO",,4,"Jones, James JR/TR",,8,"Curry, Taven RS SO/TR",,23,"Norman, Charlie RS SR",
DEF,,,,,,,,,,,,,,,
DE,41,"Howell, Dylan JR/TR",,92,"Smith, James RS SO",,18,"Wells, Kevontay JR/TR",,28,"Anderson, Davin JR/TR",,,,
NT,0,"Robinson, Kajuan RS SR/TR",,0,"Mosley Jr., Clifton SR/TR",,90,"Hamlin, Jaden JR/TR",,,,,,,
DT,14,"Ware, Jaylan SR/TR",,97,"Barquet Jr., Earl RS SR/TR",,91,"Ware, Amarion SO/TR",,,,,,,
BAN,6,"Hopkins, Tyrese RS JR/TR",,5,"Pullen, Billy JR/TR",,48,"Ashley, Jordan RS SR",,,,,,,
MIKE,35,"Glass Jr., Carl SR/TR",,7,"Knudsen, Daniel JR/TR",,31,"Vinson, Jalen RS JR",,10,"Holmes, Kelbee JR/TR",,,,
ROVER,25,"Foster, Jacob RS SO/TR",,0,"Shorter, Tristan RS JR/TR",,17,"Stewart, JD JR/TR",,54,"Drillette, Brett RS JR",,,,
SPUR,4,"Randle, Travor SR/TR",,38,"Gray, Markeegan RS JR",,29,"Sims, La'Garrius RS FR",,,,,,,
LCB,13,"Godsey Jr., David RS JR",,20,"Ester, Jyren RS JR/TR",,3,"Thomas, Charles RS JR/TR",,,,,,,
SS,12,"Williams Jr., Wydett JR/TR",,21,"Harris, Lynard RS FR",,23,"Saywahn, Stephen JR/TR",,24,"Burrows, Dontavius RS JR/TR",,,,
FS,19,"Onezime, Ra'shad SR/TR",,8,"Fauntroy, Carl RS SO/TR",,9,"Mack, Andre RS SR/TR",,15,"Robinson, Kristopher JR/TR",,,,
RCB,1,"Vigers, Car'lin SR/TR",,2,"Wilson, Korian RS JR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,47,"Ryan, Makenzie FR",,,,,,,,,,,,,
PK,99,"Larson, Max RS JR/TR",,43,"Stagg, Luke RS SR",,,,,,,,,,
KO,99,"Larson, Max RS JR/TR",,43,"Stagg, Luke RS SR",,,,,,,,,,
LS,48,"Wilson, Nolan RS SO/TR",,33,"Wells, Andrew RS SR",,,,,,,,,,
H,47,"Ryan, Makenzie FR",,,,,,,,,,,,,
PR,3,"Wells, Davon SR/TR",,,,,,,,,,,,,
KR,3,"Wells, Davon SR/TR",,21,"Smith, Hunter RS JR",,,,,,,,,,
