Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Louisville Cardinals,,,,,,,,,,,,,,,
WR-X,1,"Brooks, Ja'Corey RS JR/TR",,2,"Thompson, Jadon SR/TR",,80,"Stone, JoJo FR",,,,,,,
WR-Z,0,"Bell, Chris JR",,7,"Calloway, Jimmy RS JR/TR",,86,"Meeks, Antonio JR/TR",,89,"Boykins, Shaun FR",,,,
WR-SL,81,"Hicks, Cataurus RS FR",,82,"McClain, Jahlil RS FR",,47,"King, Jaedon RS FR",,,,,,,
LT,71,"Mills, Monroe RS SR/TR",,70,"Sylvester, Trevonte RS JR/TR",,79,"Gueye, Makhete RS SO",,52,"Johnson, Fred FR",,,,
LG,68,"Gonzalez, Michael SR",,53,"Robinson, Lance GR/TR",,78,"Crocker, Joe RS FR",,,,,,,
C,50,"Nygra, Pete RS JR/TR",,59,"Cutler, Victor GR/TR",,,,,,,,,,
RG,56,"Brown, Renato RS SR",,51,"Collins, Austin RS JR",,73,"Sanker, Madden RS FR",,,,,,,
RT,76,"Mendoza, Jonathan GR/TR",,60,"Miller, Rasheed RS SR/TR",,77,"McDermott, Ransom FR",,55,"Williams III, Jimmy FR",,,,
TE,83,"Redman, Mark GR/TR",,88,"Skinner, Jaleel RS SO/TR",,11,"Johnson, Jamari RS FR",,85,"Kurisky, Nate JR",,84,"Cummings, Izayah RS SR/TR",
QB,9,"Shough, Tyler GR/TR",,10,"Clarkson, Pierce RS FR",,15,"Bailey, Harrison RS SR/TR",,12,"Allen, Brady RS SO/TR",,13,"Adams, Deuce FR",
RB,21,"Chaney, Donald RS JR/TR",,4,"Turner, Maurice JR",,22,"Brown, Keyjuan RS FR",,25,"Brown, Isaac FR",,26,"Watson, Duke FR",
FB,45,"Martin, Duane SR",,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,9,"Gillotte, Ashton SR",,41,"Puryear, Ramon RS SR",,98,"Green, Adonijah RS FR",,92,"Carter, Micah RS FR",,,,
NT,50,"Griffith, Thor GR/TR",,93,"Dawson, Jared RS JR",,44,"Brown, Selah JR",,55,"Spencer, William RS FR",,,,
DT,99,"Tell, Dezmond SR",,94,"Guerad, Jordan RS SR/TR",,90,"Konga, Rene GR/TR",,52,"Clements, Saadiq RS FR",,,,
LEO,33,"Jernigan, Myles GR/TR",,19,"Logan, Tramel SR/TR",,91,"Kinley, Richard GR/TR",,97,"Davis, Maurice FR",,58,"Porter, Xavier FR",
WLB,6,"Clark, Stanquan SO",,32,"Davis, Jurriente RS SR/TR",,18,"Capers, T.J. RS FR",,,,,,,
MLB,34,"Quinn, TJ RS JR",,15,"Foster Jr., Dan RS SR/TR",,43,"Carter, Trent FR",,,,,,,
STAR,10,"Perry, Benjamin RS JR",,35,"Watts, Antonio JR",,,,,,,,,,
LCB,3,"Riley, Quincy RS SR/TR",,23,"Nicholson, Tahveon RS SR/TR",,13,"Williams, Aaron RS FR",,,,,,,
SS,27,"Neal, Devin SR/TR",,21,"Hutchinson, D'Angelo JR",,28,"McCullough, Daeh RS FR/TR",,,,,,,
FS,26,"Griffin, M.J. RS SR/TR",,12,"McDonald, Tamarion SR/TR",,29,"Ruffin, Blake RS JR/TR",,31,"Hatch, Jathan FR",,,,
RCB,14,"Thornton, Corey SR/TR",,20,"Holloway, Tayon RS SO/TR",,30,"Mosby, Rae'mon FR",,33,"Minkins, Jaden RS FR",,,,
ST,,,,,,,,,,,,,,,
PT,93,"Hodges, Brady SR",,39,"Schwartz, Carter RS FR",,90,"Winkenhofer, Adam FR",,,,,,,
PK,38,"Travelstead, Brock SR",,98,"Keller, Nick RS SO",,37,"Vinatieri, A.J. RS SO/TR",,36,"Ranvier, Cooper FR",,,,
KO,38,"Travelstead, Brock SR",,98,"Keller, Nick RS SO",,37,"Vinatieri, A.J. RS SO/TR",,36,"Ranvier, Cooper FR",,,,
LS,48,"Kochav, Shai RS JR/TR",,32,"Travelstead, Hayden RS FR",,,,,,,,,,
H,93,"Hodges, Brady SR",,39,"Schwartz, Carter RS FR",,90,"Winkenhofer, Adam FR",,,,,,,
PR,3,"Riley, Quincy RS SR/TR",,,,,,,,,,,,,
KR,4,"Turner, Maurice JR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,95,"Reiger, Mason SR",,5,"Lacy, Caullin SR/TR",,,,,,,,,,
