Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Marshall Thundering Herd,,,,,,,,,,,,,,,
WR-X,4,"Harris, DeMarcus SR/TR",,16,"Fitzpatrick, Christian RS SR/TR",,,,,,,,,,
WR-Z,7,"Chester, Carl SR/TR",,8,"Brown, Bralon RS JR/TR",,3,"Robinson, Bryan RS JR/TR",,,,,,,
WR-A,9,"Metcalf, Elijah RS JR/TR",,2,"Chapman, Tychaun RS SO/TR",,10,"Montgomery, Chuck RS JR",,,,,,,
LT,52,"Ellis, Elijah RS SR/TR",,76,"Montgomery, Tariq RS SO",,,,,,,,,,
LG,70,"Slappy, Jalen RS SO",,57,"Meeks, Eric RS SO",,,,,,,,,,
C,65,"Osburn, Logan RS SR",,,,,,,,,,,,,
RG,55,"Ramsey, Bryce RS SR/TR",,56,"Nicely, Cedrick RS JR/TR",,,,,,,,,,
RT,74,"Jones, Jeremy SR/TR",,60,"Adams, Shunmarkus JR/TR",,,,,,,,,,
TE,87,"Conley, Cade RS JR/TR",,80,"Holmes, Justin JR/TR",,81,"Payne, Toby RS SO",,86,"Steinfeldt, Aidan FR",,85,"Stephens, Tracy RS FR",
QB,1,"Braxton, Braylon RS JR/TR",,12,"Pennington, Cole RS SO",,13,"Parachek, Colin RS SO/TR",,14,"Long, JacQai FR",,,,
RB,6,"Houston, Jordan RS SR/TR",,28,"Payne, Ethan SR",,5,"Turner, A.J. RS SO",,44,"Roberts, Antwan RS SO/TR",,26,"Jackson, Siddiq SR/TR",
DEF,,,,,,,,,,,,,,,
LDE,15,"Green, Mike RS SO/TR",,55,"Hawkins, J.J. RS JR/TR",,24,"Clayton, Jacarius RS SO/TR",,,,,,,
LDT,99,"Gibson Sr., Isaiah RS SR/TR",,7,"Thomas Jr., Chris RS JR/TR",,90,"Thompson, Ra'Quan SR/TR",,18,"Agunloye, Su RS SO/TR",,,,
RDT,5,"Leggs, TyQaze RS SR/TR",,12,"Shuford, Jason SR/TR",,13,"Okolo, Jude RS SR/TR",,94,"Davis, Dylan RS JR/TR",,,,
RDE,93,"Ishmael, Jabari RS JR/TR",,33,"Harris, Deeve RS SR/TR",,58,"Ward, Braydin RS FR",,,,,,,
WLB,9,"Watson, Landyn RS JR/TR",,30,"Yates, Jaden SO",,17,"Hart Jr., Leon RS SO",,,,,,,
MLB,25,"Anderson, J'Coryan RS SR",,21,"Heflin, Ashton RS FR/TR",,8,"Beard III, Monroe JR/TR",,,,,,,
LCB,3,"Ibraheem, Ishmael RS SO/TR",,16,"Johnson, Isaiah RS JR/TR",,40,"Richard Jr., Anthony RS JR/TR",,,,,,,
SS,6,"McGhee, AG JR",,2,"Smith, Daytione RS JR",,,,,,,,,,
FS,11,"Roberts, J.J. RS SR/TR",,39,"Cuevas-Gillis, Ajani RS JR/TR",,0,"Foster, Ian RS FR",,,,,,,
RCB,10,"Henderson, Jacobie RS SO",,41,"Foster, Ahmere SO",,35,"Reagan, Jordan RS SR/TR",,,,,,,
NB,1,"Moten, Josh JR/TR",,14,"Stepney, DJ RS JR/TR",,4,"Green-McKnight, Jadarius RS JR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,98,"Clark, Alec RS FR",,,,,,,,,,,,,
PK,90,"Verhoff, Rece JR",,93,"Totten, Nathan RS FR",,33,"Holt, Will SO/TR",,,,,,,
KO,90,"Verhoff, Rece JR",,93,"Totten, Nathan RS FR",,33,"Holt, Will SO/TR",,,,,,,
LS,48,"Davis, Cade RS JR/TR",,47,"Bosset, Matthew RS SO",,,,,,,,,,
H,98,"Clark, Alec RS FR",,,,,,,,,,,,,
PR,5,"Turner, A.J. RS SO",,,,,,,,,,,,,
KR,28,"Payne, Ethan SR",,5,"Turner, A.J. RS SO",,,,,,,,,,
