Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Massachusetts Minutemen,,,,,,,,,,,,,,,
WR-X,7,"Ladson Jr., Frank GR/TR",,2,"Gibson, Jacquon RS SO/TR",,12,"Staruch, Sam RS JR/TR",,,,,,,
WR-Z,1,"Simpson, Anthony SR/TR",,11,"Keeney-James, Jakobie GR/TR",,17,"Elliott, Dallas RS SO",,,,,,,
WR-A,4,"Galban, Sterling GR/TR",,6,"Brown, Keshawn RS JR/TR",,10,"Harding, T.Y. RS SO",,,,,,,
LT,63,"Rohme, Brayden GR/TR",,65,"Painton, Luke GR/TR",,,,,,,,,,
LG,54,"Glynn II, Mao RS JR/TR",,66,"Terlaak, Wyatt RS JR/TR",,,,,,,,,,
C,60,"Atwood, Josh SR",,,,,,,,,,,,,
RG,55,"Roy Jr., Benjamin RS JR/TR",,57,"Tchio, Paul RS JR/TR",,,,,,,,,,
RT,72,"Mottinger, Ethan SR",,77,"King, Jaxon JR/TR",,79,"Mosesso, Ryan RS JR",,,,,,,
TE,81,"Mazotti, Dominick GR/TR",,0,"Lay, Jaelyn GR/TR",,87,"Anderson, Owen RS SO/TR",,16,"Staples, Noah RS JR/TR",,,,
QB,3,"Phommachanh, Taisun RS SR/TR",,5,"Haston, Ahmad RS FR",,9,"Jankowski, Ryan RS JR/TR",,8,"Hairston, AJ FR",,,,
RB,23,"Campbell, Brandon RS JR/TR",,33,"Hester, CJ SO/TR",,21,"John, Jalen RS JR/TR",,32,"Paradis, Jackson RS SO/TR",,30,"Desiderio, Cookie RS FR/TR",
DEF,,,,,,,,,,,,,,,
DE,19,"Reuben, Etinosa GR/TR",,18,"Julien, Louce RS JR",,,,,,,,,,
NT,44,"Beckwith, Aaron RS JR",,49,"Jackson, Shambre RS JR/TR",,,,,,,,,,
DT,10,"Grant-Randall, Tim GR/TR",,88,"McElroy, Brandon RS JR/TR",,,,,,,,,,
ANCHO,13,"Hudson, Jaylen GR/TR",,10,"Igwenagu, Zukudo RS SR/TR",,50,"Robinson, Aquan RS JR",,,,,,,
WLB,22,"Johnson, Gerrell SR",,9,"Turner, Myles RS JR",,,,,,,,,,
MLB,23,"Stewart, Jalen SR/TR",,15,"Craig, Derrieon JR",,,,,,,,,,
SLB,5,"Martin, Tyler RS SO/TR",,40,"Schofield, Dominic RS JR",,30,"Dyson, Donovan RS FR",,,,,,,
VIPER,0,"Harrell, Jalen RS JR/TR",,16,"Gibbs, Jadrian RS FR/TR",,17,"LeBrun, Christian RS FR",,37,"Burton, John RS SR/TR",,,,
LCB,1,"Jiles, Arsheen GR/TR",,8,"Watkins, Jashon GR/TR",,14,"Barnes, Ryan RS JR/TR",,,,,,,
SS,21,"Powell, Te'Rai SR",,6,"McGill, Jeremiah RS SO",,,,,,,,,,
FS,4,"Rudolph, Tyler RS SR/TR",,3,"Ortiz, Steven RS JR/TR",,,,,,,,,,
RCB,2,"Rutherford, Isaiah RS SR/TR",,7,"Ellis, Lake GR/TR",,28,"Cameron, Jerrod RS SO/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,95,"Kolodziey, CJ SR",,,,,,,,,,,,,
PK,98,"Moore, Riley RS JR/TR",,96,"Cooper, Michael RS FR",,94,"Abbe, Bennett RS SO",,,,,,,
KO,95,"Kolodziey, CJ SR",,98,"Moore, Riley RS JR/TR",,,,,,,,,,
LS,48,"Marx, Jackson GR/TR",,39,"Horton, James FR",,,,,,,,,,
H,95,"Kolodziey, CJ SR",,,,,,,,,,,,,
PR,4,"Galban, Sterling GR/TR",,1,"Simpson, Anthony SR/TR",,,,,,,,,,
KR,6,"Brown, Keshawn RS JR/TR",,,,,,,,,,,,,
