Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Memphis Tigers,,,,,,,,,,,,,,,
WR-X,3,"Taylor, Roc SR",,4,"Shorter, Jyaire RS SR/TR",,11,"Henry, Keonde FR",,,,,,,
WR-Z,10,"Drake, Koby RS SR",,1,"Banks, Ja'Koby SO/TR",,19,"Hawkins, Jamari RS SO",,,,,,,
WR-SL,0,"Blankumsee, Demeer RS SR/TR",,6,"Bussey, Marcello SR/TR",,36,"Williams, Markese FR",,,,,,,
LT,52,"Nichols, Jaylen GR/TR",,61,"Adams, Chris RS JR/TR",,75,"Montgomery, Cullen RS JR/TR",,,,,,,
LG,71,"Hill, Xavier RS JR/TR",,66,"McMillan, Calvin RS JR/TR",,79,"Marmino, Tim RS SR",,,,,,,
C,65,"Gambill, Jonah RS SR",,78,"Gildehaus, Mitchell RS SR",,74,"McKenzie, Kyndall RS SO",,,,,,,
RG,54,"Holler, Trent RS SR/TR",,72,"Breland, Malachi RS FR",,77,"Peterson, Parker RS FR",,,,,,,
RT,70,"Lewis, Keydrell SR/TR",,68,"Young, Jonathan JR/TR",,56,"Pascal, Cameron JR/TR",,,,,,,
TE,82,"Landphere, Anthony RS SR/TR",,86,"Doyle, Brendan RS JR/TR",,33,"Chislom, Jamauri RS JR/TR",,85,"Ross, Christian RS FR",,45,"Martin, Andrew RS FR",
QB,9,"Henigan, Seth SR",,16,"Cunningham, Cade RS JR/TR",,14,"Boyd, Harris RS FR",,7,"Maiden, Arrington FR",,17,"Dean, Matt RS FR",
RB,2,"Anderson Jr., Mario SR/TR",,22,"Thomas, Brandon RS SR",,5,"Smith, Sutton JR",,13,"Desrosiers Jr., Greg RS JR/TR",,21,"Bodiford, Makari FR",
DEF,,,,,,,,,,,,,,,
DE,12,"Hamilton, Cormontae RS SR/TR",,92,"Alobwede, Vic SR/TR",,14,"Grimes II, Reggie RS JR/TR",,,,,,,
NT,50,"Lucas Jr., Patrick RS SR/TR",,40,"Spears, Keveion'ta RS JR/TR",,51,"White, Joshua RS SO",,35,"Cole, Mond JR/TR",,,,
DT,93,"Baldwin, Devin RS SR/TR",,6,"Hunter Jr., Derick RS SR/TR",,55,"Jones, Adarious RS SR/TR",,91,"Brown, Jorhdan RS SO",,,,
BUCK,8,"Denis, Javon GR/TR",,94,"Whitlow Jr., William RS JR",,26,"Odom, AJ RS SO",,,,,,,
WLB,11,"Martin, Chandler RS JR/TR",,18,"Dansby, Rodney SR/TR",,45,"Karhu, Brett JR/TR",,,,,,,
MLB,32,"Mackey, Javante RS SO/TR",,49,"Hudson, Matt SR/TR",,44,"Edmondson, Bryce RS JR",,,,,,,
SLB,31,"Herring, Elijah JR/TR",,48,"Flaker, Jayden JR/TR",,33,"Minor Jr., Darryl RS JR/TR",,,,,,,
LCB,1,"Ross, Davion RS SR/TR",,2,"Barnett, Julian RS SR/TR",,29,"Denis, Jaidyn SR/TR",,,,,,,
SS,0,"Marsh, Kourtlan SR/TR",,16,"Grier, Jordan SR/TR",,,,,,,,,,
FS,24,"Rubin, Greg SR",,10,"Watts, AJ SR/TR",,21,"Israel, Samson JR/TR",,,,,,,
RCB,7,"Minor, Kobee SR/TR",,5,"Bell, DJ RS SO",,3,"Taylor, Tyrin SR/TR",,,,,,,
STAR,4,"Coffey, An'Darius RS SR",,15,"Miller, Cameron RS SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,13,"Sloan, Joshua SR/TR",,46,"Gillis, Tanner RS SR/TR",,35,"Sullins, Spencer FR",,,,,,,
PK,43,"Costa, Caden SR/TR",,46,"Gillis, Tanner RS SR/TR",,25,"Vandenberg, Tristian RS SR/TR",,47,"Carter, Landon RS FR",,32,"Castaneda, Oliver FR",
KO,46,"Gillis, Tanner RS SR/TR",,43,"Costa, Caden SR/TR",,25,"Vandenberg, Tristian RS SR/TR",,47,"Carter, Landon RS FR",,32,"Castaneda, Oliver FR",
LS,42,"Cox, Colby SR/TR",,38,"Stewart, William RS SR/TR",,40,"Zarut, Jonathan FR",,,,,,,
H,13,"Sloan, Joshua SR/TR",,46,"Gillis, Tanner RS SR/TR",,35,"Sullins, Spencer FR",,,,,,,
PR,10,"Drake, Koby RS SR",,0,"Blankumsee, Demeer RS SR/TR",,,,,,,,,,
KR,5,"Smith, Sutton JR",,33,"Chislom, Jamauri RS JR/TR",,,,,,,,,,
