Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Miami (Ohio) RedHawks,,,,,,,,,,,,,,,
WR-X,1,"Johnson, Andre RS SR/TR",,84,"Weaver, Cole RS FR",,36,"Izzard, Jackson RS JR",,,,,,,
WR-Z,11,"Tracy, Javon RS SO",,14,"Virgil, Reggie JR",,83,"Sims, Ryan RS FR",,,,,,,
WR-SL,15,"McDonald, Cade RS SR/TR",,0,"Perry, Kamryn RS SO/TR",,,,,,,,,,
LT,70,"Jados, Will RS JR",,51,"Smith, Eric RS SO",,61,"Lowry, Andrew RS FR",,,,,,,
LG,71,"Young, John SR/TR",,73,"Lawhorn Moore, Brandon RS SO",,,,,,,,,,
OC,64,"Borders, Kolby SR",,77,"Nank, Charlie RS JR",,,,,,,,,,
RG,76,"Rohrs, Gavin RS SO",,69,"White, Marcus RS JR",,,,,,,,,,
RT,56,"Holskey, Reid RS SR",,78,"Terrill, Drew RS SO",,75,"Decker, Ben RS FR",,,,,,,
TE,85,"Daniel, Preston RS SR/TR",,4,"Briggs, Connor RS JR/TR",,88,"Muersch, Nate SR",,,,,,,
QB,5,"Gabbert, Brett RS SR",,12,"Hesson, Henry RS JR",,18,"Kopp, Maddox RS JR/TR",,,,,,,
RB,9,"Tracy, Kenny SR",,2,"Downing, Dylan RS SR/TR",,3,"Mozee, Keyon SR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,11,"Suttle, Corey RS SR/TR",,94,"Lukusa, Josh RS SO",,62,"Neu, Logan RS SO",,,,,,,
LDT,52,"Washington, Nasir RS JR",,55,"Clark, Malachi RS SO",,92,"Andrews III, Roosevelt RS FR",,,,,,,
RDT,96,"Hilton, Kobe RS SR",,95,"Norris, Dalton RS JR",,,,,,,,,,
RDE,8,"Ugwu, Brian RS SR/TR",,20,"Trick, Adam RS SO",,33,"Kuwatch, Jackson RS JR/TR",,,,,,,
WLB,15,"Salopek, Matt RS SR",,23,"McWood, Oscar RS JR",,43,"Lyons, Grant RS SO",,,,,,,
MLB,10,"Wise, Ty SR/TR",,12,"Hondru, Corban RS JR",,25,"McCain, Malcolm RS FR",,,,,,,
LCB,24,"Yharbrough, Mychal SO",,3,"Hardrick, William RS JR/TR",,,,,,,,,,
SS,16,"Blakey, Eli RS JR",,,,,,,,,,,,,
FS,19,"Caldwell, Ambe' SR",,,,,,,,,,,,,
RCB,13,"Strader, Raion SO",,,,,,,,,,,,,
NB,29,"Walters, Silas RS JR",,1,"Johnson, Devin RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,35,"Bevelhimer, Alec SR",,31,"Dzioban, Dom RS JR",,,,,,,,,,
PK,31,"Dzioban, Dom RS JR",,38,"McLaughlin, Kellan RS FR",,,,,,,,,,
KO,38,"McLaughlin, Kellan RS FR",,31,"Dzioban, Dom RS JR",,,,,,,,,,
LS,59,"Powell, Hudson RS SO",,45,"Walker, Nick RS JR",,,,,,,,,,
H,35,"Bevelhimer, Alec SR",,,,,,,,,,,,,
PR,15,"McDonald, Cade RS SR/TR",,,,,,,,,,,,,
KR,2,"Downing, Dylan RS SR/TR",,9,"Tracy, Kenny SR",,3,"Mozee, Keyon SR/TR",,,,,,,
