Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Mississippi State Bulldogs,,,,,,,,,,,,,,,
WR-X,6,"Mosley, Jordan RS JR/TR",,14,"Hudson, Trent JR/TR",,81,"Harmon, Antonio RS JR",,,,,,,
WR-Z,1,"Akharaiyi, Kelly RS SR/TR",,5,"Burnside, Braylon FR",,11,"Walley, Jaden SR",,,,,,,
WR-H,3,"Coleman, Kevin JR/TR",,8,"Whittemore, Creed SO",,7,"Craver, Mario FR",,,,,,,
LT,66,"Pounders, Makylan RS JR/TR",,74,"Lewis Jr., Jimothy FR",,,,,,,,,,
LG,77,"Martinez, Marlon SR/TR",,75,"Jackson, Jacoby RS JR/TR",,79,"LaHue, Jakson RS SO",,,,,,,
C,67,"Miner, Ethan RS SR/TR",,72,"Boone, Canon RS JR",,56,"Davis, Wesley RS SO",,,,,,,
RG,76,"Reese IV, Albert RS JR",,52,"Jackson, Grant RS SR",,,,,,,,,,
RT,55,"Bell, Leon SR/TR",,78,"Smith, Amari RS FR",,,,,,,,,,
TE,18,"Traore, Seydou SR/TR",,84,"Ball, Justin RS SR/TR",,10,"Ball, Cameron RS SO/TR",,,,,,,
QB,2,"Shapen, Blake RS SR/TR",,16,"Parson, Chris RS FR",,0,"Van Buren Jr., Michael FR",,,,,,,
RB,21,"Booth, Davon SR/TR",,25,"Pittman, Jeffery SR/TR",,24,"Lee, Keyvone RS SR/TR",,20,"Daniels, Johnnie JR/TR",,,,
DEF,,,,,,,,,,,,,,,
DE,9,"Russell, De'Monte RS SR",,91,"Anderson, Deonte RS JR",,,,,,,,,,
NT,22,"Bingley-Jones, Kedrick RS JR/TR",,35,"Dinkins, Kalvin RS SO",,92,"Taylor, Eric RS SR/TR",,,,,,,
DT,23,"Williams, Trevion RS SO",,8,"Kpaka, Sulaiman RS SR/TR",,,,,,,,,,
JACK,36,"Russell, Donterry RS SO",,11,"Cooper, Ty RS JR",,,,,,,,,,
WLB,7,"Blanton, Stone JR/TR",,31,"Gilmore, Javae RS SO",,16,"Tillman, Zakari RS FR",,,,,,,
MLB,5,"Lewis, John RS JR",,40,"Mitchell, Nic RS JR",,50,"Hinton, TB RS FR",,,,,,,
SLB,26,"Purvis, JP RS SR",,44,"Jennings, Branden RS JR/TR",,30,"Ross, Marcus JR/TR",,,,,,,
LCB,6,"Wright, Traveon RS FR/TR",,14,"Pollock, Brice SO",,18,"Rogers, Khamauri RS SO/TR",,,,,,,
SS,2,"Smith, Isaac SO",,27,"Keys Jr., Chris RS SR/TR",,12,"Woodard, Tyler JR/TR",,,,,,,
FS,10,"Ellington, Corey SR",,17,"Morant, Jordan RS SR/TR",,,,,,,,,,
RCB,20,"Miller, Montre RS SR/TR",,1,"Jones, Kelley RS FR",,13,"Jones, Raydarious RS SR/TR",,,,,,,
NB,3,"Lanier, Brylan RS JR/TR",,21,"Washington, Hunter RS JR/TR",,15,"Albert, Kobi JR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,83,"Haynes, Zach SR/TR",,88,"Pulliam, Ethan FR",,,,,,,,,,
PK,80,"Ferrie, Kyle SO",,82,"Barr-Mira, Nick RS SR/TR",,,,,,,,,,
KO,82,"Barr-Mira, Nick RS SR/TR",,49,"Hauck, Marlon RS SO/TR",,,,,,,,,,
LS,43,"Hammond, Hayes RS SR",,89,"Beard, Luke RS FR",,48,"Ingram, Charlie FR",,,,,,,
H,83,"Haynes, Zach SR/TR",,88,"Pulliam, Ethan FR",,,,,,,,,,
PR,3,"Coleman, Kevin JR/TR",,11,"Walley, Jaden SR",,,,,,,,,,
KR,25,"Pittman, Jeffery SR/TR",,6,"Mosley, Jordan RS JR/TR",,,,,,,,,,
