Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Missouri Tigers,,,,,,,,,,,,,,,
WR-X,1,"Wease Jr., Theo RS SR/TR",,2,"Johnson, Marquis SO",,7,"Crutchfield, Courtney FR",,,,,,,
WR-Z,5,"Cooper, Mookie RS SR/TR",,0,"Manning, Joshua SO",,4,"Madison II, James FR",,,,,,,
WR-H,3,"Burden III, Luther JR",,10,"Miller, Mekhi JR",,16,"Blood, Daniel SO",,,,,,,
LT,52,"Bryant, Marcus GR/TR",,76,"Richardson, Jayven SO/TR",,78,"Solis, Brandon RS FR",,,,,,,
LG,70,"Green, Cayden SO/TR",,66,"Reichert, Logan RS FR",,,,,,,,,,
C,55,"Tollison, Connor RS JR",,69,"Heismeyer, Drake RS SR",,73,"Wilson, Tristan RS SO",,,,,,,
RG,74,"Johnson, Cam'Ron RS SR/TR",,77,"Peagler, Curtis RS SO",,,,,,,,,,
RT,79,"Membou, Armand JR",,75,"Walters, Mitchell RS SR",,,,,,,,,,
TE,87,"Norfleet, Brett SO",,80,"Stephens, Tyler SR/TR",,86,"Harris, Jordon SO",,89,"James, Jude FR",,85,"Hafer, Whit FR",
QB,12,"Cook, Brady RS SR",,6,"Pyne, Drew RS JR/TR",,16,"Blood, Daniel SO",,13,"Glover, Aidan FR",,,,
RB,9,"Carroll, Marcus SR/TR",,8,"Noel, Nate SR/TR",,20,"Roberts, Jamal RS FR",,22,"Jones, Tavorus RS SO",,11,"Lacy, Kewan FR",
DEF,,,,,,,,,,,,,,,
DE,9,"Young, Zion JR/TR",,97,"Kelly Jr., Eddie JR/TR",,6,"Nwaneri, Williams FR",,,,,,,
NT,5,"Williams, Kristian RS SR/TR",,33,"Gracial, Marquis RS SO",,94,"Williams, Sam RS FR",,,,,,,
DT,7,"McClellan, Chris JR/TR",,10,"Webb, Sterling JR/TR",,95,"Marshall, Jalen RS SO",,,,,,,
JOKER,15,"Walker Jr., Johnny RS SR",,45,"Moore, Joe RS SR/TR",,52,"Lang, Jahkai RS FR",,,,,,,
MLB,30,"Hicks, Chuck RS SR/TR",,11,"Flagg, Corey SR/TR",,38,"Beasley, Jeremiah FR",,17,"Huff, Brian FR",,,,
WLB,14,"Newson, Triston SR/TR",,29,"Jacobs, Khalil JR/TR",,16,"Littlejohn, Brayshawn RS FR",,20,"Rodriguez, Nicholas FR",,,,
LCB,2,"Pride Jr., Toriano JR/TR",,24,"Deloach Jr., Nicholas RS FR",,26,"McNeil, Shamar RS FR",,,,,,,
SS,1,"Burks Jr., Marvin SO",,36,"Flagg, Caleb JR/TR",,0,"Roche, Phillip SO",,,,,,,
FS,28,"Charleston, Joseph RS SR/TR",,4,"Johnson, Tre'Vez SR/TR",,21,"Greco, Trajen FR",,,,,,,
RCB,12,"Norwood, Dreyden RS JR/TR",,8,"Clarke, Marcus SR/TR",,25,"Wayne, Ja'Marion RS SO",,,,,,,
STAR,13,"Carnell, Daylan RS JR",,3,"Williams, Sidney RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,93,"Bauer, Luke RS SR",,97,"Phillips, Orion SO/TR",,,,,,,,,,
PK,19,"Craig, Blake SO",,96,"Quadrini, Nick RS SO",,94,"Safris, Will FR",,,,,,,
KO,19,"Craig, Blake SO",,96,"Quadrini, Nick RS SO",,94,"Safris, Will FR",,,,,,,
LS,59,"Flint, Trey GR/TR",,49,"Le Blanc, Brett SO",,57,"Kautz, Jack RS SO",,,,,,,
H,93,"Bauer, Luke RS SR",,97,"Phillips, Orion SO/TR",,,,,,,,,,
PR,3,"Burden III, Luther JR",,2,"Johnson, Marquis SO",,,,,,,,,,
KR,2,"Johnson, Marquis SO",,1,"Burks Jr., Marvin SO",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,21,"Horn, Sam RS SO",,19,"Smith, Darris JR/TR",,,,,,,,,,
