Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Navy Midshipmen,,,,,,,,,,,,,,,
WR-X,82,"Kent, Nathan JR",,0,"Myers, Kroy SR",,84,"Velez, Regis SR/TR",,,,,,,
LT,68,"McMahon, Connor SR",,73,"Whitehouse, Michael SR",,74,"Hooper, Caden SO",,,,,,,
LG,64,"Purvis, Ben JR",,72,"Crawford, Greyson JR",,63,"Reemts, Michael SO",,,,,,,
C,65,"Self, Brent SR",,79,"Smith II, Hoke SO",,75,"Davis, JaBrian SO",,,,,,,
RG,62,"Bouton, Javan SR",,69,"Nichols, Cam SO",,60,"Simms, Zarian SO",,,,,,,
RT,66,"Cummings, Trey SR",,67,"Foulger, Creedyn SR",,76,"Molden, Luke JR",,,,,,,
TE,88,"Scully, Thomas SR",,83,"Howard, Cody JR",,96,"Norris, Jake SO",,,,,,,
QB,11,"Horvath, Blake JR",,5,"Woodson, Braxton SO",,,,,,,,,,
SB-A,24,"Chatman, Brandon JR",,25,"Bryant, Isaiah SO",,28,"Hassan, Amin SR",,,,,,,
SB-Z,22,"Heidenreich, Eli JR",,20,"Hodges, TK SO",,29,"Leonard, Gage SO",,,,,,,
FB,46,"Tecza, Alex JR",,45,"Fofana, Daba SR",,42,"Ingle, William SO",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,94,"Reed, Justin SR",,91,"LaFond, Chreign JR",,70,"Ozurumba, Ikenna SO",,,,,,,
NT,96,"Robinson, Landon JR",,95,"Willis, Griffen SO",,92,"McCalop, Alex SO",,,,,,,
DT,98,"Whiteside, Kendall JR",,99,"Narayan, Tyler JR",,97,"Reyes, Matt SO",,,,,,,
RAID,35,"Pirris, Luke JR",,33,"Sanders, Jordan SR",,57,"Spelios, Dylan JR",,,,,,,
MLB,39,"Grant, Job SO",,43,"Jacob, Kyle SR",,58,"Cauley, Coleman SO",,,,,,,
WLB,44,"Ramos, Colin SR",,59,"Oatsvall, Elijah JR",,52,"McCamy, Nolan SO",,,,,,,
STRIK,14,"Campbell, Jaxson JR",,0,"McShan, Kenneth JR",,21,"McLean, JaSean SO",,,,,,,
FCB,13,"Duhart, Andrew JR",,3,"Oniha, Ira SO",,10,"Heathington, Arnel SO",,,,,,,
BAN,7,"Williams Jr., Mbiti SR",,26,"Abraham, Kush'i SO",,2,"Lessane, Conner SO",,,,,,,
FS,18,"Lane III, Rayuan SR",,29,"Sessi, Giuseppe SO",,4,"Walker II, Adam JR",,,,,,,
BCB,1,"Peele, Dashaun SR",,8,"Johnson II, Greg SO",,28,"Allen, Bryce SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,90,"Riethman, Riley SR",,15,"Grave de Peralta, Kellen SR",,,,,,,,,,
PK,17,"Kirkwood, Nathan JR",,99,"Gossett, Lance SO",,,,,,,,,,
KO,17,"Kirkwood, Nathan JR",,99,"Gossett, Lance SO",,,,,,,,,,
LS,92,"Fry, Rayne SO",,45,"Wine, Brady JR",,,,,,,,,,
H,90,"Riethman, Riley SR",,15,"Grave de Peralta, Kellen SR",,,,,,,,,,
PR,28,"Hassan, Amin SR",,24,"Chatman, Brandon JR",,,,,,,,,,
KR,23,"Bradley, Tyler SO",,28,"Hassan, Amin SR",,,,,,,,,,
