Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Nebraska Cornhuskers,,,,,,,,,,,,,,,
WR-X,80,"Banks, Jahmal SR/TR",,17,"Barney Jr., Jacory FR",,16,"Bonner, Janiran RS SO",,,,,,,
WR-Z,18,"Neyor, Isaiah RS SR/TR",,15,"Coleman, Malachi SO",,11,"Bell, Demitrius RS FR",,,,,,,
WR-SL,19,"Lloyd, Jaylen SO",,13,"Garcia-Castaneda, Isaiah RS SR/TR",,84,"Bullock, Alex RS JR",,,,,,,
LT,69,"Corcoran, Turner SR",,77,"Gottula, Gunnar RS FR",,63,"Brix, Grant FR",,,,,,,
LG,51,"Evans, Justin RS SO",,62,"Sledge, Sam RS FR",,,,,,,,,,
C,66,"Scott, Ben RS SR/TR",,51,"Evans, Justin RS SO",,,,,,,,,,
RG,56,"Mazzccua, Micah SR/TR",,59,"Lutovsky, Henry RS JR",,,,,,,,,,
RT,54,"Benhart, Bryce RS SR",,75,"Knaak, Tyler RS SO/TR",,71,"Hood, Jacob RS SO/TR",,,,,,,
TE,24,"Fidone II, Thomas RS JR",,87,"Boerkircher, Nate RS JR",,44,"Lindenmeyer, Luke RS SO",,29,"Nelson, Carter FR",,,,
QB,15,"Raiola, Dylan FR",,10,"Haarberg, Heinrich RS JR",,12,"Kaelin, Daniel FR",,19,"Gramstad, Jalyn SR/TR",,17,"Longval, Luke RS SO/TR",
RB,21,"Johnson, Emmett RS SO",,22,"Ervin Jr., Gabe RS JR",,23,"Dowdell, Dante SO/TR",,14,"Johnson, Rahmir RS SR",,28,"Ives, Kwinten RS FR",
FB,34,"Liebentritt, Barret RS JR/TR",,40,"Ruth, Trevor RS SO/TR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,10,"Butler, Jimari RS JR",,16,"Jeudy, Elijah RS JR/TR",,93,"Wallin, Kai RS SO/TR",,87,"Tagaloa, Brodie RS SO",,,,
NT,0,"Hutmacher, Nash SR",,44,"Van Poppel, Riley SO",,92,"Lefotu, Sua RS FR",,55,"Jackson, Vincent RS FR",,,,
DT,9,"Robinson, Ty RS SR",,11,"Lenhardt, Cameron SO",,90,"Williams, James RS SO/TR",,,,,,,
JACK,18,"Umanmielen, Princewill SO",,48,"Sherman, MJ SR/TR",,22,"Noonan, Maverick RS FR",,,,,,,
MLB,42,"Gbayor, Mikai RS JR",,33,"Wright, Javin RS SR",,17,"McGahee IV, Willis FR",,,,,,,
WLB,5,"Bullock, John RS SR",,56,"Thompson, Stefon RS JR/TR",,51,"Shavers Jr., Vincent FR",,,,,,,
LCB,31,"Hill, Tommi SR/TR",,23,"Hill, Blye SO/TR",,21,"Bootle II, Dwight RS FR",,14,"Sanders, Amare FR",,,,
SS,8,"Singleton, DeShon SR/TR",,26,"Bretz, Koby RS JR",,28,"Benning, Caleb FR",,,,,,,
FS,13,"Hartzog Jr., Malcolm JR",,35,"Barnes, D'Andre RS FR",,37,"Jones, Donovan FR",,,,,,,
RCB,24,"Buford Jr., Marques RS JR",,15,"Wright, Ceyair RS JR/TR",,25,"Charles, Jeremiah RS FR",,,,,,,
ROVER,2,"Gifford, Isaac SR",,32,"Prude, Braylen FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,18,"Buschini, Brian SR/TR",,37,"Koch, Kamdyn FR",,,,,,,,,,
PK,30,"Alvano, Tristan SO",,91,"Ottomanelli, Nico FR",,90,"Hohl, John RS FR/TR",,,,,,,
KO,30,"Alvano, Tristan SO",,91,"Ottomanelli, Nico FR",,90,"Hohl, John RS FR/TR",,,,,,,
LS,96,"Witucki, Camden RS JR",,94,"Flege, Aidan JR/TR",,,,,,,,,,
H,18,"Buschini, Brian SR/TR",,37,"Koch, Kamdyn FR",,,,,,,,,,
PR,84,"Bullock, Alex RS JR",,,,,,,,,,,,,
KR,31,"Hill, Tommi SR/TR",,14,"Johnson, Rahmir RS SR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,65,"Prochazka, Teddy RS JR",,,,,,,,,,,,,
