Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Nevada Wolf Pack,,,,,,,,,,,,,,,
WR-X,1,"Smith, Jaden RS SR/TR",,9,"Brown, Marshaun RS FR",,,,,,,,,,
WR-Z,8,"Braham Jr., Cortez RS SR/TR",,12,"Burleson II, Nate RS FR",,,,,,,,,,
WR-A,18,"Bellon, Marcus RS JR/TR",,26,"Hayes, Ashton RS SO/TR",,7,"Ashley, Marquis RS JR/TR",,,,,,,
LT,70,"World, Isaiah RS JR",,77,"Bolles, John RS JR/TR",,,,,,,,,,
LG,56,"Ruffins, Tyson RS FR",,55,"Leota-Amaama, Snoop RS SO/TR",,72,"Seth, Jakobus RS SO/TR",,,,,,,
C,78,"Madrigal, Andrew RS JR",,57,"Lopez, Dylan RS SO/TR",,,,,,,,,,
RG,76,"Lovell, Spencer RS SR/TR",,54,"Grabowski, Josh RS JR/TR",,,,,,,,,,
RT,71,"Timoteo, Josiah RS FR",,62,"Poso, Frank RS SR",,,,,,,,,,
TE-Y,16,"Henry, Jace SR/TR",,0,"Savaiinaea, Andrew RS SO/TR",,82,"O'Rourke, Jayden SO",,,,,,,
QB,2,"Lewis, Brendon RS JR/TR",,10,"Bianco, AJ RS SO",,,,,,,,,,
RB,4,"Dollars, Sean RS SR/TR",,6,"Red, Savion JR/TR",,20,"Ramseur, Caleb JR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,0,"Ikahihifo, Henry RS SR/TR",,97,"Ross, Kristopher RS SO/TR",,90,"Nnakenyi, Ike RS SO",,,,,,,
NT,9,"Malotumau, Mackavelli JR/TR",,96,"Vaughan, Tanner RS JR/TR",,,,,,,,,,
DT,99,"Witte, Thomas RS SR",,43,"Ropati, Nelson JR/TR",,,,,,,,,,
RDE,2,"Johnson, Kaden RS SR/TR",,95,"Maldonado, Jonathan RS SO",,45,"Smalley, Chris JR",,,,,,,
WLB,36,"Mateialona, Tongiaki RS SR",,33,"Combs, Stone RS SO",,,,,,,,,,
MLB,7,"Watts, Drue RS JR",,44,"Harnetiaux, Austin RS SO/TR",,,,,,,,,,
LCB,3,"Coats Jr., Michael RS SR/TR",,14,"Gunter, Devin RS SR",,,,,,,,,,
SS,4,"Crawford, Kitan RS SR/TR",,15,"Turner, Bishop RS FR",,,,,,,,,,
FS,46,"Seiuli, Aedan RS JR",,28,"Daffin, Tori RS SR/TR",,,,,,,,,,
RCB,24,"Brown, Chad RS SR/TR",,10,"Meier, KK RS SO",,,,,,,,,,
STAR,1,"Savage, Caine RS SR/TR",,5,"Cobb, Keyshawn RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,39,"Gillespie, Guy JR/TR",,37,"Manship, Tyler RS SO/TR",,,,,,,,,,
PK,18,"Killam, Matthew RS SR",,91,"Afrookhteh, Kian RS SO/TR",,,,,,,,,,
KO,18,"Killam, Matthew RS SR",,91,"Afrookhteh, Kian RS SO/TR",,,,,,,,,,
LS,88,"Barcelos, Nick RS SR",,38,"Gilmour, Eli FR",,,,,,,,,,
H,39,"Gillespie, Guy JR/TR",,17,"Horning, Baylor RS SR/TR",,,,,,,,,,
PR,18,"Bellon, Marcus RS JR/TR",,7,"Ashley, Marquis RS JR/TR",,,,,,,,,,
KR,4,"Crawford, Kitan RS SR/TR",,26,"Hayes, Ashton RS SO/TR",,,,,,,,,,
