Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
New Mexico Lobos,,,,,,,,,,,,,,,
WR-X,81,"Trujillo, Nic RS FR",,12,"Medford, Caleb JR/TR",,,,,,,,,,
WR-Z,14,"Miller, Shawn RS SO/TR",,18,"Davis, Ryan RS SR/TR",,,,,,,,,,
WR-Y,15,"Wysong, Luke RS JR",,21,"Jacobs, Javen RS SO/TR",,,,,,,,,,
LT,76,"Unamba, Wallace RS JR/TR",,75,"Shaw, Tevin RS SO/TR",,,,,,,,,,
LG,56,"Beckett, Baraka RS SR/TR",,52,"Owens, Lajuan RS FR/TR",,,,,,,,,,
C,55,"Singletary, Jawaun SR/TR",,51,"Aliane, Malik RS SO/TR",,,,,,,,,,
RG,78,"Pearce, Richard RS JR/TR",,53,"Bailey, James RS SO/TR",,,,,,,,,,
RT,66,"Agnello, McKenzie JR/TR",,70,"Harris, Elvin RS FR/TR",,,,,,,,,,
TE,5,"Bruckler, Trace RS JR",,83,"Hunter, Everett JR/TR",,,,,,,,,,
QB,4,"Dampier, Devon SO",,16,"Chavez, Isaiah RS SR",,13,"Laubstein, James JR/TR",,99,"Floyd, Emery JR/TR",,,,
RB,6,"Sanders, Eli RS JR/TR",,28,"Rogers, Naquari JR/TR",,2,"Henry, Andrew RS SR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,17,"Olorunfunmi, Okiki SR/TR",,90,"Elkman, Max RS SO",,55,"Harris Jr., Antoineo SR/TR",,,,,,,
LDT,7,"Kiehne, Tyler RS JR/TR",,96,"Walker, Garrison RS SR/TR",,97,"Brandt-Epps, Devin SR/TR",,,,,,,
RDT,45,"Drake, Kyler RS SR",,99,"Santana, Bryce RS SR",,,,,,,,,,
RDE,9,"Lopez, Gabriel RS JR/TR",,89,"Tuitele, Moso'oipala RS SO/TR",,,,,,,,,,
MLB,24,"Wilson, Jayden SO",,41,"Austin-Cave, Tirek RS SR/TR",,,,,,,,,,
BUCK,22,"Johnson, Dimitri SR/TR",,33,"Kpai, Randolph RS JR/TR",,11,"Santorineos, Mihalis JR/TR",,,,,,,
FCB,13,"Taylor, Bryson JR",,28,"Williams, Nigel RS JR/TR",,77,"Az-Zahir, Ishmael RS SR/TR",,,,,,,
FS,8,"Ellis, Christian JR",,20,"Moore, Dereck SO",,39,"Tatum, Dominic RS SR/TR",,,,,,,
BS,1,"Avinger, Noah RS JR/TR",,3,"Murphy, David RS SO",,,,,,,,,,
BCB,34,"Pola-Gates, Noa RS SR/TR",,27,"Royal, Jahvante RS SR/TR",,12,"Kemeni Jr., Pierre RS SR/TR",,,,,,,
NB,0,"Arnold III, Bobby SO/TR",,18,"Watts, Cam RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,10,"Rodriguez, Aaron RS SR/TR",,35,"Steinkamp, Charles RS SO",,,,,,,,,,
PK,26,"Drzewiecki, Luke RS JR",,35,"Steinkamp, Charles RS SO",,,,,,,,,,
KO,35,"Steinkamp, Charles RS SO",,26,"Drzewiecki, Luke RS JR",,,,,,,,,,
LS,25,"Hatch, Hyrum RS FR/TR",,30,"Durkin, Brendan RS SO/TR",,,,,,,,,,
H,10,"Rodriguez, Aaron RS SR/TR",,35,"Steinkamp, Charles RS SO",,,,,,,,,,
PR,15,"Wysong, Luke RS JR",,21,"Jacobs, Javen RS SO/TR",,,,,,,,,,
KR,21,"Jacobs, Javen RS SO/TR",,6,"Sanders, Eli RS JR/TR",,,,,,,,,,
