Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
New Mexico State Aggies,,,,,,,,,,,,,,,
WR-X,5,"Faupel, Donovan SO",,7,"Neville, Latrell RS JR/TR",,81,"Ortiz, Allen RS JR/TR",,,,,,,
WR-Z,11,"David, Kordell RS SR/TR",,3,"Lowe, Jahrique JR/TR",,,,,,,,,,
WR-H,12,"Smith, Jordan SR/TR",,82,"McNamara, Kyle RS SR/TR",,0,"Johnson III, PJ RS JR",,,,,,,
LT,71,"Pete, Shiyazh RS JR",,72,"Rodriquez, Jai RS SO",,,,,,,,,,
LG,51,"Vaipulu, AJ JR",,55,"Jackson, Shamarr RS JR/TR",,,,,,,,,,
C,56,"Yarro, Canaan RS SR/TR",,50,"Sheehan, Cooper RS SO",,,,,,,,,,
RG,77,"Golden, Jacob RS SR/TR",,65,"LaFrance, Anthony RS SR/TR",,,,,,,,,,
RT,78,"Claiborne, Cedric RS SR/TR",,66,"Canepa, Louie RS SO",,,,,,,,,,
TE,88,"Stephens, Trevor JR",,14,"Talley, Hunter RS SO/TR",,19,"Wood, Ethan SO/TR",,49,"Armijo, Noah SR/TR",,,,
QB,2,"Hogan, Deuce RS SR/TR",,18,"Marucci, Santino RS JR/TR",,15,"Awad, Parker SO/TR",,10,"Nunez, Brandon JR/TR",,13,"McNamara, Jake RS SO/TR",
RB,8,"Watkins, Monte RS JR/TR",,1,"McGowan, Seth JR/TR",,4,"Washington, Mike RS JR/TR",,20,"Gans, Tim RS JR",,16,"McMillan, Larenzo RS JR",
DEF,,,,,,,,,,,,,,,
DE,28,"Robinson, Jaden RS SO",,9,"Edwards, Kale RS SR/TR",,97,"Davis III, Henry SO/TR",,98,"Ta'ase, Malaki FR",,,,
NT,6,"Fahina, Naki RS SR/TR",,54,"Tuitama, Ta'Avili JR/TR",,96,"Schnettgoecke, Cole SR/TR",,,,,,,
DT,90,"Lawson, Matt RS SR/TR",,4,"Beadles, Justin RS JR/TR",,95,"Jones, Gabe RS FR",,,,,,,
STUD,8,"Peleti, Buddha JR",,42,"Arinze, Noah RS JR/TR",,40,"Burns, Derek JR/TR",,,,,,,
MLB,14,"Aupiu, Sone RS SO",,13,"Davis, Quincy RS FR",,57,"Jackson, Bryant GR",,,,,,,
WLB,47,"Brown, Jalen RS FR",,35,"Martinez, Tyler RS JR/TR",,15,"Perry, Rontravious RS JR/TR",,25,"Heil, Jaxon JR",,,,
LCB,7,"Glinton, Keonte RS SR/TR",,1,"Charles, Josiah RS FR",,26,"Campbell, Jakobe FR",,,,,,,
SS,2,"Crosby, Da'Marcus SR/TR",,18,"Hatfield-Rushton, Desmin SO/TR",,10,"Moorer, DaMarco RS JR/TR",,,,,,,
FS,11,"Early, Dylan SR",,0,"Cox, Josiah SO/TR",,22,"Kelley Jr., Lanar JR/TR",,,,,,,
RCB,24,"Hobbs, Dakerric SR/TR",,19,"White, Jabril RS JR/TR",,29,"McKinley, Rashad RS SO",,,,,,,
NB,5,"Session, Nick RS SR/TR",,3,"Barnes, Tayden RS FR",,36,"Muñoz, Angel RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,92,"Eberle, George GR/TR",,93,"Dean, Max FR",,94,"Theisler, Nikalas FR",,,,,,,
PK,43,"Brooksby, Connor SR/TR",,89,"Montano, Abraham RS SR/TR",,97,"Zilmer, Carson RS JR",,35,"Joya, Freddy RS FR",,,,
KO,43,"Brooksby, Connor SR/TR",,89,"Montano, Abraham RS SR/TR",,97,"Zilmer, Carson RS JR",,35,"Joya, Freddy RS FR",,,,
LS,91,"Eberle, Charlie SR/TR",,43,"Dublin, John FR",,,,,,,,,,
H,92,"Eberle, George GR/TR",,93,"Dean, Max FR",,94,"Theisler, Nikalas FR",,,,,,,
PR,12,"Smith, Jordan SR/TR",,,,,,,,,,,,,
KR,25,"Heil, Jaxon JR",,,,,,,,,,,,,
