Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
North Carolina State Wolfpack,,,,,,,,,,,,,,,
WR-X,4,"Collins, Dacari RS JR/TR",,80,"Anderson, Terrell FR",,84,"Baldwin, Jakolbe GR",,,,,,,
WR-Z,5,"Rogers, Noah RS FR/TR",,6,"Grimes, Wesley JR/TR",,82,"Jackson, Keenan FR",,,,,,,
WR-SL,10,"Concepcion, Kevin SO",,21,"Coit, Jalen GR",,14,"Paylor, Jonathan FR",,,,,,,
LT,74,"Belton, Anthony GR/TR",,64,"Jackson, Rico RS FR",,73,"Rivers, Darion RS FR",,,,,,,
LG,75,"Carter Jr., Anthony GR",,69,"Jaramillo, Dawson GR/TR",,79,"Smith, Kamen RS FR",,,,,,,
C,56,"Correll, Zeke GR/TR",,55,"Vann, Rylan RS SO",,,,,,,,,,
RG,52,"McKay, Timothy GR",,54,"Erickson, Val RS SO/TR",,,,,,,,,,
RT,65,"Peak, Jacarrius RS SO",,76,"Matan, Patrick GR",,,,,,,,,,
TE-H,47,"McCabe, Matt GR",,87,"Daniels, Dante RS JR/TR",,49,"Mitchell, Reid RS JR",,,,,,,
TE-Y,15,"Joly, Justin JR/TR",,11,"Vereen, Juice SO",,,,,,,,,,
QB,2,"McCall, Grayson GR/TR",,16,"Bailey, CJ FR",,12,"Thomas, Lex RS FR",,,,,,,
RB,7,"Waters, Jordan GR/TR",,0,"Raphael, Kendrick SO",,20,"Smothers, Hollywood RS FR/TR",,24,"Scott, Jayden FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,1,"Vann, Davin GR",,97,"Potter, Noah GR/TR",,,,,,,,,,
NT,44,"Cleveland, Brandon JR",,99,"Jackson, DJ RS SO",,52,"Wallace, Chazz SR/TR",,,,,,,
RDE,13,"Price, Travali RS JR",,4,"Hibbler, Red SR/TR",,88,"Shirley, Isaiah RS FR",,,,,,,
WLB,0,"Brown, Sean RS JR",,36,"McBride, Kelvon RS FR",,,,,,,,,,
MLB,10,"Fordham, Caden RS JR",,27,"Parker, Jayland RS JR",,,,,,,,,,
SLB,8,"Betty, Devon GR",,34,"Bonner, Kamal RS FR",,,,,,,,,,
LCB,2,"Cisse, Brandon SO",,6,"Coley, Corey SR/TR",,,,,,,,,,
SS,7,"Fitzgerald, Bishop SR/TR",,19,"Martin, KJ GR/TR",,,,,,,,,,
FS,5,"Kaufman, DK SR/TR",,14,"Hinton, Renté RS JR/TR",,,,,,,,,,
RCB,3,"White, Aydan GR",,16,"Marshall, Devon JR/TR",,,,,,,,,,
NB,11,"Carter, Ja'Had SR/TR",,15,"Cooley, Tamarcus RS FR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,98,"Noonkester, Caden RS JR",,96,"Fehr, Owen RS FR",,,,,,,,,,
PK,94,"Vinesett, Kanoah RS SO",,90,"Smith, Collin GR",,,,,,,,,,
KO,90,"Smith, Collin GR",,94,"Vinesett, Kanoah RS SO",,,,,,,,,,
LS,92,"Arias, Aiden RS FR",,95,"Mann, Jake RS JR/TR",,,,,,,,,,
H,98,"Noonkester, Caden RS JR",,96,"Fehr, Owen RS FR",,,,,,,,,,
PR,21,"Coit, Jalen GR",,10,"Concepcion, Kevin SO",,,,,,,,,,
KR,20,"Smothers, Hollywood RS FR/TR",,5,"Rogers, Noah RS FR/TR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,12,"Boykin, Devan GR",,,,,,,,,,,,,
