Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
North Carolina Tar Heels,,,,,,,,,,,,,,,
WR-X,5,"Jones, J.J. SR",,11,"Billups II, Paul RS FR",,1,"Shipp, Jordan FR",,,,,,,
WR-Z,2,"Blackwell, Gavin RS JR",,3,"Culliver, Chris SO",,0,"Taylor, Alex FR",,,,,,,
WR-SL,6,"McCollum, Nate SR/TR",,8,"Paysour, Kobe RS JR",,7,"Hamilton, Christian RS FR",,,,,,,
LT,79,"Sampson, Howard RS SO/TR",,69,"Hicks, Jarvis RS SO",,73,"Sutton, Eli RS JR",,,,,,,
LG,52,"Adorno, Jonathan SR",,64,"McGowan, Malik RS SR",,57,"Burkes, Bo RS SO",,,,,,,
C,58,"Blaske, Austin GR/TR",,,,,,,,,,,,,
RG,53,"Lampkin, Willie SR/TR",,55,"Rice, Zach RS SO",,,,,,,,,,
RT,78,"Green, Trevyon RS SO",,75,"Leftwich, Jakiah RS JR/TR",,60,"Kulka, Carter RS JR",,,,,,,
TE,81,"Copenhaver, John GR",,18,"Nesbit, Bryson SR",,19,"Johnson, Jake RS SO/TR",,,,,,,
QB,14,"Johnson, Max GR/TR",,12,"Criswell, Jacolby GR/TR",,15,"Harrell, Conner RS SO",,,,,,,
RB,28,"Hampton, Omarion JR",,24,"Barlow, Darwin GR/TR",,4,"Hood, Caleb SR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,10,"Evans, Desmond SR",,12,"Atkinson, Beau RS SO",,93,"Cowan, Jacolbe RS SR/TR",,,,,,,
NT,6,"Harris Sr., Joshua GR/TR",,4,"Shaw, Travis JR",,,,,,,,,,
DT,98,"Hester Jr., Kevin GR",,5,"Ritzie, Jahvaree SR",,96,"Bremer, Damon SO",,,,,,,
JACK,7,"Rucker, Kaimon SR",,24,"Hamrick, Mali RS SO",,40,"Thompson, Tyler RS FR",,,,,,,
MLB,23,"Echols, Power SR",,30,"Short, Michael SO",,55,"Law, Cade RS SO/TR",,,,,,,
WLB,17,"Campbell, Amare SO",,34,"LaVallee, Caleb RS FR",,53,"Macrae, Gibson RS JR",,,,,,,
FCB,28,"Huzzie, Alijah RS SR/TR",,15,"Miller, Tre RS FR",,,,,,,,,,
FS,2,"Harris, Jakeen GR/TR",,31,"Hardy, Will JR",,,,,,,,,,
BS,1,"Lane, Antavious GR/TR",,39,"Byrd, Major RS SO",,,,,,,,,,
BCB,29,"Allen, Marcus JR",,9,"Stewart, Tyrane JR/TR",,,,,,,,,,
STAR,16,"Boykins, DeAndre RS JR",,21,"Cost, Kaleb SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,96,"Maginness, Tom JR/TR",,,,,,,,,,,,,
PK,98,"Burnette, Noah RS SR",,37,"Boyd, Liam RS SO/TR",,97,"Osada, Lucas FR",,,,,,,
KO,37,"Boyd, Liam RS SO/TR",,98,"Burnette, Noah RS SR",,97,"Osada, Lucas FR",,,,,,,
LS,62,"Triplett, Spencer RS SR",,43,"Jordan, Garrett RS SO",,61,"Mills, Grant FR",,,,,,,
H,96,"Maginness, Tom JR/TR",,,,,,,,,,,,,
PR,28,"Huzzie, Alijah RS SR/TR",,,,,,,,,,,,,
KR,3,"Culliver, Chris SO",,,,,,,,,,,,,
