Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
North Texas Mean Green,,,,,,,,,,,,,,,
WR-X,11,"Aaron, Jeremiah JR/TR",,7,"Carnes, Dalton RS SO/TR",,,,,,,,,,
WR-Z,8,"Ward Jr., Damon RS SR",,18,"Ferguson, Mason FR",,,,,,,,,,
WR-Y,0,"Conwright, Blair RS SR/TR",,10,"Sheffield, DT RS JR/TR",,,,,,,,,,
WR-H,22,"Sides, Landon SO",,31,"Porter, Shane RS JR/TR",,,,,,,,,,
LT,58,"Lee, Ma'Kyi RS JR/TR",,76,"Magiya, Desmond RS FR",,,,,,,,,,
LG,65,"Blair, Gabe SR",,54,"Dickson III, Johnny RS SO/TR",,71,"Asenuga, Leke RS JR/TR",,,,,,,
C,64,"Duncan, Jett SR",,56,"Mercer, Tyler FR",,,,,,,,,,
RG,72,"Peterson, Landon RS SR/TR",,60,"Vaipulu, Paula SR/TR",,,,,,,,,,
RT,74,"Moore III, Larry RS SR/TR",,73,"Lott, Jasper RS JR/TR",,,,,,,,,,
TE,88,"Kautai, Xzavior RS JR",,23,"Hammond, Oscar JR/TR",,87,"Young Jr., Brandon FR",,,,,,,
QB,4,"Morris, Chandler RS JR/TR",,3,"McCollum, Cash FR",,,,,,,,,,
RB,6,"Ragsdale, Ikaika RS JR",,26,"Evans, Zach RS SO/TR",,2,"Price, Juwaun RS SR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,9,"Shipley, Jake SR/TR",,89,"Dawkins, Terrell RS SR/TR",,95,"Charles, Breylon JR/TR",,,,,,,
NT,10,"Brown, Roderick SR",,91,"Smith Jr., Keith RS FR",,,,,,,,,,
DT,15,"Vailea II, Fatafehi RS JR",,97,"Bronson, VJ RS JR/TR",,,,,,,,,,
WLB,32,"Wesloski, Ethan RS SO",,35,"Jean-Louis, JJ RS FR/TR",,40,"Ayers, Trent RS SR/TR",,,,,,,
MLB,8,"Brown, Jordan SR",,24,"Brown, Chavez JR/TR",,3,"Ruder, Jace RS SR/TR",,,,,,,
SLB,36,"Smith, Jaylen SR",,34,"Garnett, CJ JR/TR",,27,"Moore, Matthew RS FR",,,,,,,
FCB,5,"Texada, Ridge SR/TR",,4,"Nelson II, Brian RS FR",,17,"Starling, Taylor RS FR",,,,,,,
SS,30,"Allen Jr., BJ SO/TR",,2,"Jackson, Evan SO",,,,,,,,,,
FS,21,"Hill, Jayden SR/TR",,18,"Spruiells, David SO/TR",,,,,,,,,,
BCB,23,"Brice, X'Avion RS SO/TR",,6,"Thompson, Loronzo SR",,,,,,,,,,
NB,1,"Young, Isheem RS SR/TR",,14,"Anderson, Jayven SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,41,"Evans, Sawyer SR/TR",,98,"Ford, Seth JR/TR",,,,,,,,,,
PK,29,"Ford, Blake RS SO/TR",,40,"Nguma, Kali RS FR",,,,,,,,,,
KO,29,"Ford, Blake RS SO/TR",,40,"Nguma, Kali RS FR",,,,,,,,,,
LS,52,"Walker, Jenson SR/TR",,50,"Yates, Caden RS FR",,,,,,,,,,
H,41,"Evans, Sawyer SR/TR",,98,"Ford, Seth JR/TR",,,,,,,,,,
PR,10,"Sheffield, DT RS JR/TR",,22,"Sides, Landon SO",,,,,,,,,,
KR,8,"Ward Jr., Damon RS SR",,,,,,,,,,,,,
