Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Northern Illinois Huskies,,,,,,,,,,,,,,,
WR-X,12,"Lewis, Kenji JR/TR",,7,"Pipkin, Keyshaun RS SO",,87,"Thompson, Cam RS SO/TR",,,,,,,
WR-Z,10,"Thomas, Kyle RS FR",,19,"McElroy, Andrew SR/TR",,16,"Johnson, Jalen RS SO",,,,,,,
WR-SL,3,"Rudolph, Trayvon RS SR",,23,"Pardridge, Dane RS SO",,,,,,,,,,
LT,54,"Malcore, Evan RS SO",,71,"Hoth, Drew RS JR",,,,,,,,,,
LG,79,"Lippe, J.J. RS SR",,64,"Schooley, Matt RS SR",,,,,,,,,,
OC,65,"Zschernitz, Logan RS SR",,50,"Olson, Aiden FR",,,,,,,,,,
RG,76,"Champe, John SR",,77,"Pinnick, Luke RS JR",,,,,,,,,,
RT,60,"Buss, Evan RS SR",,55,"Curry, Abiathar RS SO",,,,,,,,,,
TE,81,"Barnes, Grayson SR/TR",,82,"Tewes, Tristen RS SR",,11,"Carter, Chris RS SR/TR",,80,"Appleget, Jake RS SO/TR",,88,"Ozoh, Izuchukwu RS JR",
QB,2,"Hampton, Ethan RS JR",,14,"Macon, Jalen RS JR/TR",,15,"Holst, Josh RS FR",,8,"Lueth, Kenny JR/TR",,4,"Jordan, C.J. RS JR/TR",
RB,1,"Brown, Antario SR",,21,"Williams, Gavin RS SR/TR",,5,"Lynch, Justin RS JR/TR",,28,"Poe, Jaylen RS FR",,,,
FB,49,"Lampe, Brock SR",,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,4,"Thomas, Raishein SR",,93,"Crowell, Cam RS SO",,11,"Williams, Jalonnie RS JR",,52,"Davis, Ivan RS SR",,,,
LDT,10,"Taylor Jr., Demond RS SR",,51,"Haberman, Cade SR",,96,"Waskow, Jacob RS SR",,,,,,,
RDT,8,"O'Malley, Devonte SR",,0,"Gill-Howard, Skyler RS JR/TR",,90,"Jean, Reggie RS SO",,57,"Hensley, Mark RS FR",,,,
RDE,97,"Williams, Roy JR",,28,"Sanders, Nevaeh JR/TR",,99,"Oppong, Pierce RS SR",,95,"Randall, RaSean RS FR",,,,
WLB,26,"Dolphin, Jaden SR",,32,"Urwiler, Quinn RS SR/TR",,37,"Rattin, Joey SR/TR",,94,"Maciorowski, Filip RS FR",,,,
MLB,44,"Fuhrman, Christian SR/TR",,25,"Gassaway, Jake RS SO",,23,"Pretto, Marc JR/TR",,42,"Monroe, Jordan SR/TR",,,,
HUSKY,1,"Prophete, Jashon SR",,13,"Myles, Ty RS JR",,,,,,,,,,
LCB,5,"Knighten, Amariyun RS SO",,3,"Finley, Jacob RS SO",,24,"Gibson, Dashaun FR",,,,,,,
SS,7,"Hansen, Jordan SR",,6,"Jammeh, Muhammed RS JR",,15,"Banner, Santana RS FR",,31,"Belman, Owen SR/TR",,,,
FS,9,"Valcarcel, Nate SR/TR",,22,"McGarrell, Cyrus RS JR",,27,"Porter, Trey RS SO",,39,"Tierney, Ethan RS FR",,,,
RCB,2,"Byrd, Javaughn SR",,12,"Dabney, Cam'Ron SR/TR",,17,"Davis, Kiwaun RS FR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,98,"Foley, Tom RS SR/TR",,,,,,,,,,,,,
PK,92,"Woodill, Kanon RS JR",,30,"Seibert, Jake RS JR/TR",,90,"Vuckovic, Danny SO",,,,,,,
KO,30,"Seibert, Jake RS JR/TR",,92,"Woodill, Kanon RS JR",,90,"Vuckovic, Danny SO",,,,,,,
LS,91,"Hatfield, Isaac RS JR",,,,,,,,,,,,,
H,98,"Foley, Tom RS SR/TR",,,,,,,,,,,,,
PR,23,"Pardridge, Dane RS SO",,,,,,,,,,,,,
KR,3,"Rudolph, Trayvon RS SR",,,,,,,,,,,,,
